distance_m,dx_m,curvature_1pm,bank_deg,inclination_deg,grip_factor,sector,x_m,y_m,z_m
0.1,0.1,0.0,0.0,-0.0,1.0,0,0.1,-1.83690953073357e-17,0.0
0.2,0.1,0.0,0.0,-0.0,1.0,0,0.2,-3.67381906146713e-17,0.0
0.3,0.1,0.0,0.0,-0.0,1.0,0,0.3,-5.5107285922007e-17,0.0
0.4,0.1,0.0,0.0,-0.0,1.0,0,0.4,-7.34763812293426e-17,0.0
0.5,0.1,0.0,0.0,-0.0,1.0,0,0.5,-9.184547653667831e-17,0.0
0.6,0.1,0.0,0.0,-0.0,1.0,0,0.6,-1.10214571844014e-16,0.0
0.7,0.1,0.0,0.0,-0.0,1.0,0,0.7,-1.2858366715135002e-16,0.0
0.8,0.1,0.0,0.0,-0.0,1.0,0,0.8,-1.4695276245868499e-16,0.0
0.9,0.1,0.0,0.0,-0.0,1.0,0,0.9,-1.65321857766021e-16,0.0
1.0,0.1,0.0,0.0,-0.0,1.0,0,1.0,-1.83690953073357e-16,0.0
1.1,0.1,0.0,0.0,-0.0,1.0,0,1.1,-2.02060048380692e-16,0.0
1.2,0.1,0.0,0.0,-0.0,1.0,0,1.2,-2.20429143688028e-16,0.0
1.3,0.1,0.0,0.0,-0.0,1.0,0,1.3,-2.38798238995364e-16,0.0
1.4,0.1,0.0,0.0,-0.0,1.0,0,1.4,-2.57167334302699e-16,0.0
1.5,0.1,0.0,0.0,-0.0,1.0,0,1.5,-2.75536429610035e-16,0.0
1.6,0.1,0.0,0.0,-0.0,1.0,0,1.6,-2.93905524917371e-16,0.0
1.7,0.1,0.0,0.0,-0.0,1.0,0,1.7,-3.12274620224706e-16,0.0
1.8,0.1,0.0,0.0,-0.0,1.0,0,1.8,-3.30643715532042e-16,0.0
1.9,0.1,0.0,0.0,-0.0,1.0,0,1.9,-3.49012810839378e-16,0.0
2.0,0.1,0.0,0.0,-0.0,1.0,0,2.0,-3.67381906146713e-16,0.0
2.1,0.1,0.0,0.0,-0.0,1.0,0,2.1,-3.85751001454049e-16,0.0
2.2,0.1,0.0,0.0,-0.0,1.0,0,2.2,-4.04120096761385e-16,0.0
2.3,0.1,0.0,0.0,-0.0,1.0,0,2.3,-4.2248919206872e-16,0.0
2.4,0.1,0.0,0.0,-0.0,1.0,0,2.4,-4.40858287376056e-16,0.0
2.5,0.1,0.0,0.0,-0.0,1.0,0,2.5,-4.59227382683392e-16,0.0
2.6,0.1,0.0,0.0,-0.0,1.0,0,2.6,-4.77596477990727e-16,0.0
2.7,0.1,0.0,0.0,-0.0,1.0,0,2.7,-4.95965573298063e-16,0.0
2.8,0.1,0.0,0.0,-0.0,1.0,0,2.8,-5.14334668605399e-16,0.0
2.9,0.1,0.0,0.0,-0.0,1.0,0,2.9,-5.32703763912734e-16,0.0
3.0,0.1,0.0,0.0,-0.0,1.0,0,3.0,-5.510728592200701e-16,0.0
3.1,0.1,0.0,0.0,-0.0,1.0,0,3.1,-5.69441954527406e-16,0.0
3.2,0.1,0.0,0.0,-0.0,1.0,0,3.2,-5.87811049834741e-16,0.0
3.3,0.1,0.0,0.0,-0.0,1.0,0,3.3,-6.06180145142077e-16,0.0
3.4,0.1,0.0,0.0,-0.0,1.0,0,3.4,-6.24549240449413e-16,0.0
3.5,0.1,0.0,0.0,-0.0,1.0,0,3.5,-6.42918335756748e-16,0.0
3.6,0.1,0.0,0.0,-0.0,1.0,0,3.6,-6.61287431064084e-16,0.0
3.7,0.1,0.0,0.0,-0.0,1.0,0,3.7,-6.7965652637142e-16,0.0
3.8,0.1,0.0,0.0,-0.0,1.0,0,3.8,-6.98025621678755e-16,0.0
3.9,0.1,0.0,0.0,-0.0,1.0,0,3.9,-7.16394716986091e-16,0.0
4.0,0.1,0.0,0.0,-0.0,1.0,0,4.0,-7.347638122934269e-16,0.0
4.1,0.1,0.0,0.0,-0.0,1.0,0,4.1,-7.53132907600763e-16,0.0
4.2,0.1,0.0,0.0,-0.0,1.0,0,4.2,-7.71502002908098e-16,0.0
4.3,0.1,0.0,0.0,-0.0,1.0,0,4.3,-7.89871098215434e-16,0.0
4.4,0.1,0.0,0.0,-0.0,1.0,0,4.4,-8.082401935227701e-16,0.0
4.5,0.1,0.0,0.0,-0.0,1.0,0,4.5,-8.266092888301049e-16,0.0
4.6,0.1,0.0,0.0,-0.0,1.0,0,4.6,-8.44978384137441e-16,0.0
4.7,0.1,0.0,0.0,-0.0,1.0,0,4.7,-8.63347479444777e-16,0.0
4.8,0.1,0.0,0.0,-0.0,1.0,0,4.8,-8.81716574752112e-16,0.0
4.9,0.1,0.0,0.0,-0.0,1.0,0,4.9,-9.00085670059448e-16,0.0
5.0,0.1,0.0,0.0,-0.0,1.0,0,5.0,-9.18454765366784e-16,0.0
5.1,0.1,0.0,0.0,-0.0,1.0,0,5.1,-9.36823860674119e-16,0.0
5.2,0.1,0.0,0.0,-0.0,1.0,0,5.2,-9.551929559814549e-16,0.0
5.3,0.1,0.0,0.0,-0.0,1.0,0,5.3,-9.7356205128879e-16,0.0
5.4,0.1,0.0,0.0,-0.0,1.0,0,5.4,-9.91931146596126e-16,0.0
5.5,0.1,0.0,0.0,-0.0,1.0,0,5.5,-1.01030024190346e-15,0.0
5.6,0.1,0.0,0.0,-0.0,1.0,0,5.6,-1.0286693372108e-15,0.0
5.7,0.1,0.0,0.0,-0.0,1.0,0,5.7,-1.04703843251813e-15,0.0
5.8,0.1,0.0,0.0,-0.0,1.0,0,5.8,-1.0654075278254701e-15,0.0
5.9,0.1,0.0,0.0,-0.0,1.0,0,5.9,-1.0837766231328e-15,0.0
5.99999999999999,0.1,0.0,0.0,-0.0,1.0,0,5.99999999999999,-1.1021457184401401e-15,0.0
6.09999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.09999999999999,-1.1205148137474702e-15,0.0
6.19999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.19999999999999,-1.1388839090548101e-15,0.0
6.29999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.29999999999999,-1.15725300436215e-15,0.0
6.39999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.39999999999999,-1.17562209966948e-15,0.0
6.49999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.49999999999999,-1.1939911949768202e-15,0.0
6.59999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.59999999999999,-1.21236029028415e-15,0.0
6.69999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.69999999999999,-1.2307293855914902e-15,0.0
6.79999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.79999999999999,-1.24909848089882e-15,0.0
6.89999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.89999999999999,-1.2674675762061601e-15,0.0
6.99999999999999,0.1,0.0,0.0,-0.0,1.0,0,6.99999999999999,-1.2858366715135e-15,0.0
7.09999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.09999999999999,-1.3042057668208301e-15,0.0
7.19999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.19999999999999,-1.32257486212817e-15,0.0
7.29999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.29999999999999,-1.3409439574355001e-15,0.0
7.39999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.39999999999999,-1.35931305274284e-15,0.0
7.49999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.49999999999999,-1.37768214805017e-15,0.0
7.59999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.59999999999999,-1.3960512433575102e-15,0.0
7.69999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.69999999999999,-1.41442033866484e-15,0.0
7.79999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.79999999999999,-1.4327894339721802e-15,0.0
7.89999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.89999999999999,-1.45115852927952e-15,0.0
7.99999999999999,0.1,0.0,0.0,-0.0,1.0,0,7.99999999999999,-1.4695276245868501e-15,0.0
8.09999999999999,0.1,0.0,0.0,-0.0,1.0,0,8.09999999999999,-1.48789671989419e-15,0.0
8.19999999999999,0.1,0.0,0.0,-0.0,1.0,0,8.19999999999999,-1.5062658152015201e-15,0.0
8.29999999999999,0.1,0.0,0.0,-0.0,1.0,0,8.29999999999999,-1.52463491050886e-15,0.0
8.39999999999999,0.1,0.0,0.0,-0.0,1.0,0,8.39999999999999,-1.5430040058161901e-15,0.0
8.49999999999999,0.1,0.0,0.0,-0.0,1.0,0,8.49999999999999,-1.5613731011235302e-15,0.0
8.59999999999999,0.1,0.0,0.0,-0.0,1.0,0,8.59999999999999,-1.57974219643086e-15,0.0
8.69999999999999,0.1,0.0,0.0,-0.0,1.0,0,8.69999999999999,-1.5981112917382e-15,0.0
8.79999999999998,0.1,0.0,0.0,-0.0,1.0,0,8.79999999999998,-1.6164803870455401e-15,0.0
8.89999999999998,0.1,0.0,0.0,-0.0,1.0,0,8.89999999999998,-1.6348494823528702e-15,0.0
8.99999999999998,0.1,0.0,0.0,-0.0,1.0,0,8.99999999999998,-1.65321857766021e-15,0.0
9.09999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.09999999999998,-1.6715876729675401e-15,0.0
9.19999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.19999999999998,-1.68995676827488e-15,0.0
9.29999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.29999999999998,-1.7083258635822101e-15,0.0
9.39999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.39999999999998,-1.7266949588895502e-15,0.0
9.49999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.49999999999998,-1.7450640541968801e-15,0.0
9.59999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.59999999999998,-1.7634331495042202e-15,0.0
9.69999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.69999999999998,-1.7818022448115603e-15,0.0
9.79999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.79999999999998,-1.80017134011889e-15,0.0
9.89999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.89999999999998,-1.8185404354262303e-15,0.0
9.99999999999998,0.1,0.0,0.0,-0.0,1.0,0,9.99999999999998,-1.83690953073356e-15,0.0
10.1,0.1,0.0,0.0,-0.0,1.0,0,10.1,-1.8552786260409e-15,0.0
10.2,0.1,0.0,0.0,-0.0,1.0,0,10.2,-1.8736477213482303e-15,0.0
10.3,0.1,0.0,0.0,-0.0,1.0,0,10.3,-1.8920168166555703e-15,0.0
10.4,0.1,0.0,0.0,-0.0,1.0,0,10.4,-1.91038591196291e-15,0.0
10.5,0.1,0.0,0.0,-0.0,1.0,0,10.5,-1.9287550072702402e-15,0.0
10.6,0.1,0.0,0.0,-0.0,1.0,0,10.6,-1.94712410257758e-15,0.0
10.7,0.1,0.0,0.0,-0.0,1.0,0,10.7,-1.9654931978849102e-15,0.0
10.8,0.1,0.0,0.0,-0.0,1.0,0,10.8,-1.98386229319225e-15,0.0
10.9,0.1,0.0,0.0,-0.0,1.0,0,10.9,-2.00223138849958e-15,0.0
11.0,0.1,0.0,0.0,-0.0,1.0,0,11.0,-2.02060048380692e-15,0.0
11.1,0.1,0.0,0.0,-0.0,1.0,0,11.1,-2.03896957911425e-15,0.0
11.2,0.1,0.0,0.0,-0.0,1.0,0,11.2,-2.05733867442159e-15,0.0
11.3,0.1,0.0,0.0,-0.0,1.0,0,11.3,-2.07570776972893e-15,0.0
11.4,0.1,0.0,0.0,-0.0,1.0,0,11.4,-2.09407686503626e-15,0.0
11.5,0.1,0.0,0.0,-0.0,1.0,0,11.5,-2.1124459603436e-15,0.0
11.6,0.1,0.0,0.0,-0.0,1.0,0,11.6,-2.13081505565093e-15,0.0
11.7,0.1,0.0,0.0,-0.0,1.0,0,11.7,-2.1491841509582704e-15,0.0
11.8,0.1,0.0,0.0,-0.0,1.0,0,11.8,-2.1675532462656e-15,0.0
11.9,0.1,0.0,0.0,-0.0,1.0,0,11.9,-2.1859223415729403e-15,0.0
12.0,0.1,0.0,0.0,-0.0,1.0,0,12.0,-2.20429143688027e-15,0.0
12.1,0.1,0.0,0.0,-0.0,1.0,0,12.1,-2.2226605321876103e-15,0.0
12.2,0.1,0.0,0.0,-0.0,1.0,0,12.2,-2.2410296274949502e-15,0.0
12.3,0.1,0.0,0.0,-0.0,1.0,0,12.3,-2.2593987228022803e-15,0.0
12.4,0.1,0.0,0.0,-0.0,1.0,0,12.4,-2.2777678181096202e-15,0.0
12.5,0.1,0.0,0.0,-0.0,1.0,0,12.5,-2.2961369134169503e-15,0.0
12.6,0.1,0.0,0.0,-0.0,1.0,0,12.6,-2.31450600872429e-15,0.0
12.7,0.1,0.0,0.0,-0.0,1.0,0,12.7,-2.3328751040316202e-15,0.0
12.8,0.1,0.0,0.0,-0.0,1.0,0,12.8,-2.35124419933896e-15,0.0
12.9,0.1,0.0,0.0,-0.0,1.0,0,12.9,-2.3696132946462902e-15,0.0
13.0,0.1,0.0,0.0,-0.0,1.0,0,13.0,-2.38798238995363e-15,0.0
13.1,0.1,0.0,0.0,-0.0,1.0,0,13.1,-2.40635148526097e-15,0.0
13.2,0.1,0.0,0.0,-0.0,1.0,0,13.2,-2.4247205805683e-15,0.0
13.3,0.1,0.0,0.0,-0.0,1.0,0,13.3,-2.44308967587564e-15,0.0
13.4,0.1,0.0,0.0,-0.0,1.0,0,13.4,-2.46145877118297e-15,0.0
13.5,0.1,0.0,0.0,-0.0,1.0,0,13.5,-2.4798278664903104e-15,0.0
13.6,0.1,0.0,0.0,-0.0,1.0,0,13.6,-2.49819696179764e-15,0.0
13.7,0.1,0.0,0.0,-0.0,1.0,0,13.7,-2.5165660571049804e-15,0.0
13.8,0.1,0.0,0.0,-0.0,1.0,0,13.8,-2.53493515241231e-15,0.0
13.9,0.1,0.0,0.0,-0.0,1.0,0,13.9,-2.5533042477196504e-15,0.0
14.0,0.1,0.0,0.0,-0.0,1.0,0,14.0,-2.5716733430269903e-15,0.0
14.1,0.1,0.0,0.0,-0.0,1.0,0,14.1,-2.5900424383343203e-15,0.0
14.2,0.1,0.0,0.0,-0.0,1.0,0,14.2,-2.6084115336416602e-15,0.0
14.3,0.1,0.0,0.0,-0.0,1.0,0,14.3,-2.6267806289489903e-15,0.0
14.4,0.1,0.0,0.0,-0.0,1.0,0,14.4,-2.6451497242563302e-15,0.0
14.5,0.1,0.0,0.0,-0.0,1.0,0,14.5,-2.6635188195636603e-15,0.0
14.6,0.1,0.0,0.0,-0.0,1.0,0,14.6,-2.681887914871e-15,0.0
14.7,0.1,0.0,0.0,-0.0,1.0,0,14.7,-2.70025701017834e-15,0.0
14.8,0.1,0.0,0.0,-0.0,1.0,0,14.8,-2.71862610548567e-15,0.0
14.9,0.1,0.0,0.0,-0.0,1.0,0,14.9,-2.73699520079301e-15,0.0
15.0,0.1,0.0,0.0,-0.0,1.0,0,15.0,-2.75536429610034e-15,0.0
15.1,0.1,0.0,0.0,-0.0,1.0,0,15.1,-2.77373339140768e-15,0.0
15.2,0.1,0.0,0.0,-0.0,1.0,0,15.2,-2.79210248671501e-15,0.0
15.3,0.1,0.0,0.0,-0.0,1.0,0,15.3,-2.81047158202235e-15,0.0
15.4,0.1,0.0,0.0,-0.0,1.0,0,15.4,-2.82884067732968e-15,0.0
15.5,0.1,0.0,0.0,-0.0,1.0,0,15.5,-2.8472097726370204e-15,0.0
15.6,0.1,0.0,0.0,-0.0,1.0,0,15.6,-2.8655788679443603e-15,0.0
15.7,0.1,0.0,0.0,-0.0,1.0,0,15.7,-2.8839479632516904e-15,0.0
15.8,0.1,0.0,0.0,-0.0,1.0,0,15.8,-2.9023170585590303e-15,0.0
15.9,0.1,0.0,0.0,-0.0,1.0,0,15.9,-2.9206861538663604e-15,0.0
16.0,0.1,0.0,0.0,-0.0,1.0,0,16.0,-2.9390552491737003e-15,0.0
16.1,0.1,0.0,0.0,-0.0,1.0,0,16.1,-2.9574243444810304e-15,0.0
16.2,0.1,0.0,0.0,-0.0,1.0,0,16.2,-2.9757934397883703e-15,0.0
16.3,0.1,0.0,0.0,-0.0,1.0,0,16.3,-2.9941625350957e-15,0.0
16.4,0.1,0.0,0.0,-0.0,1.0,0,16.4,-3.0125316304030402e-15,0.0
16.5,0.1,0.0,0.0,-0.0,1.0,0,16.5,-3.03090072571038e-15,0.0
16.6,0.1,0.0,0.0,-0.0,1.0,0,16.6,-3.0492698210177102e-15,0.0
16.7,0.1,0.0,0.0,-0.0,1.0,0,16.7,-3.06763891632505e-15,0.0
16.8,0.1,0.0,0.0,-0.0,1.0,0,16.8,-3.0860080116323802e-15,0.0
16.9,0.1,0.0,0.0,-0.0,1.0,0,16.9,-3.10437710693972e-15,0.0
17.0,0.1,0.0,0.0,-0.0,1.0,0,17.0,-3.12274620224705e-15,0.0
17.1,0.1,0.0,0.0,-0.0,1.0,0,17.1,-3.14111529755439e-15,0.0
17.2,0.1,0.0,0.0,-0.0,1.0,0,17.2,-3.15948439286172e-15,0.0
17.3,0.1,0.0,0.0,-0.0,1.0,0,17.3,-3.1778534881690605e-15,0.0
17.4,0.1,0.0,0.0,-0.0,1.0,0,17.4,-3.1962225834764e-15,0.0
17.5,0.1,0.0,0.0,-0.0,1.0,0,17.5,-3.2145916787837304e-15,0.0
17.6,0.1,0.0,0.0,-0.0,1.0,0,17.6,-3.2329607740910704e-15,0.0
17.7,0.1,0.0,0.0,-0.0,1.0,0,17.7,-3.2513298693984e-15,0.0
17.8,0.1,0.0,0.0,-0.0,1.0,0,17.8,-3.2696989647057403e-15,0.0
17.9,0.1,0.0,0.0,-0.0,1.0,0,17.9,-3.2880680600130704e-15,0.0
18.0,0.1,0.0,0.0,-0.0,1.0,0,18.0,-3.3064371553204103e-15,0.0
18.1,0.1,0.0,0.0,-0.0,1.0,0,18.1,-3.3248062506277404e-15,0.0
18.2,0.1,0.0,0.0,-0.0,1.0,0,18.2,-3.3431753459350803e-15,0.0
18.3,0.1,0.0,0.0,-0.0,1.0,0,18.3,-3.3615444412424202e-15,0.0
18.4,0.1,0.0,0.0,-0.0,1.0,0,18.4,-3.3799135365497503e-15,0.0
18.5,0.1,0.0,0.0,-0.0,1.0,0,18.5,-3.39828263185709e-15,0.0
18.6,0.1,0.0,0.0,-0.0,1.0,0,18.6,-3.4166517271644202e-15,0.0
18.7,0.1,0.0,0.0,-0.0,1.0,0,18.7,-3.43502082247176e-15,0.0
18.8,0.1,0.0,0.0,-0.0,1.0,0,18.8,-3.4533899177790902e-15,0.0
18.9,0.1,0.0,0.0,-0.0,1.0,0,18.9,-3.47175901308643e-15,0.0
19.0,0.1,0.0,0.0,-0.0,1.0,0,19.0,-3.4901281083937602e-15,0.0
19.1,0.1,0.0,0.0,-0.0,1.0,0,19.1,-3.5084972037011e-15,0.0
19.2,0.1,0.0,0.0,-0.0,1.0,0,19.2,-3.5268662990084404e-15,0.0
19.3,0.1,0.0,0.0,-0.0,1.0,0,19.3,-3.5452353943157705e-15,0.0
19.4,0.1,0.0,0.0,-0.0,1.0,0,19.4,-3.5636044896231104e-15,0.0
19.5,0.1,0.0,0.0,-0.0,1.0,0,19.5,-3.58197358493044e-15,0.0
19.6,0.1,0.0,0.0,-0.0,1.0,0,19.6,-3.60034268023778e-15,0.0
19.7,0.1,0.0,0.0,-0.0,1.0,0,19.7,-3.618711775545121e-15,0.0
19.8,0.1,0.0,0.0,-0.0,1.0,0,19.8,-3.63708087085245e-15,0.0
19.9,0.1,0.0,0.0,-0.0,1.0,0,19.9,-3.65544996615979e-15,0.0
20.0,0.1,0.0,0.0,-0.0,1.0,0,20.0,-3.67381906146712e-15,0.0
20.1,0.1,0.0,0.0,-0.0,1.0,0,20.1,-3.692188156774461e-15,0.0
20.2,0.1,0.0,0.0,-0.0,1.0,0,20.2,-3.7105572520818e-15,0.0
20.3,0.1,0.0,0.0,-0.0,1.0,0,20.3,-3.72892634738913e-15,0.0
20.4,0.1,0.0,0.0,-0.0,1.0,0,20.4,-3.74729544269647e-15,0.0
20.5,0.1,0.0,0.0,-0.0,1.0,0,20.5,-3.7656645380038e-15,0.0
20.6,0.1,0.0,0.0,-0.0,1.0,0,20.6,-3.7840336333111405e-15,0.0
20.7,0.1,0.0,0.0,-0.0,1.0,0,20.7,-3.80240272861847e-15,0.0
20.8,0.1,0.0,0.0,-0.0,1.0,0,20.8,-3.82077182392581e-15,0.0
20.9,0.1,0.0,0.0,-0.0,1.0,0,20.9,-3.83914091923315e-15,0.0
21.0,0.1,0.0,0.0,-0.0,1.0,0,21.0,-3.8575100145404805e-15,0.0
21.1,0.1,0.0,0.0,-0.0,1.0,0,21.1,-3.87587910984782e-15,0.0
21.2,0.1,0.0,0.0,-0.0,1.0,0,21.2,-3.89424820515515e-15,0.0
21.3,0.1,0.0,0.0,-0.0,1.0,0,21.3,-3.91261730046249e-15,0.0
21.4,0.1,0.0,0.0,-0.0,1.0,0,21.4,-3.930986395769831e-15,0.0
21.5,0.1,0.0,0.0,-0.0,1.0,0,21.5,-3.94935549107716e-15,0.0
21.6,0.1,0.0,0.0,-0.0,1.0,0,21.6,-3.9677245863845e-15,0.0
21.7,0.1,0.0,0.0,-0.0,1.0,0,21.7,-3.986093681691831e-15,0.0
21.8,0.1,0.0,0.0,-0.0,1.0,0,21.8,-4.004462776999171e-15,0.0
