"Index","Length_m","TotalLength_m","Radius_m","Direction","Grade","X_m","Y_m","Z_m","CarAttitude","Sector"
"0","0.1","0.1","0","0","0","0.1","-1.83690953073357E-17","0","0","0"
"1","0.1","0.2","0","0","0","0.2","-3.67381906146713E-17","0","0","0"
"2","0.1","0.3","0","0","0","0.3","-5.5107285922007E-17","0","0","0"
"3","0.1","0.4","0","0","0","0.4","-7.34763812293426E-17","0","0","0"
"4","0.1","0.5","0","0","0","0.5","-9.18454765366783E-17","0","0","0"
"5","0.1","0.6","0","0","0","0.6","-1.10214571844014E-16","0","0","0"
"6","0.1","0.7","0","0","0","0.7","-1.2858366715135E-16","0","0","0"
"7","0.1","0.8","0","0","0","0.8","-1.46952762458685E-16","0","0","0"
"8","0.1","0.9","0","0","0","0.9","-1.65321857766021E-16","0","0","0"
"9","0.1","1","0","0","0","1","-1.83690953073357E-16","0","0","0"
"10","0.1","1.1","0","0","0","1.1","-2.02060048380692E-16","0","0","0"
"11","0.1","1.2","0","0","0","1.2","-2.20429143688028E-16","0","0","0"
"12","0.1","1.3","0","0","0","1.3","-2.38798238995364E-16","0","0","0"
"13","0.1","1.4","0","0","0","1.4","-2.57167334302699E-16","0","0","0"
"14","0.1","1.5","0","0","0","1.5","-2.75536429610035E-16","0","0","0"
"15","0.1","1.6","0","0","0","1.6","-2.93905524917371E-16","0","0","0"
"16","0.1","1.7","0","0","0","1.7","-3.12274620224706E-16","0","0","0"
"17","0.1","1.8","0","0","0","1.8","-3.30643715532042E-16","0","0","0"
"18","0.1","1.9","0","0","0","1.9","-3.49012810839378E-16","0","0","0"
"19","0.1","2","0","0","0","2","-3.67381906146713E-16","0","0","0"
"20","0.1","2.1","0","0","0","2.1","-3.85751001454049E-16","0","0","0"
"21","0.1","2.2","0","0","0","2.2","-4.04120096761385E-16","0","0","0"
"22","0.1","2.3","0","0","0","2.3","-4.2248919206872E-16","0","0","0"
"23","0.1","2.4","0","0","0","2.4","-4.40858287376056E-16","0","0","0"
"24","0.1","2.5","0","0","0","2.5","-4.59227382683392E-16","0","0","0"
"25","0.1","2.6","0","0","0","2.6","-4.77596477990727E-16","0","0","0"
"26","0.1","2.7","0","0","0","2.7","-4.95965573298063E-16","0","0","0"
"27","0.1","2.8","0","0","0","2.8","-5.14334668605399E-16","0","0","0"
"28","0.1","2.9","0","0","0","2.9","-5.32703763912734E-16","0","0","0"
"29","0.1","3","0","0","0","3","-5.5107285922007E-16","0","0","0"
"30","0.1","3.1","0","0","0","3.1","-5.69441954527406E-16","0","0","0"
"31","0.1","3.2","0","0","0","3.2","-5.87811049834741E-16","0","0","0"
"32","0.1","3.3","0","0","0","3.3","-6.06180145142077E-16","0","0","0"
"33","0.1","3.4","0","0","0","3.4","-6.24549240449413E-16","0","0","0"
"34","0.1","3.5","0","0","0","3.5","-6.42918335756748E-16","0","0","0"
"35","0.1","3.6","0","0","0","3.6","-6.61287431064084E-16","0","0","0"
"36","0.1","3.7","0","0","0","3.7","-6.7965652637142E-16","0","0","0"
"37","0.1","3.8","0","0","0","3.8","-6.98025621678755E-16","0","0","0"
"38","0.1","3.9","0","0","0","3.9","-7.16394716986091E-16","0","0","0"
"39","0.1","4","0","0","0","4","-7.34763812293427E-16","0","0","0"
"40","0.1","4.1","0","0","0","4.1","-7.53132907600763E-16","0","0","0"
"41","0.1","4.2","0","0","0","4.2","-7.71502002908098E-16","0","0","0"
"42","0.1","4.3","0","0","0","4.3","-7.89871098215434E-16","0","0","0"
"43","0.1","4.4","0","0","0","4.4","-8.0824019352277E-16","0","0","0"
"44","0.1","4.5","0","0","0","4.5","-8.26609288830105E-16","0","0","0"
"45","0.1","4.6","0","0","0","4.6","-8.44978384137441E-16","0","0","0"
"46","0.1","4.7","0","0","0","4.7","-8.63347479444777E-16","0","0","0"
"47","0.1","4.8","0","0","0","4.8","-8.81716574752112E-16","0","0","0"
"48","0.1","4.9","0","0","0","4.9","-9.00085670059448E-16","0","0","0"
"49","0.1","5","0","0","0","5","-9.18454765366784E-16","0","0","0"
"50","0.1","5.1","0","0","0","5.1","-9.36823860674119E-16","0","0","0"
"51","0.1","5.2","0","0","0","5.2","-9.55192955981455E-16","0","0","0"
"52","0.1","5.3","0","0","0","5.3","-9.7356205128879E-16","0","0","0"
"53","0.1","5.4","0","0","0","5.4","-9.91931146596126E-16","0","0","0"
"54","0.1","5.5","0","0","0","5.5","-1.01030024190346E-15","0","0","0"
"55","0.1","5.6","0","0","0","5.6","-1.0286693372108E-15","0","0","0"
"56","0.1","5.7","0","0","0","5.7","-1.04703843251813E-15","0","0","0"
"57","0.1","5.8","0","0","0","5.8","-1.06540752782547E-15","0","0","0"
"58","0.1","5.9","0","0","0","5.9","-1.0837766231328E-15","0","0","0"
"59","0.1","5.99999999999999","0","0","0","5.99999999999999","-1.10214571844014E-15","0","0","0"
"60","0.1","6.09999999999999","0","0","0","6.09999999999999","-1.12051481374747E-15","0","0","0"
"61","0.1","6.19999999999999","0","0","0","6.19999999999999","-1.13888390905481E-15","0","0","0"
"62","0.1","6.29999999999999","0","0","0","6.29999999999999","-1.15725300436215E-15","0","0","0"
"63","0.1","6.39999999999999","0","0","0","6.39999999999999","-1.17562209966948E-15","0","0","0"
"64","0.1","6.49999999999999","0","0","0","6.49999999999999","-1.19399119497682E-15","0","0","0"
"65","0.1","6.59999999999999","0","0","0","6.59999999999999","-1.21236029028415E-15","0","0","0"
"66","0.1","6.69999999999999","0","0","0","6.69999999999999","-1.23072938559149E-15","0","0","0"
"67","0.1","6.79999999999999","0","0","0","6.79999999999999","-1.24909848089882E-15","0","0","0"
"68","0.1","6.89999999999999","0","0","0","6.89999999999999","-1.26746757620616E-15","0","0","0"
"69","0.1","6.99999999999999","0","0","0","6.99999999999999","-1.2858366715135E-15","0","0","0"
"70","0.1","7.09999999999999","0","0","0","7.09999999999999","-1.30420576682083E-15","0","0","0"
"71","0.1","7.19999999999999","0","0","0","7.19999999999999","-1.32257486212817E-15","0","0","0"
"72","0.1","7.29999999999999","0","0","0","7.29999999999999","-1.3409439574355E-15","0","0","0"
"73","0.1","7.39999999999999","0","0","0","7.39999999999999","-1.35931305274284E-15","0","0","0"
"74","0.1","7.49999999999999","0","0","0","7.49999999999999","-1.37768214805017E-15","0","0","0"
"75","0.1","7.59999999999999","0","0","0","7.59999999999999","-1.39605124335751E-15","0","0","0"
"76","0.1","7.69999999999999","0","0","0","7.69999999999999","-1.41442033866484E-15","0","0","0"
"77","0.1","7.79999999999999","0","0","0","7.79999999999999","-1.43278943397218E-15","0","0","0"
"78","0.1","7.89999999999999","0","0","0","7.89999999999999","-1.45115852927952E-15","0","0","0"
"79","0.1","7.99999999999999","0","0","0","7.99999999999999","-1.46952762458685E-15","0","0","0"
"80","0.1","8.09999999999999","0","0","0","8.09999999999999","-1.48789671989419E-15","0","0","0"
"81","0.1","8.19999999999999","0","0","0","8.19999999999999","-1.50626581520152E-15","0","0","0"
"82","0.1","8.29999999999999","0","0","0","8.29999999999999","-1.52463491050886E-15","0","0","0"
"83","0.1","8.39999999999999","0","0","0","8.39999999999999","-1.54300400581619E-15","0","0","0"
"84","0.1","8.49999999999999","0","0","0","8.49999999999999","-1.56137310112353E-15","0","0","0"
"85","0.1","8.59999999999999","0","0","0","8.59999999999999","-1.57974219643086E-15","0","0","0"
"86","0.1","8.69999999999999","0","0","0","8.69999999999999","-1.5981112917382E-15","0","0","0"
"87","0.1","8.79999999999998","0","0","0","8.79999999999998","-1.61648038704554E-15","0","0","0"
"88","0.1","8.89999999999998","0","0","0","8.89999999999998","-1.63484948235287E-15","0","0","0"
"89","0.1","8.99999999999998","0","0","0","8.99999999999998","-1.65321857766021E-15","0","0","0"
"90","0.1","9.09999999999998","0","0","0","9.09999999999998","-1.67158767296754E-15","0","0","0"
"91","0.1","9.19999999999998","0","0","0","9.19999999999998","-1.68995676827488E-15","0","0","0"
"92","0.1","9.29999999999998","0","0","0","9.29999999999998","-1.70832586358221E-15","0","0","0"
"93","0.1","9.39999999999998","0","0","0","9.39999999999998","-1.72669495888955E-15","0","0","0"
"94","0.1","9.49999999999998","0","0","0","9.49999999999998","-1.74506405419688E-15","0","0","0"
"95","0.1","9.59999999999998","0","0","0","9.59999999999998","-1.76343314950422E-15","0","0","0"
"96","0.1","9.69999999999998","0","0","0","9.69999999999998","-1.78180224481156E-15","0","0","0"
"97","0.1","9.79999999999998","0","0","0","9.79999999999998","-1.80017134011889E-15","0","0","0"
"98","0.1","9.89999999999998","0","0","0","9.89999999999998","-1.81854043542623E-15","0","0","0"
"99","0.1","9.99999999999998","0","0","0","9.99999999999998","-1.83690953073356E-15","0","0","0"
"100","0.1","10.1","0","0","0","10.1","-1.8552786260409E-15","0","0","0"
"101","0.1","10.2","0","0","0","10.2","-1.87364772134823E-15","0","0","0"
"102","0.1","10.3","0","0","0","10.3","-1.89201681665557E-15","0","0","0"
"103","0.1","10.4","0","0","0","10.4","-1.91038591196291E-15","0","0","0"
"104","0.1","10.5","0","0","0","10.5","-1.92875500727024E-15","0","0","0"
"105","0.1","10.6","0","0","0","10.6","-1.94712410257758E-15","0","0","0"
"106","0.1","10.7","0","0","0","10.7","-1.96549319788491E-15","0","0","0"
"107","0.1","10.8","0","0","0","10.8","-1.98386229319225E-15","0","0","0"
"108","0.1","10.9","0","0","0","10.9","-2.00223138849958E-15","0","0","0"
"109","0.1","11","0","0","0","11","-2.02060048380692E-15","0","0","0"
"110","0.1","11.1","0","0","0","11.1","-2.03896957911425E-15","0","0","0"
"111","0.1","11.2","0","0","0","11.2","-2.05733867442159E-15","0","0","0"
"112","0.1","11.3","0","0","0","11.3","-2.07570776972893E-15","0","0","0"
"113","0.1","11.4","0","0","0","11.4","-2.09407686503626E-15","0","0","0"
"114","0.1","11.5","0","0","0","11.5","-2.1124459603436E-15","0","0","0"
"115","0.1","11.6","0","0","0","11.6","-2.13081505565093E-15","0","0","0"
"116","0.1","11.7","0","0","0","11.7","-2.14918415095827E-15","0","0","0"
"117","0.1","11.8","0","0","0","11.8","-2.1675532462656E-15","0","0","0"
"118","0.1","11.9","0","0","0","11.9","-2.18592234157294E-15","0","0","0"
"119","0.1","12","0","0","0","12","-2.20429143688027E-15","0","0","0"
