distance_m,dx_m,curvature_1pm,bank_deg,inclination_deg,grip_factor,sector,x_m,y_m,z_m
0.1,0.1,-0.04505090590116815,0.0,-0.0,1.0,0,0.0670802307482028,-0.0741635067238483,0.0
0.2,0.1,-0.044160543652287484,0.0,-0.0,1.0,0,0.133822355690108,-0.148631436109387,0.0
0.3,0.1,-0.043304692637691745,0.0,-0.0,1.0,0,0.20023177924678,-0.223396219499766,0.0
0.4,0.1,-0.04248138447618785,0.0,-0.0,1.0,0,0.26631372688937,-0.29845060749188,0.0
0.5,0.1,-0.04168879768508473,0.0,-0.0,1.0,0,0.332073254103029,-0.373787650821699,0.0
0.6,0.1,-0.04092524422755532,0.0,-0.0,1.0,0,0.397515254753931,-0.449400682724396,0.0
0.7,0.1,-0.04018915751176403,0.0,-0.0,1.0,0,0.462644468908656,-0.525283302630793,0.0
0.8,0.1,-0.03947908166220733,0.0,-0.0,1.0,0,0.527465490150381,-0.601429361076853,0.0
0.9,0.1,-0.03879366190865479,0.0,-0.0,1.0,0,0.591982772432027,-0.67783294571633,0.0
1.0,0.1,-0.03813163595918298,0.0,-0.0,1.0,0,0.656200636502721,-0.754488368338324,0.0
1.1,0.1,-0.0374918262417206,0.0,-0.0,1.0,0,0.720123275940538,-0.831390152801797,0.0
1.2,0.1,-0.03687313291377711,0.0,-0.0,1.0,0,0.783754762821467,-0.908533023808096,0.0
1.3,0.1,-0.03627452755305956,0.0,-0.0,1.0,0,0.847099053051827,-0.985911896440567,0.0
1.4,0.1,-0.03569504745283871,0.0,-0.0,1.0,0,0.910159991388962,-1.06352186640733,0.0
1.5,0.1,-0.035133790455500524,0.0,-0.0,1.0,0,0.972941316172832,-1.14135820092958,0.0
1.6,0.1,-0.034589910265966556,0.0,-0.0,1.0,0,1.0354466637892,-1.21941633022336,0.0
1.7,0.1,-0.03406261219377487,0.0,-0.0,1.0,0,1.09767957288333,-1.29769183952761,0.0
1.8,0.1,-0.0335511492787665,0.0,-0.0,1.0,0,1.15964348834154,-1.3761804616357,0.0
1.9,0.1,-0.033054818760654005,0.0,-0.0,1.0,0,1.2213417650565,-1.45487806989181,0.0
2.0,0.1,-0.02673356742848547,0.0,-0.0,1.0,0,1.28275464057553,-1.53379861705659,0.0
2.1,0.1,-0.02266956813288694,0.0,-0.0,1.0,0,1.34394024801422,-1.61289550169678,0.0
2.2,0.1,-0.019678126966480414,0.0,-0.0,1.0,0,1.40493454030303,-1.69214001621533,0.0
2.3,0.1,-0.01738414240808957,0.0,-0.0,1.0,0,1.46576367495789,-1.77151138295888,0.0
2.4,0.1,-0.015569161895184171,0.0,-0.0,1.0,0,1.52644752625534,-1.85099388525793,0.0
2.5,0.1,-0.01409733812707197,0.0,-0.0,1.0,0,1.58700170123983,-1.930575228774,0.0
2.6,0.1,-0.012879756131963035,0.0,-0.0,1.0,0,1.64743877826198,-2.01024553904463,0.0
2.7,0.1,-0.011855776963768803,0.0,-0.0,1.0,0,1.70776910930553,-2.08999671448955,0.0
2.8,0.1,-0.010982625370216879,0.0,-0.0,1.0,0,1.76800136233592,-2.16982199049742,0.0
2.9,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,1.82814290094783,-2.24971563518466,0.0
3.0,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,1.88820268279891,-2.32967075842275,0.0
3.1,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,1.94818064504392,-2.40968727654842,0.0
3.2,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,2.00807672492322,-2.48976510583412,0.0
3.3,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,2.06789085976288,-2.56990416248817,0.0
3.4,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,2.12762298697469,-2.65010436265482,0.0
3.5,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,2.18727304405626,-2.73036562241433,0.0
3.6,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,2.24684096859108,-2.81068785778308,0.0
3.7,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,2.30632669824857,-2.89107098471363,0.0
3.8,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,2.36573017078417,-2.97151491909485,0.0
3.9,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,2.42505132403939,-3.05201957675196,0.0
4.0,0.1,-0.010229262917108168,0.0,-0.0,1.0,0,2.48429009594188,-3.13258487344666,0.0
4.1,0.1,0.023060649796163575,0.0,-0.0,1.0,0,2.54331213073713,-3.21330906422622,0.0
4.2,0.1,0.022351491139446046,0.0,-0.0,1.0,0,2.60252302189563,-3.29389483347225,0.0
4.3,0.1,0.021684647169562855,0.0,-0.0,1.0,0,2.66191656939038,-3.37434607707642,0.0
4.4,0.1,0.021056440301629648,0.0,-0.0,1.0,0,2.72148695637719,-3.45466646863087,0.0
4.5,0.1,0.020463607112765493,0.0,-0.0,1.0,0,2.78122871502517,-3.53485947820145,0.0
4.6,0.1,0.019903241636037097,0.0,-0.0,1.0,0,2.84113669627649,-3.61492838902977,0.0
4.7,0.1,0.01937274772294135,0.0,-0.0,1.0,0,2.90120604298812,-3.69487631244315,0.0
4.8,0.1,0.01886979882638503,0.0,-0.0,1.0,0,2.9614321659963,-3.77470620120769,0.0
4.9,0.1,0.018392303889746688,0.0,-0.0,1.0,0,3.02181072271802,-3.85442086152327,0.0
5.0,0.1,0.017938378287125623,0.0,-0.0,1.0,0,3.08233759796257,-3.93402296382959,0.0
5.1,0.1,0.017018157264147203,0.0,-0.0,1.0,0,3.14301082733344,-4.01351357223228,0.0
5.2,0.1,0.016187742140027665,0.0,-0.0,1.0,0,3.20382254401077,-4.09289828695158,0.0
5.3,0.1,0.015434598101053241,0.0,-0.0,1.0,0,3.26476567314163,-4.17218216315926,0.0
5.4,0.1,0.014748419383426171,0.0,-0.0,1.0,0,3.32583381851503,-4.25136978724297,0.0
5.5,0.1,0.014120654877200964,0.0,-0.0,1.0,0,3.38702116981981,-4.3304653394485,0.0
5.6,0.1,0.013544149939423203,0.0,-0.0,1.0,0,3.4483224260233,-4.40947264581426,0.0
