distance_m,dx_m,curvature_1pm,bank_deg,inclination_deg,grip_factor,sector,x_m,y_m,z_m
0.25,0.25,0.03219216353333528,0.0,-0.0,1.0,0,0.245952640507308,-0.0009737107284763,0.0
0.5,0.25,0.03221838513068344,0.0,-0.0,1.0,0,0.504062557115474,-0.0149216695515341,0.0
0.75,0.25,0.032244649479595995,0.0,-0.0,1.0,0,0.762160341778879,-0.026921397966467,0.0
1.0,0.25,0.03227095668471107,0.0,-0.0,1.0,0,1.02023053053975,-0.0369714137362481,0.0
1.25,0.25,0.03223306976768582,0.0,-0.0,1.0,0,1.27824953865967,-0.0450686036376036,0.0
1.5,0.25,0.0321952717067335,0.0,-0.0,1.0,0,1.53620194245534,-0.0512158042498973,0.0
1.75,0.25,0.03215756218962942,0.0,-0.0,1.0,0,1.79407237826579,-0.0554159674815591,0.0
2.0,0.25,0.032119940905609976,0.0,-0.0,1.0,0,2.05184554314907,-0.0576721596773728,0.0
2.25,0.25,0.03208240754536413,0.0,-0.0,1.0,0,2.30950619556857,-0.057987560724521,0.0
2.5,0.25,0.032137256801559454,0.0,-0.0,1.0,0,2.56705098632466,-0.0563675094931532,0.0
2.75,0.25,0.03220112019937038,0.0,-0.0,1.0,0,2.82446552970126,-0.0528097550731466,0.0
3.0,0.25,0.03226523792222441,0.0,-0.0,1.0,0,3.08173419921871,-0.0473114174053379,0.0
3.25,0.25,0.03232961149236146,0.0,-0.0,1.0,0,3.33884128234677,-0.0398697294374183,0.0
3.5,0.25,0.03239424244419393,0.0,-0.0,1.0,0,3.59577098089132,-0.0304820384981682,0.0
3.75,0.25,0.03273301344827662,0.0,-0.0,1.0,0,3.85254167214285,-0.0191506005956513,0.0
4.0,0.25,0.033055448430268974,0.0,-0.0,1.0,0,4.10913269317912,-0.0058555287323282,0.0
4.25,0.25,0.033384298868111256,0.0,-0.0,1.0,0,4.36552586935046,0.0094214750281,0.0
4.5,0.25,0.03371975815729188,0.0,-0.0,1.0,0,4.6217025085384,0.0266989163060173,0.0
4.75,0.25,0.03406202754547335,0.0,-0.0,1.0,0,4.87764338384857,0.045995510163761,0.0
5.0,0.25,0.034411316535093155,0.0,-0.0,1.0,0,5.13332871558978,0.0673301827832506,0.0
5.25,0.25,0.03470921498673012,0.0,-0.0,1.0,0,5.38873162529376,0.0907228718994511,0.0
5.5,0.25,0.035225229543519844,0.0,-0.0,1.0,0,5.64385497809988,0.116186545997178,0.0
5.75,0.25,0.03575681860164133,0.0,-0.0,1.0,0,5.8986757415948,0.143750051194834,0.0
6.0,0.25,0.0363046980762634,0.0,-0.0,1.0,0,6.15316992762629,0.173442883059345,0.0
6.25,0.25,0.036869628443423404,0.0,-0.0,1.0,0,6.40731254271867,0.205295207219498,0.0
6.5,0.25,0.037680483540400884,0.0,-0.0,1.0,0,6.66109954423559,0.23933516962452,0.0
6.75,0.25,0.038207196548884846,0.0,-0.0,1.0,0,6.91447123001601,0.275611743205885,0.0
7.0,0.25,0.03874884352446486,0.0,-0.0,1.0,0,7.16739995519151,0.31415268670105,0.0
7.25,0.25,0.03930606873795594,0.0,-0.0,1.0,0,7.4198570199991,0.354986264175126,0.0
7.5,0.25,0.039879554060459683,0.0,-0.0,1.0,0,7.67181261956886,0.3981412559659,0.0
7.75,0.25,0.04047002174696411,0.0,-0.0,1.0,0,7.9232357906948,0.443646969745047,0.0
8.0,0.25,0.04006449925774321,0.0,-0.0,1.0,0,8.17400888326255,0.491543094108465,0.0
8.25,0.25,0.03988532289353855,0.0,-0.0,1.0,0,8.42413378987982,0.541796554577719,0.0
8.5,0.25,0.039707742018264276,0.0,-0.0,1.0,0,8.67359026223401,0.594389996829259,0.0
8.75,0.25,0.03953173541566121,0.0,-0.0,1.0,0,8.92235840758083,0.649306024878495,0.0
9.0,0.25,0.039357282243978164,0.0,-0.0,1.0,0,9.170418684358,0.70652720514002,0.0
9.25,0.25,0.0399465716735275,0.0,-0.0,1.0,0,9.41781940383133,0.766032777127209,0.0
9.5,0.25,0.040680990990925314,0.0,-0.0,1.0,0,9.66453806648441,0.827850147407591,0.0
9.75,0.25,0.04144292074584626,0.0,-0.0,1.0,0,9.91053770327214,0.892015222375138,0.0
10.0,0.25,0.04223393620235713,0.0,-0.0,1.0,0,10.1557795919585,0.958564840909367,0.0
10.25,0.25,0.04305573523213423,0.0,-0.0,1.0,0,10.4002231477679,1.02753680798141,0.0
10.5,0.25,0.0439101504798345,0.0,-0.0,1.0,0,10.6438258052526,1.098969929619,0.0
10.75,0.25,0.04389138633196143,0.0,-0.0,1.0,0,10.8864767642068,1.17290860615841,0.0
11.0,0.25,0.04405545414442432,0.0,-0.0,1.0,0,11.1281628513987,1.24934058023793,0.0
11.25,0.25,0.04422075314361431,0.0,-0.0,1.0,0,11.3688532615966,1.3282647135828,0.0
11.5,0.25,0.044387297240209074,0.0,-0.0,1.0,0,11.6085169696653,1.40967952042509,0.0
11.75,0.25,0.04455510055523997,0.0,-0.0,1.0,0,11.8471227319323,1.49358316112509,0.0
12.0,0.25,0.044724177424083265,0.0,-0.0,1.0,0,12.0846390876465,1.57997343571137,0.0
12.25,0.25,0.04438476708137222,0.0,-0.0,1.0,0,12.3209975430097,1.66884808370882,0.0
12.5,0.25,0.044073005986361324,0.0,-0.0,1.0,0,12.5561814613799,1.76017483864712,0.0
12.75,0.25,0.04376559399783955,0.0,-0.0,1.0,0,12.7901725574968,1.85392301065102,0.0
13.0,0.25,0.04346244074030767,0.0,-0.0,1.0,0,13.0229531410867,1.95006214610085,0.0
13.25,0.25,0.04316345832507432,0.0,-0.0,1.0,0,13.2545061018038,2.04856202911782,0.0
13.5,0.25,0.042868561265306,0.0,-0.0,1.0,0,13.4848148945717,2.1493926828465,0.0
13.75,0.25,0.04219543269802446,0.0,-0.0,1.0,0,13.7138335710837,2.25252149846648,0.0
14.0,0.25,0.0415222848815765,0.0,-0.0,1.0,0,13.9415568038225,2.3578970849703,0.0
14.25,0.25,0.04087027739575515,0.0,-0.0,1.0,0,14.1679822647946,2.46546863140704,0.0
14.5,0.25,0.040238429762664334,0.0,-0.0,1.0,0,14.3931082260272,2.57518691470995,0.0
14.75,0.25,0.039625821213411516,0.0,-0.0,1.0,0,14.6169335155813,2.68700423147597,0.0
15.0,0.25,0.03903158621108067,0.0,-0.0,1.0,0,14.8394574769289,2.80087433350102,0.0
15.25,0.25,0.03926269472003402,0.0,-0.0,1.0,0,15.0607521657492,2.91676817725126,0.0
15.5,0.25,0.039460319001508135,0.0,-0.0,1.0,0,15.2807873323758,3.03468528133465,0.0
15.75,0.25,0.03965994278566788,0.0,-0.0,1.0,0,15.4995367736182,3.15462367380591,0.0
16.0,0.25,0.03986159657235213,0.0,-0.0,1.0,0,15.7169740389146,3.27658110267369,0.0
16.25,0.25,0.04006531148488423,0.0,-0.0,1.0,0,15.9330724293634,3.40055502913963,0.0
16.5,0.25,0.04027111928608568,0.0,-0.0,1.0,0,16.1478049968031,3.52654262068936,0.0
16.75,0.25,0.04146243198808733,0.0,-0.0,1.0,0,16.3612242692316,3.65456015859871,0.0
17.0,0.25,0.04274314004009056,0.0,-0.0,1.0,0,16.5732693111616,3.78465343186253,0.0
17.25,0.25,0.044105487850361946,0.0,-0.0,1.0,0,16.7838731142526,3.9168707705245,0.0
17.5,0.25,0.04555753870671515,0.0,-0.0,1.0,0,16.9929639368003,4.05126274333952,0.0
17.75,0.25,0.04710845389091781,0.0,-0.0,1.0,0,17.2004648195343,4.18788231743441,0.0
18.0,0.25,0.04876868616041581,0.0,-0.0,1.0,0,17.406293034944,4.32678503312052,0.0
18.25,0.25,0.04943609797644099,0.0,-0.0,1.0,0,17.6102927417434,4.46801931956513,0.0
18.5,0.25,0.050455715948364656,0.0,-0.0,1.0,0,17.8124295781333,4.61159776601474,0.0
18.75,0.25,0.05151827883526629,0.0,-0.0,1.0,0,18.0126347587823,4.75754507749026,0.0
19.0,0.25,0.05262655817550775,0.0,-0.0,1.0,0,18.2108363111298,4.90588607363163,0.0
19.25,0.25,0.05378356923994322,0.0,-0.0,1.0,0,18.406958870926,5.05664565265634,0.0
19.5,0.25,0.05580455004215998,0.0,-0.0,1.0,0,18.6009657771679,5.20985364390876,0.0
19.75,0.25,0.05714996295681629,0.0,-0.0,1.0,0,18.7927001355552,5.36556645157991,0.0
20.0,0.25,0.05856185272022167,0.0,-0.0,1.0,0,18.9820706402559,5.52381149475723,0.0
20.25,0.25,0.060045271066866426,0.0,-0.0,1.0,0,19.168981130788,5.68461614933099,0.0
20.5,0.25,0.06160579489179952,0.0,-0.0,1.0,0,19.3533302297148,5.848007669219,0.0
20.75,0.25,0.06324959631381694,0.0,-0.0,1.0,0,19.5350109445693,6.0140130936797,0.0
21.0,0.25,0.06332629180513506,0.0,-0.0,1.0,0,19.7138370414936,6.18265495555421,0.0
21.25,0.25,0.06441442989954548,0.0,-0.0,1.0,0,19.8898087334932,6.35389479425251,0.0
21.5,0.25,0.06554061682548167,0.0,-0.0,1.0,0,20.0628350738883,6.52773122098017,0.0
21.75,0.25,0.06670688377047221,0.0,-0.0,1.0,0,20.2328219897627,6.70416128202962,0.0
22.0,0.25,0.06791540911774574,0.0,-0.0,1.0,0,20.3996721437074,6.88318032274502,0.0
22.25,0.25,0.06842625726174206,0.0,-0.0,1.0,0,20.5632541289778,7.06477976755936,0.0
22.5,0.25,0.06866409339636412,0.0,-0.0,1.0,0,20.7234880954944,7.24892233624234,0.0
22.75,0.25,0.06890358864043604,0.0,-0.0,1.0,0,20.8803193962787,7.43555956696511,0.0
23.0,0.25,0.06914476041527268,0.0,-0.0,1.0,0,21.0336938385952,7.62464172685513,0.0
23.25,0.25,0.06938762638695334,0.0,-0.0,1.0,0,21.1835577106217,7.81611780658613,0.0
23.5,0.25,0.07082516004887977,0.0,-0.0,1.0,0,21.3299059082118,8.00994191325139,0.0
23.75,0.25,0.07232525518688336,0.0,-0.0,1.0,0,21.4726242119404,8.20610010167771,0.0
24.0,0.25,0.07389027014648263,0.0,-0.0,1.0,0,21.6115937282312,8.40457578243867,0.0
24.25,0.25,0.07552451245228374,0.0,-0.0,1.0,0,21.7466907984512,8.60534941684506,0.0
24.5,0.25,0.07723267932863996,0.0,-0.0,1.0,0,21.8777867445771,8.80839823144541,0.0
24.75,0.25,0.07928131157541467,0.0,-0.0,1.0,0,22.0047572932582,9.01369694450253,0.0
25.0,0.25,0.08182662250958952,0.0,-0.0,1.0,0,22.1274631011026,9.22122393291398,0.0
25.25,0.25,0.08454078789793174,0.0,-0.0,1.0,0,22.2457227128879,9.43096189366284,0.0
25.5,0.25,0.08744118675754521,0.0,-0.0,1.0,0,22.3593432709603,9.64288845653938,0.0
25.75,0.25,0.09151290473585505,0.0,-0.0,1.0,0,22.4681529675516,9.85697762415128,0.0
26.0,0.25,0.09363608266498691,0.0,-0.0,1.0,0,22.5718017058515,10.0732115687698,0.0
26.25,0.25,0.09586011971249377,0.0,-0.0,1.0,0,22.6701210514393,10.2915186474738,0.0
26.5,0.25,0.09819237752577199,0.0,-0.0,1.0,0,22.7629364430414,10.5118197623077,0.0
26.75,0.25,0.10064095204718577,0.0,-0.0,1.0,0,22.8500669411434,10.7340276703906,0.0
27.0,0.25,0.1000900374365189,0.0,-0.0,1.0,0,22.9312208237327,10.9580357489557,0.0
27.25,0.25,0.10061219036485505,0.0,-0.0,1.0,0,23.0064238498417,11.1836895477089,0.0
27.5,0.25,0.10113981983177413,0.0,-0.0,1.0,0,23.0756054035147,11.4108482788767,0.0
27.75,0.25,0.10167301245152845,0.0,-0.0,1.0,0,23.13869770046,11.639367933182,0.0
28.0,0.25,0.10185082555502149,0.0,-0.0,1.0,0,23.1956240687502,11.8690989275711,0.0
28.25,0.25,0.10176551446229656,0.0,-0.0,1.0,0,23.2463363075358,12.0998848637731,0.0
28.5,0.25,0.10168034616451734,0.0,-0.0,1.0,0,23.2908149701108,12.3315672404133,0.0
28.75,0.25,0.10159532030346495,0.0,-0.0,1.0,0,23.3290446552411,12.5639873827257,0.0
29.0,0.25,0.10151043652211816,0.0,-0.0,1.0,0,23.3610140000282,12.7969865451779,0.0
29.25,0.25,0.1016906381747042,0.0,-0.0,1.0,0,23.3867240751441,13.0304088698488,0.0
29.5,0.25,0.10182499795557837,0.0,-0.0,1.0,0,23.4061535006847,13.2640961444773,0.0
29.75,0.25,0.10195971325461452,0.0,-0.0,1.0,0,23.4192892011973,13.4978895875156,0.0
30.0,0.25,0.10209478548474224,0.0,-0.0,1.0,0,23.4261220997362,13.7316297135557,0.0
30.25,0.25,0.10194158860163648,0.0,-0.0,1.0,0,23.4266383538257,13.9651524484522,0.0
30.5,0.25,0.1017307139659431,0.0,-0.0,1.0,0,23.4208533394354,14.1982971961847,0.0
30.75,0.25,0.10152070995266194,0.0,-0.0,1.0,0,23.4087918216169,14.4309054447925,0.0
31.0,0.25,0.10131157118118943,0.0,-0.0,1.0,0,23.3904824527154,14.6628200176906,0.0
31.25,0.25,0.101103292315168,0.0,-0.0,1.0,0,23.365957713341,14.8938851626941,0.0
31.5,0.25,0.0991839417678077,0.0,-0.0,1.0,0,23.3352052336891,15.1239157390577,0.0
31.75,0.25,0.09722693575590467,0.0,-0.0,1.0,0,23.2983700150972,15.3527759497024,0.0
