distance_m,dx_m,curvature_1pm,bank_deg,inclination_deg,grip_factor,sector,x_m,y_m,z_m
0.1,0.1,0.1095890410958904,0.0,-0.0,1.0,0,0.100174118264643,-0.0005498715796631,0.0
0.2,0.1,0.1095890410958904,0.0,-0.0,1.0,0,0.200346626918705,-4.31879135640723e-07,0.0
0.3,0.1,0.1095890410958904,0.0,-0.0,1.0,0,0.300507062608241,0.0016486847103063,0.0
0.4,0.1,0.1095890410958904,0.0,-0.0,1.0,0,0.400643353823755,0.004397279385414,0.0
0.5,0.1,0.1095890410958904,0.0,-0.0,1.0,0,0.50074343196564,0.0082450208340617,0.0
0.6,0.1,0.1095890410958904,0.0,-0.0,1.0,0,0.60079523279868,0.0131914452751761,0.0
0.7,0.1,0.1095890410958904,0.0,-0.0,1.0,0,0.70078669790603,0.0192359565146314,0.0
0.8,0.1,0.1095890410958904,0.0,-0.0,1.0,0,0.800705776142497,0.0263778260171022,0.0
0.9,0.1,0.1095890410958904,0.0,-0.0,1.0,0,0.900540425086936,0.0346161929938669,0.0
1.0,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.00027861249361,0.0439500645065493,0.0
1.1,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.09990831774229,0.0543783155867873,0.0
1.2,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.19941753328701,0.0658996893718144,0.0
1.3,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.29879426610321,0.0785127972559362,0.0
1.4,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.39802653913309,0.0922161190578847,0.0
1.5,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.49710239272914,0.107008003204031,0.0
1.6,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.59600988609548,0.12288666692743,0.0
1.7,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.69473709872696,0.139850196482685,0.0
1.8,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.79327213184585,0.157896547376585,0.0
1.9,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.89160310983585,0.177023544614509,0.0
2.0,0.1,0.1095890410958904,0.0,-0.0,1.0,0,1.98971818167332,0.197228882962561,0.0
2.1,0.1,0.1095890410958904,0.0,-0.0,1.0,0,2.08760552235562,0.218510127225387,0.0
2.2,0.1,0.1095890410958904,0.0,-0.0,1.0,0,2.18525333432619,0.240864712539672,0.0
2.3,0.1,0.1095890410958904,0.0,-0.0,1.0,0,2.28264984889646,0.264289944683253,0.0
2.4,0.1,0.1095890410958904,0.0,-0.0,1.0,0,2.37978332766413,0.288783000399827,0.0
