"Index","Length_m","TotalLength_m","Radius_m","Direction","Grade","X_m","Y_m","Z_m","CarAttitude","Sector"
"0","0.1","0.1","9.125","1","0","0.100174118264643","-0.000549871579663182","0","0","0"
"1","0.1","0.2","9.125","1","0","0.200346626918705","-4.31879135640723E-07","0","0.0109783829866145","0"
"2","0.1","0.3","9.125","1","0","0.300507062608241","0.00164868471030633","0","0.0219567664608784","0"
"3","0.1","0.4","9.125","1","0","0.400643353823755","0.00439727938541404","0","0.0329351504014332","0"
"4","0.1","0.5","9.125","1","0","0.50074343196564","0.00824502083406171","0","0.0439135347868593","0"
"5","0.1","0.6","9.125","1","0","0.60079523279868","0.0131914452751761","0","0.0548919195956263","0"
"6","0.1","0.7","9.125","1","0","0.70078669790603","0.0192359565146314","0","0.0658703048061831","0"
"7","0.1","0.8","9.125","1","0","0.800705776142497","0.0263778260171022","0","0.0768486903969791","0"
"8","0.1","0.9","9.125","1","0","0.900540425086936","0.0346161929938669","0","0.0878270763463622","0"
"9","0.1","1","9.125","1","0","1.00027861249361","0.0439500645065493","0","0.09880546263264","0"
"10","0.1","1.1","9.125","1","0","1.09990831774229","0.0543783155867873","0","0.10978384923411","0"
"11","0.1","1.2","9.125","1","0","1.19941753328701","0.0658996893718144","0","0.120762236129019","0"
"12","0.1","1.3","9.125","1","0","1.29879426610321","0.0785127972559362","0","0.131740623295564","0"
"13","0.1","1.4","9.125","1","0","1.39802653913309","0.0922161190578847","0","0.14271901071192","0"
"14","0.1","1.5","9.125","1","0","1.49710239272914","0.107008003204031","0","0.153697398356243","0"
"15","0.1","1.6","9.125","1","0","1.59600988609548","0.12288666692743","0","0.164675786206619","0"
"16","0.1","1.7","9.125","1","0","1.69473709872696","0.139850196482685","0","0.175654174241174","0"
"17","0.1","1.8","9.125","1","0","1.79327213184585","0.157896547376585","0","0.186632562437951","0"
"18","0.1","1.9","9.125","1","0","1.89160310983585","0.177023544614509","0","0.197610950775015","0"
"19","0.1","2","9.125","1","0","1.98971818167332","0.197228882962561","0","0.208589339230412","0"
"20","0.1","2.1","9.125","1","0","2.08760552235562","0.218510127225387","0","0.219567727782146","0"
"21","0.1","2.2","9.125","1","0","2.18525333432619","0.240864712539672","0","0.23054611640822","0"
