candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,pack_aware_curve_points,pack_aware_full_soc,pack_aware_terminal_power_limit_kw,pack_aware_maximum_achievable_terminal_power_kw,pack_aware_maximum_achievable_wheel_power_kw,pack_aware_maximum_tractive_force_n,pack_aware_active_limiter_at_peak_terminal_power,pack_aware_reaches_79p9kw_terminal,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,pack_aware_acceleration_raw_time_s,pack_aware_acceleration_projected_time_s,pack_aware_acceleration_points,pack_aware_acceleration_converged,pack_aware_skidpad_raw_time_s,pack_aware_skidpad_projected_time_s,pack_aware_skidpad_points,pack_aware_skidpad_converged,pack_aware_autocross_raw_time_s,pack_aware_autocross_projected_time_s,pack_aware_autocross_points,pack_aware_autocross_converged,pack_aware_nonenergy_points,pack_aware_performance_points_excluding_efficiency,pack_aware_full_dynamic_points,mass_isolated_acceleration_raw_time_s,mass_isolated_acceleration_projected_time_s,mass_isolated_acceleration_points,mass_isolated_acceleration_converged,mass_isolated_skidpad_raw_time_s,mass_isolated_skidpad_projected_time_s,mass_isolated_skidpad_points,mass_isolated_skidpad_converged,mass_isolated_autocross_raw_time_s,mass_isolated_autocross_projected_time_s,mass_isolated_autocross_points,mass_isolated_autocross_converged,mass_isolated_sprint_nonenergy_points,mass_isolated_sprint_hybrid_performance_points_excluding_efficiency,mass_isolated_sprint_hybrid_full_dynamic_points,pack_aware_minus_mass_isolated_nonenergy_points,pack_aware_minus_mass_isolated_full_dynamic_points,mass_isolated_acceleration_raw_time_s_delta_vs_lightest_s,mass_isolated_skidpad_raw_time_s_delta_vs_lightest_s,mass_isolated_autocross_raw_time_s_delta_vs_lightest_s,pack_aware_nonenergy_points_rank,pack_aware_performance_points_excluding_efficiency_rank,pack_aware_full_dynamic_points_rank,mass_isolated_sprint_nonenergy_points_rank,mass_isolated_sprint_hybrid_performance_points_excluding_efficiency_rank,mass_isolated_sprint_hybrid_full_dynamic_points_rank
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,375,35.625,258.51015114,8.1,7.939125,35.203125,121,1.0,80.0,56.55194851595368,50.2315176285761,3471.8573629535495,bus_current+motor_voltage,False,1236.396184147111,1276.1649705990683,275.0,63.397814007285376,0.16947007561811572,0.7174667679999988,84.3438519685037,4.342580605254257,3.7473762735669576,96.1485579981016,True,4.794899035926109,4.776731331626307,75.0,True,52.254710652882935,43.932902680839305,125.0,True,296.1485579981016,571.1485579981015,655.4924099666052,4.247502178631121,3.691548051900952,100.0,True,4.794899035926109,4.776731331626307,75.0,True,52.17037644133791,43.87985033663895,125.0,True,300.0,575.0,659.3438519685037,-3.8514420018984197,-3.8514420018984765,0.04214971117315702,0.036345842874785816,0.46628285890002985,71.0,27.0,48.0,1.0,1.0,41.0
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,440,36.85,259.73515114,7.92,7.762699999999999,35.09375,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.8573629535495,bus_current+motor_voltage,False,1237.5581472220997,1277.3643083133409,275.0,63.45739516731807,0.16941486972112293,0.7170267027763015,84.25722495596487,4.292370329604366,3.704047936625554,99.45485752944631,True,4.797431016765577,4.779253718879165,75.0,True,52.23341125715974,43.9149953138713,125.0,True,299.4548575294463,574.4548575294464,658.7120824854112,4.250501074226722,3.694154423064101,100.0,True,4.797431016765577,4.779253718879165,75.0,True,52.20290269935094,43.907207764953235,125.0,True,300.0,575.0,659.2572249559648,-0.5451424705536851,-0.5451424705536283,0.04514860676875809,0.03887782371425352,0.4988091169130655,35.0,9.0,42.0,1.0,1.0,42.0
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,440,39.6,262.48515114,7.876,7.762699999999999,34.8671875,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.8573629535495,bus_current+motor_voltage,False,1240.211626652855,1280.103137131444,275.0,63.59345575823555,0.16945385207791044,0.715328000219022,83.92283468878385,4.299477094597742,3.710180631660799,98.98219215027042,True,4.803090401087801,4.784891659992655,74.76001869786218,True,52.30643349836143,43.97638842037153,124.65800256943724,True,298.40021341756983,573.4002134175698,657.3230481063537,4.257232640246016,3.7000048966788723,99.76732384887659,True,4.803090401087801,4.784891659992655,74.76001869786218,True,52.275626557539795,43.96837489141279,124.72753190444934,True,299.25487445118813,574.2548744511881,658.177709139972,-0.8546610336182994,-0.8546610336182994,0.051880172788052015,0.04453720803647787,0.5715329751019169,46.0,16.0,44.0,126.0,26.0,46.0
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,34.765625,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.8573629535495,bus_current+motor_voltage,False,1241.7179854302497,1281.6579480646335,275.0,63.67069625349264,0.16954448357673502,0.7140782971324262,83.67683014417838,4.303741338746866,3.713860408457524,98.69932994463652,True,4.806470102955475,4.788258556288472,74.48114478290637,True,52.35005557404894,44.01306347572961,124.34011477072542,True,297.5205894982683,572.5205894982682,656.1974196424467,4.261271224332836,3.703514871857494,99.49601639206163,True,4.806470102955475,4.788258556288472,74.48114478290637,True,52.319068393338256,44.00491327551528,124.4107123401147,True,298.3878735150827,573.3878735150827,657.0647036592611,-0.8672840168143807,-0.8672840168144376,0.055918756874871356,0.04791690990415187,0.6149748109003781,59.0,22.0,46.0,128.0,30.0,48.0
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,32.015625,121,1.0,80.0,54.28987098119978,48.204396446908646,3471.8573629535495,bus_current+motor_voltage,False,1244.122620288108,1284.1399282033842,275.0,63.793997016976554,0.16258596202117426,0.7432009186907732,89.40962966353804,4.353876365797747,3.7571238105502323,95.41525044389769,True,4.791944925095995,4.773788413818533,75.0,True,52.23483869258638,43.91619542350541,125.0,True,295.41525044389766,570.4152504438977,659.8248801074357,4.244013571977018,3.688516067794482,100.0,True,4.791944925095995,4.773788413818533,75.0,True,52.132434958521685,43.84793823055327,125.0,True,300.0,575.0,664.409629663538,-4.584749556102338,-4.584749556102338,0.038661104519053247,0.03339173204467194,0.4283413760838073,79.0,29.0,38.0,1.0,1.0,33.0
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,32.9609375,121,1.0,80.0,79.99999934839148,69.07638665083184,3471.8573629535495,terminal_power_limit+motor_voltage,True,1244.9442098377676,1284.987944249478,275.0,63.836125084118386,0.16532892092997137,0.7303882003435029,86.88744101250059,4.272030518165478,3.686495947676243,100.0,True,4.801961207674562,4.7837667450536605,74.85332462037177,True,52.271647145917555,43.947141957852764,124.91188192449097,True,299.76520654486274,574.7652065448627,661.6526475573634,4.2558864450073015,3.698834904480644,99.85787412867016,True,4.801961207674562,4.7837667450536605,74.85332462037177,True,52.26111418781777,43.95616871896647,124.83348740183672,True,299.54468615087865,574.5446861508786,661.4321271633793,0.22052039398408851,0.22052039398408851,0.050533977549337195,0.043408014623238955,0.5570206053798898,32.0,8.0,35.0,123.0,23.0,38.0
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,31.5078125,121,1.0,80.0,64.78254141018913,57.61822378955744,3471.8573629535495,bus_current+motor_voltage,False,1246.6934619029837,1286.7934611533633,275.0,63.92582024696694,0.16168994204742015,0.7457783678573264,89.9170015467178,4.299172048294293,3.709917395722587,99.00244844297931,True,4.793967183287888,4.7758030097450535,75.0,True,52.198459774821345,43.8856100191689,125.0,True,299.0024484429793,574.0024484429794,663.9194499896971,4.246400595496384,3.690590654610962,100.0,True,4.793967183287888,4.7758030097450535,75.0,True,52.15840723381881,43.86978318607551,125.0,True,300.0,575.0,664.9170015467178,-0.9975515570206994,-0.9975515570206426,0.04104812803841984,0.035413990236564885,0.4543136513809287,40.0,12.0,30.0,1.0,1.0,30.0
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,32.5859375,121,1.0,80.0,79.99999983734592,71.3673349080841,3471.8573629535495,terminal_power_limit+motor_voltage,True,1248.1709229430533,1288.3184448510945,275.0,64.00157897335446,0.15678499377522298,0.7681993140467228,94.33057363124465,4.263453524122029,3.6790945366493397,100.0,True,4.798307859449993,4.780127239237399,75.0,True,52.2216305153007,43.905090710455944,125.0,True,300.0,575.0,669.3305736312446,4.2515414336223945,3.6950586101695695,100.0,True,4.798307859449993,4.780127239237399,75.0,True,52.21416859008002,43.91668336457166,125.0,True,300.0,575.0,669.3305736312446,0.0,0.0,0.046188966164430134,0.03975466639866987,0.5100750076421434,1.0,1.0,19.0,1.0,1.0,25.0
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,31.3046875,121,1.0,80.0,64.78254141018913,57.61822378955744,3471.8573629535495,bus_current+motor_voltage,False,1249.441301261939,1289.6296849946325,275.0,64.066719265287,0.16164475712415843,0.7443462220842009,89.63508308744112,4.306060450129884,3.715861656969059,98.54573037952031,True,4.799389892434655,4.781205172437026,75.0,True,52.268552102525064,43.944539814649666,124.93448668315695,True,298.48021706267724,573.4802170626772,663.1153001501183,4.252826585744518,3.696175549164137,100.0,True,4.799389892434655,4.781205172437026,75.0,True,52.228071626686514,43.928377034564704,125.0,True,300.0,575.0,664.6350830874411,-1.5197829373227592,-1.519782937322816,0.04747411828655412,0.04083669938333134,0.5239780442486364,44.0,15.0,31.0,1.0,1.0,32.0
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,31.875,121,1.0,80.0,62.468883451751154,55.544521903548116,3471.8573629535495,bus_current+motor_voltage,False,1249.7594790950031,1289.9580970442519,275.0,64.08303424533989,0.15520550683508264,0.7750306957773244,95.67533381443394,4.312557611493355,3.721468302084534,98.11628959911,True,4.796605003337477,4.7784308351869775,75.0,True,52.24204567258141,43.92225465810433,125.0,True,298.11628959911,573.11628959911,668.7916234135439,4.249521856560609,3.693303374867842,100.0,True,4.796605003337477,4.7784308351869775,75.0,True,52.19229084544618,43.89828226751775,125.0,True,300.0,575.0,670.675333814434,-1.8837104008899814,-1.8837104008900951,0.04416938910264445,0.03805181028615401,0.4881972630083027,50.0,17.0,20.0,1.0,1.0,20.0
