candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,375,35.625,258.51015114,8.1,7.939125,35.203125,1236.396184147111,1276.1649705990683,275.0,63.397814007285376,0.16947007561811572,0.7174667679999988,84.3438519685037
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,440,36.85,259.73515114,7.92,7.762699999999999,35.09375,1237.5581472220997,1277.3643083133409,275.0,63.45739516731807,0.16941486972112293,0.7170267027763015,84.25722495596487
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,440,39.6,262.48515114,7.876,7.762699999999999,34.8671875,1240.211626652855,1280.103137131444,275.0,63.59345575823555,0.16945385207791044,0.715328000219022,83.92283468878385
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,34.765625,1241.7179854302497,1281.6579480646335,275.0,63.67069625349264,0.16954448357673502,0.7140782971324262,83.67683014417838
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,32.015625,1244.122620288108,1284.1399282033842,275.0,63.793997016976554,0.16258596202117426,0.7432009186907732,89.40962966353804
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,32.9609375,1244.9442098377676,1284.987944249478,275.0,63.836125084118386,0.16532892092997137,0.7303882003435029,86.88744101250059
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,31.5078125,1246.6934619029837,1286.7934611533633,275.0,63.92582024696694,0.16168994204742015,0.7457783678573264,89.9170015467178
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,32.5859375,1248.1709229430533,1288.3184448510945,275.0,64.00157897335446,0.15678499377522298,0.7681993140467228,94.33057363124465
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,31.3046875,1249.441301261939,1289.6296849946325,275.0,64.066719265287,0.16164475712415843,0.7443462220842009,89.63508308744112
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,31.875,1249.7594790950031,1289.9580970442519,275.0,64.08303424533989,0.15520550683508264,0.7750306957773244,95.67533381443394
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,420,39.375,262.26015114,7.56,7.40985,31.203125,1251.023538290864,1291.2628148096453,275.0,64.14785051606354,0.1616887788903898,0.7432024060828949,89.40992245726278
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,345,32.775,255.66015114,7.452,7.303995,29.265625,1252.8018417415612,1293.0983175392503,275.0,64.23903532628971,0.15581059594432747,0.7701460591089899,94.713791163187
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,405,33.91875,256.80390114,7.29,7.1452125,29.0703125,1254.6422951618374,1294.9979692973927,275.0,64.33340695661647,0.15567988924194218,0.7696619759825368,94.6184992091608
tenpower_60xg_110s3p,tenpower_60xg,Tenpower,INR21700-60XG,110,3,330,31.35,254.23515114,7.128,6.98643,29.1328125,1255.1177676414636,1295.4887353890088,275.0,64.35778742318166,0.1482039729752195,0.8081800871005632,100.0
molicel_p50b_135s3p,molicel_p50b,Molicel,INR-21700-P50B,135,3,405,35.94375,258.82890114,7.29,7.1452125,30.1484375,1255.2215651220267,1295.595871524197,275.0,64.36310977329204,0.15118396216587282,0.7921845249302423,99.05207183666185
tenpower_50xg_135s3p,tenpower_50xg,Tenpower,INR21700-50XG,135,3,405,37.96875,260.85390114,7.29,7.1452125,28.8671875,1258.684795759742,1299.1704972644134,275.0,64.54069140501282,0.15579443831989045,0.7666259807421678,94.02086235082044
reliance_rs50_130s3p,reliance_rs50,Reliance,INR21700-RS50,130,3,390,32.6625,255.54765114,7.02,6.880574999999999,26.90625,1262.9139693905513,1303.535702618022,275.0,64.75754775469132,0.1497808934492102,0.7947349005010909,99.55411427186829
molicel_p50b_130s3p,molicel_p50b,Molicel,INR-21700-P50B,130,3,390,34.6125,257.49765114,7.02,6.880574999999999,27.7109375,1263.797666234762,1304.4478236449795,275.0,64.80286045371648,0.14558014520982024,0.8170954121077058,100.0
reliance_rs50_125s3p,reliance_rs50,Reliance,INR21700-RS50,125,3,375,31.40625,254.29140114,6.75,6.615937499999999,26.9296875,1264.7051554456884,1305.384502322114,275.0,64.84939313712783,0.14328447674817676,0.8295910122933609,100.0
ampace_jp50_130s3p,ampace_jp50,Ampace,JP50P1 (JP50),130,3,390,35.099999999999994,257.98515114,6.981,6.880574999999999,26.75,1265.6233450154614,1306.3322255360304,275.0,64.89647449528331,0.14970671023292503,0.7934265434010167,99.29656366161745
tenpower_50xg_130s3p,tenpower_50xg,Tenpower,INR21700-50XG,130,3,390,36.5625,259.44765114,7.02,6.880574999999999,26.703125,1267.0232030051448,1307.777110074783,275.0,64.96825402485844,0.14979939925716454,0.7920595402832232,99.02746855968961
tenpower_30xg_130s5p,tenpower_30xg,Tenpower,INR18650-30XG,130,5,650,39.0,261.88515114,7.02,6.880574999999999,27.1171875,1267.0279253355425,1307.7819842993322,275.0,64.96849616845938,0.15134349902229838,0.7839755381442159,97.43612955594801
ampace_jp50_125s3p,ampace_jp50,Ampace,JP50P1 (JP50),125,3,375,33.74999999999999,256.63515114,6.7125,6.615937499999999,26.7890625,1267.3198573233494,1308.0833063038913,275.0,64.98346535883952,0.14324357183744718,0.8281158322047111,100.0
tenpower_30xg_125s5p,tenpower_30xg,Tenpower,INR18650-30XG,125,5,625,37.5,260.38515114,6.75,6.6159375,27.203125,1268.4638538460058,1309.2640995701763,275.0,65.04212526065601,0.14486748610344893,0.8180944555910699,100.0
ampace_jp30_130s5p,ampace_jp30,Ampace,JP30P1 (JP30),130,5,650,40.625,263.51015114,7.176,6.880574999999999,27.015625,1268.7972096334274,1309.6081777743218,275.0,65.05921850995601,0.15131952005644977,0.7830063773157324,97.24534986530165
tenpower_50xg_125s3p,tenpower_50xg,Tenpower,INR21700-50XG,125,3,375,35.15625,258.04140114,6.75,6.615937499999999,26.71875,1268.8198558846566,1309.631552444112,275.0,65.0603797257878,0.143251499759976,0.8270910578729318,100.0
ampace_jp30_125s5p,ampace_jp30,Ampace,JP30P1 (JP30),125,5,625,39.0625,261.94765114,6.9,6.6159375,27.1015625,1270.2308514585948,1311.0879328084466,275.0,65.13273034940553,0.14481629425460277,0.8172452076946456,100.0
molicel_p30b_130s5p,molicel_p30b,Molicel,INR-18650-P30B,130,5,650,38.1875,261.07265114,7.02,6.880574999999999,26.078125,1271.3867394174808,1312.281,275.0,65.192,0.14831818181818182,0.7972240632635236,100.0
molicel_p50b_125s3p,molicel_p50b,Molicel,INR-21700-P50B,125,3,375,33.28124999999999,256.16640114,6.75,6.615937499999999,25.59375,1272.894113033567,1313.836858414252,274.0460532590238,65.269292532424,0.1399559920703844,0.8438566831874318,100.0
molicel_p30b_125s5p,molicel_p30b,Molicel,INR-18650-P30B,125,5,625,36.71875,259.60390114,6.75,6.6159375,26.0859375,1273.2264423488484,1314.1798771296956,273.83604136103145,65.28633314803697,0.1418422415112433,0.83241756176014,100.0
reliance_rs50_120s3p,reliance_rs50,Reliance,INR21700-RS50,120,3,360,30.15,253.03515114,6.48,6.351299999999999,24.75,1274.8096270552908,1315.813985104352,272.8370683008966,65.36751299220435,0.13719751115001091,0.8595297275343,100.0
ampace_jp50_120s3p,ampace_jp50,Ampace,JP50P1 (JP50),120,3,360,32.4,255.28515114,6.444,6.351299999999999,24.6796875,1277.0870958689172,1318.164708892445,271.40435345172966,65.48429315224124,0.1372894136966879,0.8574225521987384,100.0
tenpower_30xg_120s5p,tenpower_30xg,Tenpower,INR18650-30XG,120,5,600,36.0,258.88515114,6.48,6.3513,25.03125,1278.1688054893457,1319.2812117930932,270.7256576917914,65.5397592125584,0.13862947933085507,0.848415634530109,100.0
