candidate_id,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank
tenpower_60xg_125s3p,63.397814007285376,0.1694700756181157,0.7174667679999988,84.3438519685037,0.7174667679999988,84.3438519685037,647.5914141197115,13
reliance_rs50_110s4p,63.45739516731807,0.1694148697211229,0.7170267027763015,84.25722495596487,0.7170267027763015,84.25722495596487,649.9772354900808,5
ampace_jp50_110s4p,63.59345575823555,0.1694538520779104,0.715328000219022,83.92283468878385,0.715328000219022,83.92283468878385,646.4622449631314,17
tenpower_50xg_110s4p,63.67069625349264,0.169544483576735,0.7140782971324262,83.67683014417838,0.7140782971324262,83.67683014417838,644.3716794886084,24
tenpower_60xg_120s3p,63.79399701697656,0.1625859620211742,0.7432009186907732,89.40962966353804,0.7432009186907732,89.40962966353804,647.3122838158929,14
molicel_p50b_110s4p,63.83612508411839,0.1653289209299713,0.7303882003435029,86.88744101250059,0.7303882003435029,86.88744101250059,648.5376485341999,10
reliance_rs50_140s3p,63.92582024696694,0.1616899420474201,0.7457783678573264,89.9170015467178,0.7457783678573264,89.9170015467178,649.8272818853281,6
molicel_p50b_140s3p,64.00157897335446,0.1567849937752229,0.7681993140467228,94.33057363124465,0.7681993140467228,94.33057363124465,655.146223809894,2
ampace_jp50_140s3p,64.066719265287,0.1616447571241584,0.7443462220842009,89.63508308744112,0.7443462220842009,89.63508308744112,646.3842898933309,18
ampace_jp50_135s3p,64.08303424533989,0.1552055068350826,0.7750306957773244,95.67533381443394,0.7750306957773244,95.67533381443394,652.2145814436135,4
tenpower_50xg_140s3p,64.14785051606354,0.1616887788903898,0.7432024060828949,89.40992245726278,0.7432024060828949,89.40992245726278,644.3130491848785,25
tenpower_60xg_115s3p,64.23903532628971,0.1558105959443274,0.7701460591089899,94.713791163187,0.7701460591089899,94.713791163187,646.5891232890912,16
reliance_rs50_135s3p,64.33340695661647,0.1556798892419421,0.7696619759825368,94.6184992091608,0.7696619759825368,94.6184992091608,649.4185295199911,8
