candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,pack_mass_kg,vehicle_mass_kg,simulation_mode,simulation_mode_short,event_slug,event_name,raw_simulated_time_s,cohort_tmin_s,tmax_s,points,maximum_points,point_loss_vs_event_max,is_cohort_fastest,time_rank
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,35.625,258.51015114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.342580605254257,4.250933535449968,6.376400303174952,93.95362161679631,100.0,6.046378383203688,False,71
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,35.625,258.51015114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.794899035926109,4.758553193051323,5.948191491314154,72.0004252549235,75.0,2.999574745076501,False,108
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,35.625,258.51015114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.254710652882935,51.88432241379922,75.23226750000886,122.29351527948806,125.0,2.706484720511938,False,107
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,35.625,258.51015114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.247502178631121,4.205352467457964,6.308028701186947,97.15694265870837,100.0,2.843057341291626,False,108
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,35.625,258.51015114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.794899035926109,4.758553193051323,5.948191491314154,72.0004252549235,75.0,2.999574745076501,False,108
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,35.625,258.51015114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.17037644133791,51.70409358243788,74.97093569453492,121.58729051935836,125.0,3.412709480641638,False,108
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,35.625,258.51015114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1216.8449572794348,1216.0261253241367,1763.2378817199983,274.4579304235016,275.0,0.5420695764984202,False,2
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,36.85,259.73515114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.292370329604366,4.250933535449968,6.376400303174952,97.23424573985227,100.0,2.7657542601477303,False,36
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,36.85,259.73515114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.797431016765577,4.758553193051323,5.948191491314154,71.79400062472676,75.0,3.2059993752732368,False,115
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,36.85,259.73515114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.23341125715974,51.88432241379922,75.23226750000886,122.44811312373255,125.0,2.551886876267446,False,101
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,36.85,259.73515114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.250501074226722,4.205352467457964,6.308028701186947,96.9568115350724,100.0,3.0431884649275958,False,115
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,36.85,259.73515114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.797431016765577,4.758553193051323,5.948191491314154,71.79400062472676,75.0,3.2059993752732368,False,115
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,36.85,259.73515114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.20290269935094,51.70409358243788,74.97093569453492,121.35150656458914,125.0,3.648493435410856,False,115
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,36.85,259.73515114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1216.0261253241367,1216.0261253241367,1763.2378817199983,275.0,275.0,0.0,True,1
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,39.6,262.48515114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.299477094597742,4.250933535449968,6.376400303174952,96.76525089218129,100.0,3.2347491078187147,False,41
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,39.6,262.48515114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.803090401087801,4.758553193051323,5.948191491314154,71.33378812824309,75.0,3.6662118717569143,False,126
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,39.6,262.48515114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.30643349836143,51.88432241379922,75.23226750000886,121.91861838639046,125.0,3.081381613609537,False,120
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,39.6,262.48515114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.257232640246016,4.205352467457964,6.308028701186947,96.5086076426122,100.0,3.491392357387795,False,126
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,39.6,262.48515114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.803090401087801,4.758553193051323,5.948191491314154,71.33378812824309,75.0,3.6662118717569143,False,126
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,39.6,262.48515114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.2756265575398,51.70409358243788,74.97093569453492,120.82539023701841,125.0,4.174609762981589,False,126
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,39.6,262.48515114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1218.4728918638116,1216.0261253241367,1763.2378817199983,273.3823962007332,275.0,1.617603799266817,False,3
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.303741338746866,4.250933535449968,6.376400303174952,96.48458528203129,100.0,3.51541471796871,False,43
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.806470102955475,4.758553193051323,5.948191491314154,71.05973087352112,75.0,3.9402691264788814,False,128
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.35005557404894,51.88432241379922,75.23226750000886,121.60301325238373,125.0,3.3969867476162676,False,125
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.261271224332836,4.205352467457964,6.308028701186947,96.24038860676868,100.0,3.7596113932313244,False,128
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,41.25,264.13515114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.806470102955475,4.758553193051323,5.948191491314154,71.05973087352112,75.0,3.9402691264788814,False,128
