candidate_id,raw_endurance_time_s,terminal_energy_kwh,cohort_efficiency_energy_eligible,cohort_efficiency_time_eligible,cohort_efficiency_eligible,cohort_efficiency_factor,cohort_efficiency_unclipped_points,cohort_efficiency_points
tenpower_60xg_125s3p,1216.8449572794348,6.692105632970218,True,True,True,0.4259586922774473,24.544343058381234,24.544343058381234
reliance_rs50_110s4p,1216.0261253241367,6.767884578397529,True,True,True,0.4214729144076819,23.73260726095702,23.73260726095702
ampace_jp50_110s4p,1218.4728918638116,6.773130588566114,True,True,True,0.42030078257913245,23.52050104612484,23.52050104612484
tenpower_50xg_110s4p,1219.981716255776,6.772280441331341,True,True,True,0.41983366797360633,23.435973087359667,23.435973087359667
tenpower_60xg_120s3p,1221.9283921512442,6.437746718771118,True,True,True,0.4409464770404234,27.256497286569346,27.256497286569346
molicel_p50b_110s4p,1224.091904117029,6.528119165290004,True,True,True,0.434073646955203,26.01280614274566,26.01280614274566
reliance_rs50_140s3p,1222.1493185723816,6.464854389862106,True,True,True,0.43901817673862265,26.90755660591156,26.90755660591156
molicel_p50b_140s3p,1230.7658992083143,6.243518558895058,True,True,True,0.45139906746163605,29.147973428957,29.147973428957
ampace_jp50_140s3p,1224.5565037342585,6.46976951697427,True,True,True,0.4378223026095619,26.69115404030193,26.69115404030193
ampace_jp50_135s3p,1226.6641530826705,6.204292891617624,True,True,True,0.4557719080591276,29.93927236360519,29.93927236360519
tenpower_50xg_140s3p,1226.1911480502984,6.464830108921695,True,True,True,0.43757270763308903,26.64598792126027,26.64598792126027
tenpower_60xg_115s3p,1228.2307628017934,6.175035199562063,True,True,True,0.4573472910644353,30.224349961557863,30.224349961557863
reliance_rs50_135s3p,1227.6506667068245,6.233441686652294,True,True,True,0.4532760934538473,29.48763563132398,29.48763563132398
tenpower_60xg_110s3p,1232.1464611352658,5.87636356058474,True,True,True,0.479065094151241,34.154352453609995,34.154352453609995
molicel_p50b_135s3p,1236.297401843082,6.027141441760088,True,True,True,0.46551232010113563,31.7018743839708,31.7018743839708
tenpower_50xg_135s3p,1228.058243919801,6.205948992127526,True,True,True,0.455133028292627,29.82366218588908,29.82366218588908
reliance_rs50_130s3p,1230.2861056754437,5.971880375482335,True,True,True,0.4721155449785122,32.89677840441642,32.89677840441642
molicel_p50b_130s3p,1242.9112111431236,5.806997356619648,True,True,True,0.4805889550265905,34.430106728281665,34.430106728281665
reliance_rs50_125s3p,1241.2928863916009,5.759601578067319,True,True,True,0.4851754426137208,35.26006671894661,35.26006671894661
ampace_jp50_130s3p,1232.563235307409,5.976475165004747,True,True,True,0.4708810255488057,32.67338267622783,32.67338267622783
tenpower_50xg_130s3p,1234.093369499976,5.975705955040552,True,True,True,0.4703577250997938,32.57868745956671,32.57868745956671
tenpower_30xg_130s5p,1236.8535662241095,6.095576650418699,True,True,True,0.46007902782784726,30.71867861187894,30.71867861187894
ampace_jp50_125s3p,1243.709381502296,5.759637157658068,True,True,True,0.48422976799677403,35.088939667724325,35.088939667724325
tenpower_30xg_125s5p,1243.7632105071189,5.849353368919166,True,True,True,0.476782113116837,33.74122958300223,33.74122958300223
ampace_jp30_130s5p,1238.5458907732375,6.0925044636052,True,True,True,0.45968206594751543,30.646845325025833,30.646845325025833
tenpower_50xg_125s3p,1244.8873345813422,5.76643012916202,True,True,True,0.4832016812516144,34.902899511895775,34.902899511895775
ampace_jp30_125s5p,1240.9945184343896,5.8284687659151135,True,True,True,0.4795580467369575,34.24355599241114,34.24355599241114
molicel_p30b_130s5p,1242.1985038025182,5.915547066823213,True,True,True,0.4720408713086506,32.88326563300608,32.88326563300608
molicel_p50b_125s3p,1245.5083978098985,5.547403753467017,True,True,True,0.502029321378201,38.30990492221276,38.30990492221276
molicel_p30b_125s5p,1244.124318235751,5.656459467570796,True,True,True,0.49289800545273355,36.65752350041949,36.65752350041949
reliance_rs50_120s3p,1243.6208120719234,5.504797802866303,True,True,True,0.5066828053275857,39.15198841678672,39.15198841678672
ampace_jp50_120s3p,1246.082774841558,5.501592762372268,True,True,True,0.505976313727591,39.024143360935746,39.024143360935746
tenpower_30xg_120s5p,1246.1522430737652,5.58412220062165,True,True,True,0.49847054671047203,37.66591744074767,37.66591744074767
tenpower_50xg_120s3p,1247.499037696748,5.501279258185263,True,True,True,0.5054306896603993,38.92540851491029,38.92540851491029
ampace_jp30_120s5p,1247.3497349175325,5.592185952934414,True,True,True,0.49727391210934235,37.44937726190368,37.44937726190368
molicel_p50b_120s3p,1253.734932280985,5.32666950868455,True,True,True,0.5194025060699429,41.4537155028929,41.4537155028929
molicel_p30b_120s5p,1252.0949273929896,5.429833905399665,True,True,True,0.5102014847856797,39.78872036355731,39.78872036355731
reliance_rs50_115s3p,1252.7516960033363,5.269661133663325,True,True,True,0.5254335878254385,42.54508585163999,42.54508585163999
