candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,pack_aware_curve_points,pack_aware_full_soc,pack_aware_terminal_power_limit_kw,pack_aware_maximum_achievable_terminal_power_kw,pack_aware_maximum_achievable_wheel_power_kw,pack_aware_maximum_tractive_force_n,pack_aware_active_limiter_at_peak_terminal_power,pack_aware_reaches_79p9kw_terminal,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,pack_aware_acceleration_raw_time_s,pack_aware_acceleration_projected_time_s,pack_aware_acceleration_points,pack_aware_acceleration_converged,pack_aware_skidpad_raw_time_s,pack_aware_skidpad_projected_time_s,pack_aware_skidpad_points,pack_aware_skidpad_converged,pack_aware_autocross_raw_time_s,pack_aware_autocross_projected_time_s,pack_aware_autocross_points,pack_aware_autocross_converged,pack_aware_nonenergy_points,pack_aware_performance_points_excluding_efficiency,pack_aware_full_dynamic_points,mass_isolated_acceleration_raw_time_s,mass_isolated_acceleration_projected_time_s,mass_isolated_acceleration_points,mass_isolated_acceleration_converged,mass_isolated_skidpad_raw_time_s,mass_isolated_skidpad_projected_time_s,mass_isolated_skidpad_points,mass_isolated_skidpad_converged,mass_isolated_autocross_raw_time_s,mass_isolated_autocross_projected_time_s,mass_isolated_autocross_points,mass_isolated_autocross_converged,mass_isolated_sprint_nonenergy_points,mass_isolated_sprint_hybrid_performance_points_excluding_efficiency,mass_isolated_sprint_hybrid_full_dynamic_points,pack_aware_minus_mass_isolated_nonenergy_points,pack_aware_minus_mass_isolated_full_dynamic_points,mass_isolated_acceleration_raw_time_s_delta_vs_lightest_s,mass_isolated_skidpad_raw_time_s_delta_vs_lightest_s,mass_isolated_autocross_raw_time_s_delta_vs_lightest_s,pack_aware_nonenergy_points_rank,pack_aware_performance_points_excluding_efficiency_rank,pack_aware_full_dynamic_points_rank,mass_isolated_sprint_nonenergy_points_rank,mass_isolated_sprint_hybrid_performance_points_excluding_efficiency_rank,mass_isolated_sprint_hybrid_full_dynamic_points_rank,terminal_energy_kwh,terminal_discharge_energy_kwh,terminal_regenerated_energy_kwh,pack_resistive_heat_kwh,regen_pack_resistive_heat_kwh,regen_active_rms_terminal_power_kw,regen_whole_event_rms_terminal_power_kw,regen_active_rms_error_kw,peak_pack_charge_current_a,maximum_terminal_voltage_v,adiabatic_cell_temperature_rise_c
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,375,35.625,258.51015114,8.1,7.939125,47.671875,121,1.0,80.0,56.55194851595368,50.2315176285761,3471.857362953549,bus_current+motor_voltage,False,1216.8449572794348,1285.497054211133,275.0,63.86141684451132,0.16778852890614968,0.7193964338265985,84.7237074461808,4.342580605254257,3.7473762735669576,96.1485579981016,True,4.794899035926109,4.776731331626307,75.0,True,52.254710652882935,43.932902680839305,125.0,True,296.1485579981016,571.1485579981015,655.8722654442823,4.247502178631121,3.691548051900952,100.0,True,4.794899035926109,4.776731331626307,75.0,True,52.17037644133791,43.87985033663895,125.0,True,300.0,575.0,659.7237074461808,-3.85144200189842,-3.8514420018984765,0.042149711173157,0.0363458428747858,0.4662828589000298,71.0,27.0,51.0,1.0,1.0,47.0,6.692105632970218,7.506962148944676,0.814856515974457,0.7426867761479552,0.0147918124041345,8.767847864365564,4.716996403647084,0.1935807219556018,23.40168852387305,524.9999879535799,93.81306646079436
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,440,36.85,259.73515114,7.92,7.762699999999999,48.71875,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.857362953549,bus_current+motor_voltage,False,1216.0261253241367,1284.63202530163,275.0,63.81844360580077,0.16968850455995066,0.7118204583600724,83.23237369292762,4.292370329604366,3.704047936625554,99.45485752944631,True,4.797431016765577,4.779253718879165,75.0,True,52.23341125715974,43.9149953138713,125.0,True,299.4548575294463,574.4548575294464,657.687231222374,4.250501074226722,3.694154423064101,100.0,True,4.797431016765577,4.779253718879165,75.0,True,52.20290269935094,43.90720776495324,125.0,True,300.0,575.0,658.2323736929276,-0.5451424705536851,-0.5451424705536283,0.045148606768758,0.0388778237142535,0.4988091169130655,35.0,8.0,45.0,1.0,1.0,51.0,6.767884578397529,7.594739263423245,0.8268546850257146,0.4913307995306049,0.0103736953827381,8.802970363471472,4.762103737964253,0.2287032210615098,26.809140659664333,461.9999930671231,59.99969058039951
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,440,39.6,262.48515114,7.876,7.762699999999999,48.25,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.857362953549,bus_current+motor_voltage,False,1218.4728918638116,1287.2168337936885,275.0,63.94685271575076,0.16982003570681078,0.7098408592282298,82.8426888244547,4.299477094597742,3.710180631660799,98.98219215027042,True,4.803090401087801,4.784891659992655,74.76001869786218,True,52.30643349836143,43.97638842037153,124.65800256943724,True,298.40021341756983,573.4002134175698,656.2429022420246,4.257232640246016,3.700004896678872,99.7673238488766,True,4.803090401087801,4.784891659992655,74.76001869786218,True,52.2756265575398,43.96837489141279,124.72753190444934,True,299.25487445118813,574.2548744511881,657.0975632756429,-0.8546610336182994,-0.8546610336182994,0.051880172788052,0.0445372080364778,0.5715329751019169,46.0,15.0,49.0,126.0,23.0,52.0,6.773130588566114,7.601280556181717,0.828149967615601,0.4888778196775082,0.010394314176565,8.806809553496507,4.761410835134383,0.2325424110865448,26.81265203583804,461.99999297767965,55.55429769062594
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,47.9375,121,1.0,80.0,67.86742957933734,60.44989780388532,3471.857362953549,bus_current+motor_voltage,False,1219.981716255776,1288.8107832114752,275.0,64.02603754769176,0.1697987203000166,0.7090519550750897,82.68739273131688,4.303741338746866,3.713860408457524,98.69932994463652,True,4.806470102955475,4.788258556288472,74.48114478290637,True,52.35005557404894,44.01306347572961,124.34011477072542,True,297.5205894982683,572.5205894982682,655.2079822295851,4.261271224332836,3.703514871857494,99.49601639206163,True,4.806470102955475,4.788258556288472,74.48114478290637,True,52.319068393338256,44.00491327551528,124.4107123401147,True,298.3878735150827,573.3878735150827,656.0752662463996,-0.8672840168143807,-0.8672840168144376,0.0559187568748713,0.0479169099041518,0.6149748109003781,59.0,22.0,52.0,128.0,29.0,56.0,6.772280441331341,7.601831367183011,0.8295509258516703,0.4867962256114885,0.0104128216532097,8.811138044634934,4.7630775127688585,0.2368709022249717,26.808837946936087,461.99999294372645,53.105042793980566
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,42.29296875,121,1.0,80.0,54.28987098119978,48.204396446908646,3471.857362953549,bus_current+motor_voltage,False,1221.9283921512442,1290.8672868885935,275.0,64.12820132794819,0.16141108802754683,0.7447091204906438,89.70651978162279,4.353876365797747,3.757123810550232,95.41525044389768,True,4.791944925095995,4.773788413818533,75.0,True,52.23483869258638,43.91619542350541,125.0,True,295.41525044389766,570.4152504438977,660.1217702255204,4.244013571977018,3.688516067794482,100.0,True,4.791944925095995,4.773788413818533,75.0,True,52.132434958521685,43.84793823055327,125.0,True,300.0,575.0,664.7065197816228,-4.584749556102338,-4.584749556102338,0.0386611045190532,0.0333917320446719,0.4283413760838073,79.0,30.0,42.0,1.0,1.0,34.0,6.437746718771118,7.231501297145951,0.7937545783748324,0.6853750499444567,0.0149334562828486,8.740314477090998,4.640251681300671,0.1660473346810356,24.33304321762317,503.9999879767256,90.18092762427062
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,43.25,121,1.0,80.0,79.99999934839148,69.07638665083184,3471.857362953549,terminal_power_limit+motor_voltage,True,1224.091904117029,1293.152860118058,275.0,64.24174491348758,0.16367696078668967,0.733101681686735,87.42159088321556,4.272030518165478,3.686495947676243,100.0,True,4.801961207674562,4.7837667450536605,74.85332462037177,True,52.27164714591756,43.947141957852764,124.91188192449096,True,299.76520654486274,574.7652065448627,662.1867974280783,4.2558864450073015,3.698834904480644,99.85787412867016,True,4.801961207674562,4.7837667450536605,74.85332462037177,True,52.26111418781777,43.95616871896647,124.83348740183672,True,299.54468615087865,574.5446861508786,661.9662770340942,0.2205203939840885,0.22052039398408851,0.0505339775493371,0.0434080146232389,0.5570206053798898,32.0,6.0,35.0,123.0,19.0,40.0,6.528119165290004,7.331339673007764,0.8032205077177594,0.7321648939345027,0.0154634554808623,8.74125534875837,4.665674434494621,0.1669882063484085,26.53468974479215,461.9999898360911,84.37239494763796
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,42.625,121,1.0,80.0,64.78254141018913,57.61822378955744,3471.857362953549,bus_current+motor_voltage,False,1222.1493185723816,1291.1006775616374,275.0,64.13979579952637,0.16209074798868375,0.7414524376582187,89.06544048390131,4.299172048294293,3.709917395722587,99.00244844297931,True,4.793967183287888,4.7758030097450535,75.0,True,52.19845977482135,43.8856100191689,125.0,True,299.0024484429793,574.0024484429794,663.0678889268806,4.246400595496384,3.690590654610962,100.0,True,4.793967183287888,4.7758030097450535,75.0,True,52.15840723381881,43.86978318607551,125.0,True,300.0,575.0,664.0654404839013,-0.9975515570206994,-0.9975515570206426,0.0410481280384198,0.0354139902365648,0.4543136513809287,40.0,10.0,32.0,1.0,1.0,35.0,6.464854389862106,7.266536296487169,0.8016819066250632,0.4453245152475492,0.01048421905022,8.765659244852497,4.669965589365278,0.1913921024425349,21.025211221523985,587.9999875595735,56.97115333657346
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,38.40625,121,1.0,80.0,79.99999983734592,71.3673349080841,3471.857362953549,terminal_power_limit+motor_voltage,True,1230.7658992083143,1300.2033894220117,275.0,64.59200381869417,0.1565412818700956,0.7623623728120509,93.18156945119112,4.263453524122029,3.67909453664934,100.0,True,4.798307859449993,4.780127239237399,75.0,True,52.2216305153007,43.90509071045594,125.0,True,300.0,575.0,668.1815694511911,4.2515414336223945,3.6950586101695695,100.0,True,4.798307859449993,4.780127239237399,75.0,True,52.21416859008002,43.91668336457166,125.0,True,300.0,575.0,668.1815694511911,0.0,0.0,0.0461889661644301,0.0397546663986698,0.5100750076421434,1.0,1.0,21.0,1.0,1.0,28.0,6.243518558895058,7.018815098628727,0.775296539733668,0.6643686513273198,0.0155387084181101,8.693807840071809,4.562568651480566,0.1195406976618471,20.797935604132835,587.999981818378,80.20547098518952
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,42.3125,121,1.0,80.0,64.78254141018913,57.61822378955744,3471.857362953549,bus_current+motor_voltage,False,1224.5565037342585,1293.643671569232,275.0,64.26612763344237,0.16221398303498574,0.73943274044497,88.66786229231694,4.306060450129884,3.715861656969059,98.54573037952032,True,4.799389892434655,4.781205172437026,75.0,True,52.26855210252506,43.94453981464967,124.93448668315696,True,298.48021706267724,573.4802170626772,662.1480793549941,4.252826585744518,3.696175549164137,100.0,True,4.799389892434655,4.781205172437026,75.0,True,52.228071626686514,43.928377034564704,125.0,True,300.0,575.0,663.667862292317,-1.5197829373227592,-1.519782937322816,0.0474741182865541,0.0408366993833313,0.5239780442486364,44.0,13.0,36.0,1.0,1.0,36.0,6.46976951697427,7.27225673743001,0.8024872204557396,0.4435841752383889,0.0105009109395517,8.763877502952093,4.668688913670316,0.1896103605421313,21.02849468235937,587.9999874415556,52.80763990933202
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,42.34375,121,1.0,80.0,62.468883451751154,55.54452190354812,3471.857362953549,bus_current+motor_voltage,False,1226.6641530826705,1295.8702305178358,275.0,64.37673948485022,0.1555577921631464,0.7697476098985587,94.63535627924385,4.312557611493355,3.721468302084534,98.11628959911,True,4.796605003337477,4.7784308351869775,75.0,True,52.24204567258141,43.92225465810433,125.0,True,298.11628959911,573.11628959911,667.7516458783539,4.249521856560609,3.693303374867842,100.0,True,4.796605003337477,4.7784308351869775,75.0,True,52.19229084544618,43.89828226751775,125.0,True,300.0,575.0,669.6353562792439,-1.8837104008899812,-1.8837104008899814,0.0441693891026444,0.038051810286154,0.4881972630083027,50.0,16.0,23.0,1.0,1.0,23.0,6.204292891617624,6.934575152143184,0.7302822605255596,0.4388798516105673,0.0101395093884748,8.893430906645259,4.507507877565952,0.3191637642352969,21.76479609555712,566.9999876004116,54.18269772969968
