candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,terminal_energy_kwh,terminal_discharge_energy_kwh,terminal_regenerated_energy_kwh,pack_resistive_heat_kwh,regen_pack_resistive_heat_kwh,regen_active_rms_terminal_power_kw,regen_whole_event_rms_terminal_power_kw,regen_active_rms_error_kw,peak_pack_charge_current_a,maximum_terminal_voltage_v,adiabatic_cell_temperature_rise_c,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,125,3,375,35.625,258.51015114,8.1,7.939125,47.671875,6.692105632970218,7.506962148944676,0.814856515974457,0.7426867761479552,0.0147918124041345,8.767847864365564,4.716996403647084,0.1935807219556018,23.40168852387305,524.9999879535799,93.81306646079436,1216.8449572794348,1285.497054211133,275.0,63.86141684451132,0.16778852890614968,0.7193964338265985,84.7237074461808
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,110,4,440,36.85,259.73515114,7.92,7.762699999999999,48.71875,6.767884578397529,7.594739263423245,0.8268546850257146,0.4913307995306049,0.0103736953827381,8.802970363471472,4.762103737964253,0.2287032210615098,26.809140659664333,461.9999930671231,59.99969058039951,1216.0261253241367,1284.63202530163,275.0,63.81844360580077,0.16968850455995066,0.7118204583600724,83.23237369292762
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),110,4,440,39.6,262.48515114,7.876,7.762699999999999,48.25,6.773130588566114,7.601280556181717,0.828149967615601,0.4888778196775082,0.010394314176565,8.806809553496507,4.761410835134383,0.2325424110865448,26.81265203583804,461.99999297767965,55.55429769062594,1218.4728918638116,1287.2168337936885,275.0,63.94685271575076,0.16982003570681078,0.7098408592282298,82.8426888244547
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,110,4,440,41.25,264.13515114,7.92,7.762699999999999,47.9375,6.772280441331341,7.601831367183011,0.8295509258516703,0.4867962256114885,0.0104128216532097,8.811138044634934,4.7630775127688585,0.2368709022249717,26.808837946936087,461.99999294372645,53.105042793980566,1219.981716255776,1288.8107832114752,275.0,64.02603754769176,0.1697987203000166,0.7090519550750897,82.68739273131688
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,120,3,360,34.2,257.08515114,7.776,7.62156,42.29296875,6.437746718771118,7.231501297145951,0.7937545783748324,0.6853750499444567,0.0149334562828486,8.740314477090998,4.640251681300671,0.1660473346810356,24.33304321762317,503.9999879767256,90.18092762427062,1221.9283921512442,1290.8672868885935,275.0,64.12820132794819,0.16141108802754683,0.7447091204906438,89.70651978162279
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,110,4,440,39.05,261.93515114,7.92,7.762699999999999,43.25,6.528119165290004,7.331339673007764,0.8032205077177594,0.7321648939345027,0.0154634554808623,8.74125534875837,4.665674434494621,0.1669882063484085,26.53468974479215,461.9999898360911,84.37239494763796,1224.091904117029,1293.152860118058,275.0,64.24174491348758,0.16367696078668967,0.733101681686735,87.42159088321556
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,140,3,420,35.175,258.06015114,7.56,7.40985,42.625,6.464854389862106,7.266536296487169,0.8016819066250632,0.4453245152475492,0.01048421905022,8.765659244852497,4.669965589365278,0.1913921024425349,21.025211221523985,587.9999875595735,56.97115333657346,1222.1493185723816,1291.1006775616374,275.0,64.13979579952637,0.16209074798868375,0.7414524376582187,89.06544048390131
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,38.40625,6.243518558895058,7.018815098628727,0.775296539733668,0.6643686513273198,0.0155387084181101,8.693807840071809,4.562568651480566,0.1195406976618471,20.797935604132835,587.999981818378,80.20547098518952,1230.7658992083143,1300.2033894220117,275.0,64.59200381869417,0.1565412818700956,0.7623623728120509,93.18156945119112
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,42.3125,6.46976951697427,7.27225673743001,0.8024872204557396,0.4435841752383889,0.0105009109395517,8.763877502952093,4.668688913670316,0.1896103605421313,21.02849468235937,587.9999874415556,52.80763990933202,1224.5565037342585,1293.643671569232,275.0,64.26612763344237,0.16221398303498574,0.73943274044497,88.66786229231694
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,42.34375,6.204292891617624,6.934575152143184,0.7302822605255596,0.4388798516105673,0.0101395093884748,8.893430906645259,4.507507877565952,0.3191637642352969,21.76479609555712,566.9999876004116,54.18269772969968,1226.6641530826705,1295.8702305178358,275.0,64.37673948485022,0.1555577921631464,0.7697476098985587,94.63535627924385
