candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,prior_simulation_fidelity,regen_simulation_fidelity,prior_constraint_valid,regen_constraint_valid,prior_equal_reserve_eligible,regen_equal_reserve_eligible,prior_sustainable_power_kw,regen_sustainable_power_kw,delta_sustainable_power_kw,prior_endurance_time_s,regen_endurance_time_s,delta_endurance_time_s,prior_gross_discharge_kwh,regen_gross_discharge_kwh,delta_gross_discharge_kwh,prior_recovered_energy_kwh,regen_recovered_energy_kwh,delta_recovered_energy_kwh,prior_net_terminal_energy_kwh,regen_net_terminal_energy_kwh,delta_net_terminal_energy_kwh,prior_total_pack_heat_kwh,regen_total_pack_heat_kwh,delta_total_pack_heat_kwh,prior_regen_pack_heat_kwh,regen_regen_pack_heat_kwh,delta_regen_pack_heat_kwh,prior_final_reserve_kwh,regen_final_reserve_kwh,delta_final_reserve_kwh,prior_active_rms_kw,regen_active_rms_kw,delta_active_rms_kw,prior_overall_rank,regen_overall_rank,delta_overall_rank,prior_cell_rank,regen_cell_rank,delta_cell_rank,sustainable_power_gain_kw,endurance_time_reduction_s,gross_discharge_change_kwh,recovered_energy_gain_kwh,net_terminal_energy_reduction_kwh,total_pack_heat_change_kwh,regen_pack_heat_increase_kwh,final_reserve_change_kwh,active_rms_change_kw,overall_rank_improvement,cell_rank_improvement
ampace_jp30_110s3p,ampace_jp30,Ampace,JP30P1 (JP30),110,3,330,20.625,243.51015114,3.6432,3.493215,screening_factor8,screening_factor8,True,True,True,True,8.4375,10.5,2.0625,1496.6410899303205,1435.6404540562785,-61.00063587404202,2.9363567748079618,3.290748091867979,0.35439131706001703,0.0,0.3890084324228468,0.3890084324228468,2.9363567748079618,2.901739659445133,-0.034617115362828965,0.0550248454597345,0.0868527636599848,0.0318279182002503,0.0,0.0076971162962791,0.0076971162962791,0.5018634910055358,0.5046680506017384,0.002804559596202516,0.0,8.333773473425829,8.333773473425829,127.0,127.0,0.0,19.0,19.0,0.0,2.0625,61.00063587404202,0.35439131706001703,0.3890084324228468,0.034617115362828965,0.0318279182002503,0.0076971162962791,0.002804559596202516,8.333773473425829,-0.0,-0.0
ampace_jp30_110s4p,ampace_jp30,Ampace,JP30P1 (JP30),110,4,440,27.5,250.38515114,4.857600000000001,4.65762,screening_factor8,screening_factor8,True,True,True,True,13.921875,17.53125,3.609375,1373.3633883130929,1326.8150111423977,-46.548377170695176,4.057784344483023,4.533353650796614,0.4755693063135906,0.0,0.5226475613329354,0.5226475613329354,4.057784344483023,4.010706089463678,-0.04707825501934515,0.0959481700554632,0.1465434414938132,0.050595271438350006,0.0,0.0080577303100307,0.0080577303100307,0.5039359301889166,0.5004413773548908,-0.003494552834025777,0.0,8.566255270353068,8.566255270353068,85.0,84.0,-1.0,12.0,12.0,0.0,3.609375,46.548377170695176,0.4755693063135906,0.5226475613329354,0.04707825501934515,0.050595271438350006,0.0080577303100307,-0.003494552834025777,8.566255270353068,1.0,-0.0
ampace_jp30_110s5p,ampace_jp30,Ampace,JP30P1 (JP30),110,5,550,34.375,257.26015114,6.072,5.822025,screening_factor8,screening_factor8,True,True,True,True,20.8828125,26.9296875,6.046875,1302.7911354522632,1267.056989871629,-35.73414558063428,5.177201831563978,5.733081247247451,0.5558794156834734,0.0,0.6279718415044743,0.6279718415044743,5.177201831563978,5.105109405742977,-0.07209242582100117,0.1467936662817516,0.2207097675815685,0.07391610129981688,0.0,0.0079644637176242,0.0079644637176242,0.4980989228741687,0.4963053787101469,-0.0017935441640217764,0.0,8.809388137738752,8.809388137738752,53.0,51.0,-2.0,6.0,6.0,0.0,6.046875,35.73414558063428,0.5558794156834734,0.6279718415044743,0.07209242582100117,0.07391610129981688,0.0079644637176242,-0.0017935441640217764,8.809388137738752,2.0,-0.0
ampace_jp30_115s3p,ampace_jp30,Ampace,JP30P1 (JP30),115,3,345,21.5625,244.44765114,3.8088,3.6519975,screening_factor8,screening_factor8,True,True,True,True,9.125,11.40625,2.28125,1474.2792304033685,1416.1829537377291,-58.09627666563938,3.090972882197727,3.4724513303470603,0.3814784481493332,0.0,0.4157014488258971,0.4157014488258971,3.090972882197727,3.0567498815211627,-0.034223000676564475,0.0601606877658676,0.0950493944816691,0.0348887067158015,0.0,0.007934382110925,0.007934382110925,0.5008964215346623,0.5002473403846361,-0.000649081150026154,0.0,8.432703440490165,8.432703440490165,124.0,124.0,0.0,18.0,18.0,0.0,2.28125,58.09627666563938,0.3814784481493332,0.4157014488258971,0.034223000676564475,0.0348887067158015,0.007934382110925,-0.000649081150026154,8.432703440490165,-0.0,-0.0
ampace_jp30_115s4p,ampace_jp30,Ampace,JP30P1 (JP30),115,4,460,28.75,251.63515114,5.0784,4.86933,screening_factor8,screening_factor8,True,True,True,True,14.953125,18.9140625,3.9609375,1359.1667441171992,1314.3457534648496,-44.820990652349565,4.2628484001941445,4.747138295652763,0.4842898954586188,0.0,0.5360092121273348,0.5360092121273348,4.2628484001941445,4.211129083525429,-0.05171931666871554,0.1038441975288123,0.1577816112382843,0.053937413709472,0.0,0.0079367944179325,0.0079367944179325,0.5026892098344986,0.5004947690996605,-0.002194440734838099,0.0,8.57233648231403,8.57233648231403,78.0,76.0,-2.0,11.0,11.0,0.0,3.9609375,44.820990652349565,0.4842898954586188,0.5360092121273348,0.05171931666871554,0.053937413709472,0.0079367944179325,-0.002194440734838099,8.57233648231403,2.0,-0.0
ampace_jp30_115s5p,ampace_jp30,Ampace,JP30P1 (JP30),115,5,575,35.9375,258.82265114,6.348,6.086662499999999,screening_factor8,screening_factor8,True,True,True,True,22.8515625,29.7421875,6.890625,1290.710593395371,1256.6004424729954,-34.110150922375624,5.425040947741039,5.994258033224956,0.5692170854839178,0.0,0.6494612542866239,0.6494612542866239,5.425040947741039,5.344796778938332,-0.08024416880270646,0.1600600300059474,0.2411579794648815,0.08109794945893409,0.0,0.0078895090020467,0.0078895090020467,0.5016361390875833,0.5008147333574795,-0.000821405730103808,0.0,8.814783065418853,8.814783065418853,42.0,42.0,0.0,4.0,4.0,0.0,6.890625,34.110150922375624,0.5692170854839178,0.6494612542866239,0.08024416880270646,0.08109794945893409,0.0078895090020467,-0.000821405730103808,8.814783065418853,-0.0,-0.0
ampace_jp30_120s3p,ampace_jp30,Ampace,JP30P1 (JP30),120,3,360,22.5,245.38515114,3.9744,3.81078,screening_factor8,screening_factor8,True,True,True,True,9.8125,12.1875,2.375,1455.1581376686568,1399.8132370074936,-55.34490066116314,3.244563146338287,3.639504640957575,0.39494149461928796,0.0,0.4281836144302625,0.4281836144302625,3.244563146338287,3.211321026527313,-0.033242119810974025,0.0653031709356734,0.1017999689869274,0.03649679805125401,0.0,0.0079003828938856,0.0079003828938856,0.5009485548385867,0.4977111234923155,-0.0032374313462711912,0.0,8.462943726186024,8.462943726186024,121.0,119.0,-2.0,17.0,17.0,0.0,2.375,55.34490066116314,0.39494149461928796,0.4281836144302625,0.033242119810974025,0.03649679805125401,0.0079003828938856,-0.0032374313462711912,8.462943726186024,2.0,-0.0
ampace_jp30_120s4p,ampace_jp30,Ampace,JP30P1 (JP30),120,4,480,30.0,252.88515114,5.2992,5.08104,screening_factor8,screening_factor8,True,True,True,True,16.265625,20.4609375,4.1953125,1343.39735997748,1302.3124816039146,-41.08487837356529,4.469205375512552,4.968608968265696,0.4994035927531435,0.0,0.5599553089010233,0.5599553089010233,4.469205375512552,4.408653659364672,-0.06055171614787991,0.1132307108987802,0.1703326116020019,0.057101900703221686,0.0,0.0080178286123535,0.0080178286123535,0.4986596350775114,0.5021342597205394,0.0034746246430280014,0.0,8.677141584407844,8.677141584407844,69.0,69.0,0.0,10.0,10.0,0.0,4.1953125,41.08487837356529,0.4994035927531435,0.5599553089010233,0.06055171614787991,0.057101900703221686,0.0080178286123535,0.0034746246430280014,8.677141584407844,-0.0,-0.0
ampace_jp30_120s5p,ampace_jp30,Ampace,JP30P1 (JP30),120,5,600,37.5,260.38515114,6.624,6.3513,screening_factor8,screening_factor8,True,True,True,True,24.9609375,32.890625,7.9296875,1279.8028388480736,1247.3497349175325,-32.45310393054115,5.672951258154798,6.273374971667276,0.6004237135124777,0.0,0.681189018732862,0.681189018732862,5.672951258154798,5.592185952934414,-0.0807653052203845,0.1745838035674059,0.2640331677110691,0.0894493641436632,0.0,0.0079797352859322,0.0079797352859322,0.5038451314675602,0.4951958918285135,-0.00864923963904668,0.0,8.835848675140618,8.835848675140618,35.0,34.0,-1.0,3.0,3.0,0.0,7.9296875,32.45310393054115,0.6004237135124777,0.681189018732862,0.0807653052203845,0.0894493641436632,0.0079797352859322,-0.00864923963904668,8.835848675140618,1.0,-0.0
ampace_jp30_125s3p,ampace_jp30,Ampace,JP30P1 (JP30),125,3,375,23.4375,246.32265114,4.14,3.9695625,screening_factor8,screening_factor8,True,True,True,True,10.5625,13.171875,2.609375,1437.0348228863131,1382.869160322501,-54.16566256381202,3.3972555813197847,3.807374518918986,0.41011893759920115,0.0,0.4467973365645417,0.4467973365645417,3.3972555813197847,3.360577182354445,-0.03667839896533964,0.0707615664129047,0.1100244177907314,0.0392628513778267,0.0,0.0079389384456455,0.0079389384456455,0.5015827160837739,0.4990166302575725,-0.0025660858262014363,0.0,8.463534739870925,8.463534739870925,114.0,113.0,-1.0,16.0,16.0,0.0,2.609375,54.16566256381202,0.41011893759920115,0.4467973365645417,0.03667839896533964,0.0392628513778267,0.0079389384456455,-0.0025660858262014363,8.463534739870925,1.0,-0.0
