candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis
ampace_jp30_110s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,3,330,462.0,404.8,3.6432,3.4932149999999997,5.82380927210548,50.57436299460625,0.05,3.0,10.235,36.0,108.0,20.625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_110s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,4,440,462.0,404.8,4.857600000000001,4.65762,7.765079029473973,67.43248399280833,0.05,3.0,10.235,36.0,144.0,27.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_110s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,5,550,462.0,404.8,6.072,5.822025,9.706348786842467,84.29060499101043,0.05,3.0,10.235,36.0,180.0,34.375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_115s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,3,345,483.0,423.20000000000005,3.8088,3.6519975,6.088527875383001,52.87319767617926,0.05,3.0,10.235,36.0,108.0,21.5625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_115s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,4,460,483.0,423.20000000000005,5.0784,4.86933,8.118037167177334,70.49759690157234,0.05,3.0,10.235,36.0,144.0,28.75,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_115s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,5,575,483.0,423.20000000000005,6.348,6.086662499999999,10.147546458971668,88.12199612696543,0.05,3.0,10.235,36.0,180.0,35.9375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_120s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,3,360,504.0,441.6,3.9744,3.81078,6.353246478660522,55.172032357752265,0.05,3.0,10.235,36.0,108.0,22.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_120s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,4,480,504.0,441.6,5.2992,5.08104,8.470995304880697,73.56270981033636,0.05,3.0,10.235,36.0,144.0,30.0,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_120s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,5,600,504.0,441.6,6.624,6.3513,10.588744131100873,91.95338726292044,0.05,3.0,10.235,36.0,180.0,37.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_125s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,125,3,375,525.0,460.0,4.14,3.9695625,6.617965081938045,57.47086703932528,0.05,3.0,10.235,36.0,108.0,23.4375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_125s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,125,4,500,525.0,460.0,5.52,5.29275,8.82395344258406,76.62782271910038,0.05,3.0,10.235,36.0,144.0,31.25,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_125s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,125,5,625,525.0,460.0,6.9,6.6159375,11.029941803230074,95.78477839887546,0.05,3.0,10.235,36.0,180.0,39.0625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_130s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,130,3,390,546.0,478.40000000000003,4.3056,4.128345,6.882683685215566,59.7697017208983,0.05,3.0,10.235,36.0,108.0,24.375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_130s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,130,4,520,546.0,478.40000000000003,5.7408,5.50446,9.176911580287422,79.69293562786439,0.05,3.0,10.235,36.0,144.0,32.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_130s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,130,5,650,546.0,478.40000000000003,7.176,6.880574999999999,11.471139475359278,99.61616953483049,0.05,3.0,10.235,36.0,180.0,40.625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_135s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,135,3,405,567.0,496.8,4.4712,4.2871274999999995,7.147402288493089,62.06853640247131,0.05,3.0,10.235,36.0,108.0,25.3125,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_135s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,135,4,540,567.0,496.8,5.961600000000001,5.71617,9.529869717990785,82.75804853662841,0.05,3.0,10.235,36.0,144.0,33.75,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_140s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,140,3,420,588.0,515.2,4.6368,4.44591,7.41212089177061,64.36737108404431,0.05,3.0,10.235,36.0,108.0,26.25,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
ampace_jp30_140s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,140,4,560,588.0,515.2,6.1824,5.92788,9.882827855694147,85.82316144539243,0.05,3.0,10.235,36.0,144.0,35.0,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.
