candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis,cell_nominal_voltage_v,cell_maximum_voltage_v,cell_minimum_voltage_v,cell_pulse_current_a,cell_pulse_duration_s,cell_document_status,power_limit_kw,vehicle_mass_kg,pack_resistance_initial_mohm,simulation_fidelity,completed_target_distance,target_distance_m,elapsed_time_s,equivalent_average_lap_time_s,fastest_completed_lap_time_s,slowest_completed_lap_time_s,completed_full_laps_before_target,final_soc,remaining_usable_chemical_kwh,terminal_energy_kwh,chemical_energy_kwh,mechanical_energy_kwh,pack_resistive_heat_kwh,motor_loss_kwh,inverter_loss_kwh,drivetrain_loss_kwh,average_battery_terminal_power_kw,peak_battery_terminal_power_kw,average_motor_shaft_power_kw,peak_motor_shaft_power_kw,peak_pack_current_a,peak_cell_current_a,rms_cell_current_a,minimum_terminal_voltage_v,battery_discharge_efficiency_pct,chemical_to_motor_efficiency_pct,adiabatic_cell_temperature_rise_c,distance_reached_m,maximum_achieved_terminal_power_kw,pack_current_limit_respected,power_limit_respected,solver_energy_balance_relative,search_status,search_evaluations,reserve_target_kwh,reserve_error_kwh,constraint_valid,equal_reserve_eligible,time_difference_vs_baseline_s,improvement_vs_baseline_pct,performance_per_pack_kg,overall_rank,cell_rank,pareto_frontier
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,21700,125,3,375,525.0,450.0,8.1,7.939125,9.598142333493062,83.35093265725742,0.076,6.0,10.235,40.0,120.0,35.625,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/103029/TENPOWER%C2%A0PRODUCT%C2%A0SPECIFICATION%C2%A0INR21700-60XG%C2%A0%C2%A0V0.1%C2%A0251209%281%29%281%29%281%29.pdf,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,160.0,3.0,"V0.1 DRAFT manufacturer specification, effective 2025-12-09",35.203125,258.51015114,447.78125,native_0p25m,True,22000.0,1236.396184147111,60.13205945880757,60.08527526645351,61.25436543991281,20,0.1175242302037953,0.4969801313895456,6.935501077838729,7.442158566507846,5.98980615108841,0.5066574886691172,0.7249228563036758,0.2207720704466429,0.1497451537772103,20.194015640255863,35.2031249966388,17.440447018843756,31.86348265053479,95.17798851676926,31.72599617225642,19.16662920988795,369.86469266564137,93.19206270410253,80.48479614563041,63.99884067399375,22000.0,35.2031249966388,True,True,1.4505180942667921e-15,converged,7,0.5,-0.0030198686104543,True,True,-34.990555270369896,2.7521566951690666,0.0227032206977893,1.0,1.0,True
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.07372263789744,96.16497419877564,0.067,5.0,8.188,40.0,160.0,36.85,https://birikimpilleri.net/documents/contract/AB9F4D23-D6A7-CB6F-D0E2EB2F8468BB35.PDF,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"A0 manufacturer specification, dated 2025-01-02",35.09375,259.73515114,236.42850000000004,native_0p25m,True,22000.0,1237.5581472220997,60.1885714681538,60.14342292007229,61.309884363279885,20,0.119882813768274,0.5032893883486557,6.933241796625216,7.259423874552484,5.991162540098704,0.3261820779272666,0.7258679289010632,0.2162113276254499,0.1497790635024677,20.16848301138561,35.093749998552454,17.42801757862338,31.78123966560322,103.00926314777648,25.75231578694412,15.870274645229133,340.6788726647037,95.5067773481215,82.52944921842074,39.83227545923202,22000.0,35.093749998552454,True,True,2.0579197926408875e-14,converged,7,0.5,0.0032893883486556,True,True,-33.828592195381134,2.660763333970322,0.0219278925384869,2.0,1.0,True
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),21700,110,4,440,462.0,393.8,7.876,7.762699999999999,11.097350780083564,96.37016262167488,0.072,5.0,8.188,40.0,160.0,39.6,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.58,4.2,2.5,180.0,5.0,"Manufacturer specification, public copy",34.8671875,262.48515114,236.42850000000004,native_0p25m,True,22000.0,1240.211626652855,60.3176232922768,60.272208109619015,61.43945509679632,20,0.1198551603035182,0.5030858360255671,6.934837135368828,7.259627425110048,5.992884233690986,0.3247902897412204,0.7253626908052646,0.2165902108725778,0.1498221058422748,20.129962621545232,34.867187496149924,17.395727291731305,31.57150748799739,102.2889386303011,25.57223465757528,15.819411776911654,340.8632505955718,95.52607495230656,82.55085120432527,36.90798747059323,22000.0,34.867187496149924,True,True,-5.451329327729517e-15,converged,8,0.5,0.0030858360255671,True,True,-31.175112764625737,2.452055837778317,0.0203614646966969,3.0,1.0,True
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.261820337965192,97.79842765118204,0.075,5.0,8.188,40.0,160.0,41.25,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,140.0,3.0,"V0.1 manufacturer specification, public copy",34.765625,264.13515114,236.42850000000004,native_0p25m,True,22000.0,1241.7179854302497,60.39088496740165,60.3453374477273,61.51309305848071,20,0.119408169333322,0.4997959169733098,6.9385461964257225,7.2629173578683055,5.996506996927046,0.3243711614425828,0.7251907684213206,0.2168484310773557,0.1499126749231763,20.11629580969432,34.76562499999852,17.385127252914373,31.477525862502294,101.99029059955016,25.49757264988754,15.799026031840482,340.86736440903405,95.53387233449416,82.5633378635475,35.3859448846454,22000.0,34.76562499999852,True,True,2.835535121217389e-15,converged,8,0.5,-0.0002040830266902,True,True,-29.668753987231185,2.3335742828987427,0.0195232931526109,4.0,1.0,True
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,21700,120,3,360,504.0,432.0,7.776,7.62156,9.21421664015334,80.01689535096712,0.076,6.0,10.235,40.0,120.0,34.2,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/103029/TENPOWER%C2%A0PRODUCT%C2%A0SPECIFICATION%C2%A0INR21700-60XG%C2%A0%C2%A0V0.1%C2%A0251209%281%29%281%29%281%29.pdf,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,160.0,3.0,"V0.1 DRAFT manufacturer specification, effective 2025-12-09",32.015625,257.08515114,429.87,native_0p25m,True,22000.0,1244.122620288108,60.50783424960054,60.458530990710685,61.62175800437478,20,0.1211567023968983,0.5033473831316979,6.653771237939795,7.118225408097013,5.728112577506896,0.4644541701572185,0.7104211723576753,0.2152374880752245,0.1432028144376725,19.253388746389167,32.015624997833726,16.574897797653954,28.92289881798736,89.27297925732061,29.757659752440205,18.677296823430943,358.62277048215395,93.4751410143756,80.4710759930578,61.11239081016034,22000.0,32.015624997833726,True,True,2.003580934575789e-14,converged,6,0.5,0.0033473831316979,True,True,-27.26411912937283,2.144439475738484,0.0235023185054702,5.0,2.0,True
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.258091711235346,97.76604799846749,0.071,5.0,12.8,60.0,240.0,39.05,https://www.molicel.com/wp-content/uploads/Product-Data-Sheet-of-INR-21700-P50B-80122.pdf,Published typical DCIR at 50% SOC and 23 degC.,3.6,4.2,2.5,,,Official manufacturer product data sheet,32.9609375,261.93515114,369.6,native_0p25m,True,22000.0,1244.9442098377676,60.54779221152595,60.50107322726775,61.66451245871116,20,0.118924327912709,0.4962354172417618,6.766025831554883,7.266477791478469,5.83567914705692,0.5004519599235872,0.7169242656730092,0.2134224188249526,0.1458919786764231,19.565288790548856,32.960937499499096,16.8750091477132,29.81737565144194,101.14189270626292,25.285473176565727,15.673107316007608,325.86917324722305,93.11286741273088,80.30959860498751,57.67052034970914,22000.0,32.960937499499096,True,True,-1.837767753716881e-14,converged,8,0.5,-0.0037645827582382,True,True,-26.44252957971321,2.079817946805749,0.0205697527808223,6.0,1.0,False
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,21700,140,3,420,588.0,504.0,7.56,7.40985,10.5703716089021,91.7938390079222,0.067,5.0,8.188,40.0,120.0,35.175,https://birikimpilleri.net/documents/contract/AB9F4D23-D6A7-CB6F-D0E2EB2F8468BB35.PDF,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"A0 manufacturer specification, dated 2025-01-02",31.5078125,258.06015114,401.2120000000001,native_0p25m,True,22000.0,1246.6934619029837,60.63286698815716,60.581935021576015,61.74657751685487,20,0.1220716691411016,0.4957986487116511,6.617101947086701,6.914063690337427,5.685735396336886,0.2969617432507244,0.707552727589107,0.2238138231607077,0.1421433849084223,19.107798137603368,31.507812500449567,16.41834825665079,28.406322253815983,72.21328804241209,24.071096014137364,15.4452310507188,436.3157776507172,95.70496083705828,82.23435089675034,37.99084135403724,22000.0,31.507812500449567,True,True,-3.972075988986367e-14,converged,6,0.5,-0.0042013512883489,True,True,-24.69327751449714,1.9422317968969076,0.0228037468947902,7.0,2.0,True
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,140,3,420,588.0,501.2,7.518,7.40985,10.59292574462522,91.989700684326,0.072,5.0,8.188,40.0,120.0,37.8,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.58,4.2,2.5,180.0,5.0,"Manufacturer specification, public copy",31.3046875,260.68515114,401.2120000000001,native_0p25m,True,22000.0,1249.441301261939,60.76650800212549,60.71528925698925,61.88076451306681,20,0.1225855581592211,0.4994128081380908,6.615252770570784,6.910449503607054,5.684231061385539,0.2951967330362693,0.7068297569697299,0.2241919522155155,0.1421057765346386,19.060447217489685,31.304687499301963,16.377905708991705,28.218485825807225,71.69145685270608,23.89715228423536,15.38298383400094,436.6582481712828,95.72825569621504,82.25559073137768,35.1424682186035,22000.0,31.304687499301963,True,True,1.2146468753468991e-14,converged,6,0.5,-0.0005871918619091,True,True,-21.94543815554175,1.7261024891290455,0.021173484843431,9.0,2.0,True
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,21700,140,3,420,588.0,504.0,7.56,7.40985,10.749919413512227,93.3530445761283,0.075,5.0,8.188,40.0,120.0,39.375,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,140.0,3.0,"V0.1 manufacturer specification, public copy",31.203125,262.26015114,401.2120000000001,native_0p25m,True,22000.0,1251.023538290864,60.843460011781566,60.79209944294172,61.95811217741183,20,0.1224268248332171,0.4982963665116058,6.617054345309171,6.911565942994921,5.686096314441955,0.2945115976857513,0.7065022300457444,0.2244558008214716,0.142152407861049,19.041524730747728,31.203125000363688,16.362559220873557,28.12465560882301,71.44626358855285,23.815421196184285,15.355213824116136,436.7353339633902,95.73885860143972,82.26929123355879,33.65846830694301,22000.0,31.203125000363688,True,True,1.610683230573959e-16,converged,6,0.5,-0.0017036334883941,True,True,-20.363201126616783,1.6016527855203777,0.0203008373699525,11.0,2.0,True
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,21700,115,3,345,483.0,414.0,7.452,7.303995,8.830290946813616,76.68285804467682,0.076,6.0,10.235,40.0,120.0,32.775,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/103029/TENPOWER%C2%A0PRODUCT%C2%A0SPECIFICATION%C2%A0INR21700-60XG%C2%A0%C2%A0V0.1%C2%A0251209%281%29%281%29%281%29.pdf,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,160.0,3.0,"V0.1 DRAFT manufacturer specification, effective 2025-12-09",29.265625,255.66015114,411.95875,native_0p25m,True,22000.0,1252.8018417415612,60.92994770092539,60.878748702383405,62.03715069055306,20,0.1238146627281815,0.5008019725285876,6.376491850665483,6.8032049811821125,5.470361070642005,0.4267131305166303,0.6962098520118012,0.2099209280116766,0.1367590267660502,18.32322550746311,29.26562500054308,15.719405254812612,26.38904826599882,84.4919622661777,28.16398742205924,18.228230267555915,346.371385084911,93.72776313962416,80.40858809595187,58.58761517390805,22000.0,29.26562500054308,True,True,9.81544527671266e-15,converged,7,0.5,0.0008019725285876,True,True,-18.584897675919592,1.4617816199998084,0.0243542587843976,12.0,3.0,True
