candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis,cell_nominal_voltage_v,cell_maximum_voltage_v,cell_minimum_voltage_v,cell_pulse_current_a,cell_pulse_duration_s,cell_document_status,power_limit_kw,vehicle_mass_kg,pack_resistance_initial_mohm,simulation_fidelity,completed_target_distance,target_distance_m,elapsed_time_s,equivalent_average_lap_time_s,fastest_completed_lap_time_s,slowest_completed_lap_time_s,completed_full_laps_before_target,final_soc,remaining_usable_chemical_kwh,terminal_energy_kwh,chemical_energy_kwh,mechanical_energy_kwh,pack_resistive_heat_kwh,motor_loss_kwh,inverter_loss_kwh,drivetrain_loss_kwh,average_battery_terminal_power_kw,peak_battery_terminal_power_kw,average_motor_shaft_power_kw,peak_motor_shaft_power_kw,peak_pack_current_a,peak_cell_current_a,rms_cell_current_a,minimum_terminal_voltage_v,battery_discharge_efficiency_pct,chemical_to_motor_efficiency_pct,adiabatic_cell_temperature_rise_c,distance_reached_m,maximum_achieved_terminal_power_kw,pack_current_limit_respected,power_limit_respected,solver_energy_balance_relative,search_status,search_evaluations,reserve_target_kwh,reserve_error_kwh,constraint_valid,equal_reserve_eligible
ampace_jp30_130s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,130,5,650,546.0,478.40000000000003,7.176,6.880574999999999,11.471139475359278,99.61616953483049,0.05,3.0,10.235,36.0,180.0,40.625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",27.015625,263.51015114,279.4155,native_0p25m,True,22000.0,1268.7972096334274,61.70788152624101,61.65315383663642,62.818671720436114,20,0.12774381353646228,0.4974640679078063,6.192696206818482,6.383121850725936,5.293139498956775,0.19042564390745428,0.68363060577437,0.21592610208733584,0.1323284874739195,17.57074036361373,27.015625000316795,15.018398568002622,24.271493527246335,64.93620660501266,12.987241321002532,8.819051569718102,416.03316638998456,97.01673180677575,82.92399272238237,21.093302094364166,22000.0,27.015625000316795,True,True,-1.7442866345667453e-17,converged,6,0.5,-0.0025359320921937156,True,True
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),21700,110,4,440,462.0,393.8,7.876,7.762699999999999,11.097350780083564,96.37016262167487,0.072,5.0,8.188,40.0,160.0,39.599999999999994,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.58,4.2,2.5,180.0,5.0,"Manufacturer specification, public copy",34.8671875,262.48515113999997,236.42850000000004,native_0p25m,True,22000.0,1240.211626652855,60.3176232922768,60.272208109619015,61.43945509679632,20,0.1198551603035182,0.5030858360255671,6.934837135368828,7.2596274251100485,5.992884233690986,0.3247902897412204,0.7253626908052646,0.21659021087257788,0.1498221058422748,20.129962621545232,34.867187496149924,17.395727291731305,31.57150748799739,102.2889386303011,25.572234657575276,15.819411776911654,340.8632505955718,95.52607495230656,82.55085120432527,36.90798747059323,22000.0,34.867187496149924,True,True,-5.4513293277295174e-15,converged,8,0.5,0.0030858360255671125,True,True
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,140,3,420,588.0,501.2,7.518,7.40985,10.592925744625221,91.98970068432601,0.072,5.0,8.188,40.0,120.0,37.8,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.58,4.2,2.5,180.0,5.0,"Manufacturer specification, public copy",31.3046875,260.68515114,401.21200000000005,native_0p25m,True,22000.0,1249.4413012619393,60.766508002125484,60.715289256989244,61.88076451306681,20,0.1225855581592211,0.4994128081380908,6.615252770570784,6.910449503607054,5.684231061385539,0.29519673303626937,0.7068297569697299,0.22419195221551558,0.1421057765346386,19.060447217489685,31.304687499301963,16.377905708991705,28.218485825807225,71.69145685270608,23.89715228423536,15.382983834000939,436.6582481712828,95.72825569621504,82.25559073137768,35.1424682186035,22000.0,31.304687499301963,True,True,1.214646875346899e-14,converged,6,0.5,-0.0005871918619091976,True,True
molicel_p30b_130s5p,molicel_p30b,Molicel,INR-18650-P30B,18650,130,5,650,546.0,468.0,7.02,6.880574999999999,11.515338854048618,100.0,0.047,3.0,17.0,30.0,150.0,38.1875,https://www.molicel.com/wp-content/uploads/Product-Data-Sheet-of-INR-18650-P30B-80111-2.pdf,Published typical DCIR at 50% SOC and 23 degC.,3.6,4.2,2.5,,,Official manufacturer product data sheet,26.078125,261.07265114,464.1,native_0p25m,True,22000.0,1271.3867394174808,61.83382316286331,61.777855473857514,62.94373884649401,20,0.1276895017487844,0.4971086373543744,6.069867533316428,6.383477230349547,5.178870018146315,0.3136096970331188,0.6779313361817934,0.21306617898831853,0.129471750453658,17.187156702571077,26.078125000678096,14.664249269949867,23.41381655584565,64.7536425119331,12.95072850238662,8.772115046994331,402.72803046382774,95.08716510271087,81.12929413335951,36.955643512904345,22000.0,26.078125000678096,True,True,1.871122776495835e-14,converged,8,0.5,-0.002891362645625617,True,True
molicel_p50b_110s4p,molicel_p50b,Molicel,INR-21700-P50B,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.258091711235346,97.76604799846747,0.071,5.0,12.8,60.0,240.0,39.05,https://www.molicel.com/wp-content/uploads/Product-Data-Sheet-of-INR-21700-P50B-80122.pdf,Published typical DCIR at 50% SOC and 23 degC.,3.6,4.2,2.5,,,Official manufacturer product data sheet,32.9609375,261.93515114,369.6,native_0p25m,True,22000.0,1244.9442098377676,60.54779221152595,60.50107322726775,61.66451245871116,20,0.118924327912709,0.4962354172417618,6.766025831554883,7.2664777914784695,5.83567914705692,0.5004519599235872,0.7169242656730092,0.21342241882495266,0.14589197867642317,19.565288790548856,32.960937499499096,16.8750091477132,29.81737565144194,101.14189270626291,25.285473176565727,15.673107316007608,325.86917324722305,93.11286741273088,80.30959860498751,57.67052034970914,22000.0,32.960937499499096,True,True,-1.8377677537168817e-14,converged,8,0.5,-0.0037645827582382108,True,True
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.07372263789744,96.16497419877564,0.067,5.0,8.188,40.0,160.0,36.85,https://birikimpilleri.net/documents/contract/AB9F4D23-D6A7-CB6F-D0E2EB2F8468BB35.PDF,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"A0 manufacturer specification, dated 2025-01-02",35.09375,259.73515114,236.42850000000004,native_0p25m,True,22000.0,1237.5581472220997,60.188571468153796,60.14342292007229,61.309884363279885,20,0.11988281376827409,0.5032893883486557,6.933241796625216,7.259423874552484,5.991162540098704,0.32618207792726667,0.7258679289010632,0.2162113276254499,0.14977906350246772,20.168483011385618,35.093749998552454,17.42801757862338,31.78123966560322,103.00926314777647,25.752315786944116,15.870274645229133,340.6788726647037,95.5067773481215,82.52944921842074,39.83227545923202,22000.0,35.093749998552454,True,True,2.0579197926408875e-14,converged,7,0.5,0.003289388348655664,True,True
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,21700,140,3,420,588.0,504.0,7.56,7.40985,10.5703716089021,91.7938390079222,0.067,5.0,8.188,40.0,120.0,35.175,https://birikimpilleri.net/documents/contract/AB9F4D23-D6A7-CB6F-D0E2EB2F8468BB35.PDF,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"A0 manufacturer specification, dated 2025-01-02",31.5078125,258.06015114,401.21200000000005,native_0p25m,True,22000.0,1246.6934619029835,60.63286698815716,60.581935021576015,61.74657751685487,20,0.12207166914110165,0.4957986487116511,6.617101947086701,6.914063690337427,5.685735396336886,0.2969617432507244,0.707552727589107,0.2238138231607077,0.1421433849084223,19.107798137603368,31.507812500449567,16.41834825665079,28.406322253815986,72.21328804241209,24.071096014137364,15.4452310507188,436.3157776507172,95.70496083705828,82.23435089675034,37.99084135403724,22000.0,31.507812500449567,True,True,-3.9720759889863666e-14,converged,6,0.5,-0.00420135128834892,True,True
tenpower_30xg_130s5p,tenpower_30xg,Tenpower,INR18650-30XG,18650,130,5,650,546.0,468.0,7.02,6.880574999999999,11.409323021789755,99.07935117148907,0.048,3.0,10.235,40.0,200.0,39.0,https://static.dianchi.cn/uploads/2025/08/14/dc24ug2qundv6vmnaf.pdf,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"Manufacturer specification, public copy",27.1171875,261.88515114,279.4155,native_0p25m,True,22000.0,1267.0279253355425,61.62183248309119,61.567266925356,62.731658301632734,20,0.12749401736769322,0.49582939829455747,6.193677537256213,6.384756536419537,5.293843278400911,0.19107899916332324,0.6841307586305018,0.21570350022480106,0.1323460819600229,17.598064484819833,27.11718750000674,15.041369981799148,24.365264985572995,65.20054071764864,13.040108143529727,8.840151138780953,415.9041610074921,97.00726256242689,82.91378454611535,22.0475768265373,22000.0,27.11718750000674,True,True,6.565512645219841e-15,converged,6,0.5,-0.004170601705442534,True,True
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.261820337965192,97.79842765118204,0.075,5.0,8.188,40.0,160.0,41.25,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,140.0,3.0,"V0.1 manufacturer specification, public copy",34.765625,264.13515114,236.42850000000004,native_0p25m,True,22000.0,1241.7179854302497,60.39088496740165,60.3453374477273,61.513093058480706,20,0.11940816933332207,0.4997959169733098,6.9385461964257225,7.2629173578683055,5.996506996927046,0.3243711614425828,0.7251907684213206,0.21684843107735577,0.1499126749231763,20.116295809694318,34.76562499999852,17.385127252914373,31.477525862502294,101.99029059955016,25.49757264988754,15.799026031840482,340.86736440903405,95.53387233449415,82.5633378635475,35.3859448846454,22000.0,34.76562499999852,True,True,2.8355351212173887e-15,converged,8,0.5,-0.00020408302669022715,True,True
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,21700,140,3,420,588.0,504.0,7.56,7.40985,10.749919413512227,93.3530445761283,0.075,5.0,8.188,40.0,120.0,39.375,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,140.0,3.0,"V0.1 manufacturer specification, public copy",31.203125,262.26015114,401.21200000000005,native_0p25m,True,22000.0,1251.023538290864,60.843460011781566,60.79209944294172,61.95811217741183,20,0.1224268248332171,0.4982963665116058,6.617054345309171,6.911565942994921,5.686096314441955,0.2945115976857513,0.7065022300457444,0.22445580082147165,0.142152407861049,19.041524730747728,31.203125000363688,16.362559220873557,28.12465560882301,71.44626358855285,23.815421196184285,15.355213824116136,436.7353339633902,95.73885860143972,82.26929123355879,33.65846830694301,22000.0,31.203125000363688,True,True,1.6106832305739593e-16,converged,6,0.5,-0.0017036334883941961,True,True
