candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis,rejection_reasons
ampace_jp30_110s6p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,6,660,462.0,404.8,7.2864,6.9864299999999995,11.64761854421096,101.1487259892125,0.05,3.0,10.235,36.0,216.0,41.25,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,cell_envelope_above_130s5p_p30b
ampace_jp30_115s6p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,6,690,483.0,423.20000000000005,7.6176,7.303995,12.177055750766002,105.74639535235852,0.05,3.0,10.235,36.0,216.0,43.125,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,cell_envelope_above_130s5p_p30b
ampace_jp30_120s6p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,6,720,504.0,441.6,7.9488,7.62156,12.706492957321045,110.34406471550453,0.05,3.0,10.235,36.0,216.0,45.0,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,cell_envelope_above_130s5p_p30b
ampace_jp30_125s6p,ampace_jp30,Ampace,JP30P1 (JP30),18650,125,6,750,525.0,460.0,8.28,7.939125,13.23593016387609,114.94173407865055,0.05,3.0,10.235,36.0,216.0,46.875,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,cell_envelope_above_130s5p_p30b
ampace_jp30_130s6p,ampace_jp30,Ampace,JP30P1 (JP30),18650,130,6,780,546.0,478.40000000000003,8.6112,8.25669,13.765367370431132,119.5394034417966,0.05,3.0,10.235,36.0,216.0,48.75,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,usable_energy_above_8kwh;cell_envelope_above_130s5p_p30b
ampace_jp30_135s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,135,5,675,567.0,496.8,7.452,7.1452124999999995,11.91233714748848,103.4475606707855,0.05,3.0,10.235,36.0,180.0,42.1875,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,cell_envelope_above_130s5p_p30b
ampace_jp30_135s6p,ampace_jp30,Ampace,JP30P1 (JP30),18650,135,6,810,567.0,496.8,8.9424,8.574254999999999,14.294804576986177,124.13707280494262,0.05,3.0,10.235,36.0,216.0,50.625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,usable_energy_above_8kwh;cell_envelope_above_130s5p_p30b
ampace_jp30_140s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,140,5,700,588.0,515.2,7.728,7.40985,12.353534819617684,107.27895180674052,0.05,3.0,10.235,36.0,180.0,43.75,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,cell_envelope_above_130s5p_p30b
ampace_jp30_140s6p,ampace_jp30,Ampace,JP30P1 (JP30),18650,140,6,840,588.0,515.2,9.2736,8.89182,14.82424178354122,128.73474216808862,0.05,3.0,10.235,36.0,216.0,52.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,usable_energy_above_8kwh;cell_envelope_above_130s5p_p30b
ampace_jp50_110s5p,ampace_jp50,Ampace,JP50P1 (JP50),21700,110,5,550,462.0,393.8,9.845,9.703374999999998,13.871688475104456,120.46270327709358,0.072,5.0,8.188,40.0,200.0,49.49999999999999,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,usable_energy_above_8kwh;cell_envelope_above_130s5p_p30b
