candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis,cell_nominal_voltage_v,cell_maximum_voltage_v,cell_minimum_voltage_v,cell_pulse_current_a,cell_pulse_duration_s,cell_document_status,power_limit_kw,vehicle_mass_kg,pack_resistance_initial_mohm,simulation_fidelity,completed_target_distance,target_distance_m,elapsed_time_s,equivalent_average_lap_time_s,fastest_completed_lap_time_s,slowest_completed_lap_time_s,completed_full_laps_before_target,final_soc,remaining_usable_chemical_kwh,terminal_energy_kwh,chemical_energy_kwh,mechanical_energy_kwh,pack_resistive_heat_kwh,motor_loss_kwh,inverter_loss_kwh,drivetrain_loss_kwh,average_battery_terminal_power_kw,peak_battery_terminal_power_kw,average_motor_shaft_power_kw,peak_motor_shaft_power_kw,peak_pack_current_a,peak_cell_current_a,rms_cell_current_a,minimum_terminal_voltage_v,battery_discharge_efficiency_pct,chemical_to_motor_efficiency_pct,adiabatic_cell_temperature_rise_c,distance_reached_m,maximum_achieved_terminal_power_kw,pack_current_limit_respected,power_limit_respected,solver_energy_balance_relative,search_status,search_evaluations,reserve_target_kwh,reserve_error_kwh,constraint_valid,equal_reserve_eligible
ampace_jp30_110s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,3,330,462.0,404.8,3.6432,3.4932149999999997,5.82380927210548,50.57436299460625,0.05,3.0,10.235,36.0,108.0,20.625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",8.4375,243.51015114,394.04749999999996,screening_factor8,True,22000.0,1496.6410899303203,72.7890559370058,72.6908881297699,74.35419530824922,20,0.20171922936889844,0.5018634910055358,2.9363567748079618,2.9913816202676964,2.224660288654323,0.05502484545973453,0.5373367418291313,0.17435974432450696,0.055616507216358135,7.063072409565353,8.437499625253743,5.351167419523696,7.192177232972702,22.779830427306212,7.593276809102071,6.154111368926729,370.2950572766449,98.16055413702748,74.3689896862855,12.005420827578442,22000.0,8.437499625253743,True,True,2.642190040672251e-15,converged,9,0.5,0.0018634910055358445,True,True
ampace_jp30_110s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,4,440,462.0,404.8,4.857600000000001,4.65762,7.765079029473973,67.43248399280833,0.05,3.0,10.235,36.0,144.0,27.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",13.921875,250.38515114,295.535625,screening_factor8,True,22000.0,1373.3633883130929,66.79345179438558,66.71369739752262,68.0732040812855,20,0.16521247312039214,0.5039359301889166,4.057784344483023,4.153732514538486,3.286867450893883,0.09594817005546326,0.588320737535665,0.1825961560534752,0.08217168627234714,10.636677637141595,13.92187279861065,8.615871752451588,12.24081301946398,38.42530972708165,9.606327431770412,7.332828121003388,362.2568261493541,97.69007345274076,79.13045530470517,15.700609645439442,22000.0,13.92187279861065,True,True,-8.063763339806877e-15,converged,11,0.5,0.003935930188916581,True,True
ampace_jp30_110s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,5,550,462.0,404.8,6.072,5.822025,9.706348786842467,84.29060499101043,0.05,3.0,10.235,36.0,180.0,34.375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",20.8828125,257.26015114,236.42849999999999,screening_factor8,True,22000.0,1302.7911354522632,63.361174212506135,63.2991401724651,64.47294576838362,20,0.1416418691719775,0.4980989228741687,5.177201831563978,5.323995497845729,4.342918865536917,0.1467936662817516,0.6397994991634085,0.19448346686365353,0.10857297163842301,14.30615091432916,20.882811989707026,12.000778551893807,18.64047890481609,58.65746374606171,11.731492749212341,8.31595622883912,355.8698320106702,97.242791314509,81.57254955031819,19.216625404156574,22000.0,20.882811989707026,True,True,-1.4041449399743357e-14,converged,12,0.5,-0.0019010771258313186,True,True
ampace_jp30_115s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,3,345,483.0,423.20000000000005,3.8088,3.6519975,6.088527875383001,52.87319767617926,0.05,3.0,10.235,36.0,108.0,21.5625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",9.125,244.44765114,411.95875,screening_factor8,True,22000.0,1474.2792304033683,71.70148814609438,71.60863610915297,73.1816074997724,20,0.19505565360514357,0.5008964215346623,3.090972882197727,3.1511335699635943,2.370271572116269,0.06016068776586764,0.5445780018139709,0.17612330826748698,0.05925678930290677,7.547757674689137,9.124999307941588,5.7878978986117255,7.796545416938171,23.6422449647782,7.880748321592733,6.339130844529433,385.76891413729055,98.09082393906387,75.21964777087037,12.5552739685289,22000.0,9.124999307941588,True,True,-2.435700427645105e-15,converged,8,0.5,0.000896421534662295,True,True
ampace_jp30_115s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,4,460,483.0,423.20000000000005,5.0784,4.86933,8.118037167177334,70.49759690157234,0.05,3.0,10.235,36.0,144.0,28.75,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",14.953125,251.63515114,308.9690625,screening_factor8,True,22000.0,1359.1667441171992,66.10299879570385,66.02634039703713,67.36405446606358,20,0.16006696304994109,0.5026892098344986,4.2628484001941445,4.366692597722957,3.4798790913896225,0.10384419752881237,0.5968602877772298,0.18610902102729204,0.08699697728474064,11.290928289057396,14.95312103633306,9.217091856628302,13.179388182091756,39.599228697686556,9.899807174421639,7.497299990252891,377.50518427117936,97.62190272832663,79.6914143487964,16.25387439581411,22000.0,14.95312103633306,True,True,2.549357270099613e-17,converged,11,0.5,0.002689209834498607,True,True
ampace_jp30_115s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,5,575,483.0,423.20000000000005,6.348,6.086662499999999,10.147546458971668,88.12199612696543,0.05,3.0,10.235,36.0,180.0,35.9375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",22.8515625,258.82265114,247.17524999999998,screening_factor8,True,22000.0,1290.710593395371,62.77363772333396,62.71495986107428,63.87889977220512,20,0.13835759356971505,0.5016361390875833,5.425040947741039,5.585100977746986,4.574136965678099,0.16006003000594746,0.6519264682213374,0.1989775138416028,0.11435342414195258,15.131314108526308,22.85155630603657,12.758005675868045,20.45300878259504,61.62592131020255,12.32518426204051,8.5302687501359,370.699960402588,97.13416049873254,81.89891255150219,20.04229940944038,22000.0,22.85155630603657,True,True,1.6844203195041812e-15,converged,12,0.5,0.0016361390875833104,True,True
ampace_jp30_120s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,3,360,504.0,441.6,3.9744,3.81078,6.353246478660522,55.172032357752265,0.05,3.0,10.235,36.0,108.0,22.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",9.8125,245.38515114,429.86999999999995,screening_factor8,True,22000.0,1455.1581376686568,70.77153486737718,70.680135760258,72.22901853502555,20,0.18920740359158555,0.5009485548385867,3.244563146338287,3.3098663172739604,2.514896687696865,0.06530317093567344,0.5514301865206379,0.17823627212078408,0.06287241719242169,8.026912693854237,9.812499639309864,6.221748579308188,8.424034102319128,24.449726476281988,8.14990882542733,6.505967998011066,401.203309118374,98.02701484966747,75.98182061226447,13.060634187134688,22000.0,9.812499639309864,True,True,-7.745381817312346e-15,converged,9,0.5,0.0009485548385866904,True,True
ampace_jp30_120s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,4,480,504.0,441.6,5.2992,5.08104,8.470995304880697,73.56270981033636,0.05,3.0,10.235,36.0,144.0,30.0,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",16.265625,252.88515114,322.4025,screening_factor8,True,22000.0,1343.39735997748,65.33605567757017,65.2620213245244,66.59263914729046,20,0.15477152567239713,0.49865963507751143,4.469205375512552,4.582436086411333,3.672933179979479,0.11323071089878027,0.606727491406036,0.18954470412703742,0.09182332949948704,11.976455984783906,16.26562461400755,9.84262723885938,14.369254063339657,41.44057582115088,10.36014395528772,7.706162061290183,392.3816877711853,97.5290280374111,80.15241480118236,16.98460663481704,22000.0,16.26562461400755,True,True,3.6312158733782635e-15,converged,11,0.5,-0.0013403649224885683,True,True
ampace_jp30_120s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,5,600,504.0,441.6,6.624,6.3513,10.588744131100873,91.95338726292044,0.05,3.0,10.235,36.0,180.0,37.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",24.9609375,260.38515114,257.92199999999997,screening_factor8,True,22000.0,1279.8028388480736,62.24313968928137,62.18661775312704,63.345539239624635,20,0.13512411288480672,0.5038451314675602,5.672951258154798,5.847535061722204,4.804806814719373,0.17458380356740597,0.6644977472305151,0.2036466962049107,0.12012017036798442,15.957633402141298,24.96093550534683,13.515601003478567,22.387949348830663,64.74497294107245,12.94899458821449,8.756206684258286,385.3645804890632,97.0144034755734,82.16807191412155,20.95005642808872,22000.0,24.96093550534683,True,True,-4.512467631151101e-15,converged,12,0.5,0.003845131467560159,True,True
ampace_jp30_125s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,125,3,375,525.0,460.0,4.14,3.9695625,6.617965081938045,57.47086703932528,0.05,3.0,10.235,36.0,108.0,23.4375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",10.5625,246.32265114,447.78124999999994,screening_factor8,True,22000.0,1437.0348228863131,69.89010846372459,69.79744316758146,71.286611350729,20,0.18396643603561358,0.5015827160837739,3.3972555813197847,3.4680171477326898,2.6583545115230613,0.07076156641290471,0.5584261582735132,0.18047491152321002,0.06645886278807661,8.510663693025048,10.562495133274968,6.659599398058658,9.104747305687757,25.347545753920397,8.449181917973466,6.675528281940952,416.59307185767886,97.95959583247253,76.65344196066137,13.586220751277704,22000.0,10.562495133274968,True,True,-4.658686902578085e-15,converged,9,0.5,0.0015827160837739163,True,True
