candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis,cell_nominal_voltage_v,cell_maximum_voltage_v,cell_minimum_voltage_v,cell_pulse_current_a,cell_pulse_duration_s,cell_document_status,power_limit_kw,vehicle_mass_kg,pack_resistance_initial_mohm,simulation_fidelity,regen_endurance_only,regen_command_power_kw,regen_active_rms_target_kw,regen_active_power_threshold_kw,completed_target_distance,target_distance_m,elapsed_time_s,equivalent_average_lap_time_s,fastest_completed_lap_time_s,slowest_completed_lap_time_s,completed_full_laps_before_target,final_soc,remaining_usable_chemical_kwh,terminal_energy_kwh,terminal_discharge_energy_kwh,terminal_regenerated_energy_kwh,chemical_energy_kwh,chemical_discharge_energy_kwh,chemical_regenerated_energy_kwh,mechanical_energy_kwh,positive_motor_shaft_energy_kwh,regenerative_wheel_energy_kwh,mechanical_braking_energy_kwh,pack_resistive_heat_kwh,regen_pack_resistive_heat_kwh,motor_loss_kwh,inverter_loss_kwh,drivetrain_loss_kwh,average_battery_terminal_power_kw,peak_battery_terminal_power_kw,peak_regen_terminal_power_kw,regen_active_rms_terminal_power_kw,regen_whole_event_rms_terminal_power_kw,regen_active_duration_s,regen_active_duty_fraction,average_motor_shaft_power_kw,peak_motor_shaft_power_kw,peak_pack_current_a,peak_pack_charge_current_a,peak_cell_current_a,peak_cell_charge_current_a,rms_cell_current_a,minimum_terminal_voltage_v,maximum_terminal_voltage_v,battery_discharge_efficiency_pct,battery_charge_storage_efficiency_pct,chemical_to_motor_efficiency_pct,adiabatic_cell_temperature_rise_c,distance_reached_m,maximum_achieved_terminal_power_kw,pack_current_limit_respected,power_limit_respected,regen_active_rms_error_kw,solver_energy_balance_relative,search_status,search_evaluations,reserve_target_kwh,reserve_error_kwh,constraint_valid,equal_reserve_eligible,time_difference_vs_baseline_s,improvement_vs_baseline_pct,performance_per_pack_kg,overall_rank,cell_rank,pareto_frontier
reliance_rs50_110s4p,reliance_rs50,Reliance,INR21700-RS50,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.07372263789744,96.16497419877564,0.067,5.0,8.188,40.0,160.0,36.85,https://birikimpilleri.net/documents/contract/AB9F4D23-D6A7-CB6F-D0E2EB2F8468BB35.PDF,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"A0 manufacturer specification, dated 2025-01-02",48.71875,259.73515114,236.42850000000004,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1216.0261253241367,59.14136278404595,59.10072529737968,60.26942451948242,20,0.1199118596352885,0.5035031922565611,6.767884578397529,7.594739263423245,0.8268546850257146,7.259215377928134,8.075696367571112,0.8164809896429764,5.735948815487024,6.780845097243739,1.071688494109449,3.510314165187678,0.4913307995306049,0.0103736953827381,0.7882816833473119,0.2436540795631937,0.1963133397838298,20.036069928790948,48.718750000545455,10.058999987211113,8.802970363471472,4.762103737964253,355.8422758766859,0.2926271635667652,16.98106258222791,44.38240200318655,148.12209534916838,26.809140659664333,37.030523837292094,6.702285164916083,19.6491633300322,328.6902746233839,461.9999930671231,94.0443884681053,98.74540284156272,83.96607287605565,59.99969058039951,22000.0,48.718750000545455,True,True,0.2287032210615098,-5.070223040750626e-15,converged,7,0.5,0.0035031922565611,True,True,-26.17237847838146,2.1069401064535724,0.02231616697805872,1.0,1.0,True
tenpower_60xg_125s3p,tenpower_60xg,Tenpower,INR21700-60XG,21700,125,3,375,525.0,450.0,8.1,7.939125,9.598142333493062,83.35093265725742,0.076,6.0,10.235,40.0,120.0,35.625,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/103029/TENPOWER%C2%A0PRODUCT%C2%A0SPECIFICATION%C2%A0INR21700-60XG%C2%A0%C2%A0V0.1%C2%A0251209%281%29%281%29%281%29.pdf,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,160.0,3.0,"V0.1 DRAFT manufacturer specification, effective 2025-12-09",47.671875,258.51015114,447.78125,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1216.8449572794348,59.18118663052338,59.1083564880252,60.27750551942751,20,0.1185040954880498,0.5043513555623601,6.692105632970218,7.506962148944676,0.814856515974457,7.434792409118174,8.234857112688497,0.8000647035703224,5.666179779626996,6.698008209593207,1.0582855691961142,3.453125766686398,0.7426867761479552,0.0147918124041345,0.7781522912119552,0.2477735621312683,0.1939073444697332,19.798397597468472,47.6718749919239,10.05899998951331,8.767847864365564,4.716996403647084,352.1627372390446,0.2894064154453938,16.763226148598775,43.38708627634236,119.99999732758484,23.40168852387305,39.99999910919495,7.8005628412910175,23.40208772721353,358.3703761479118,524.9999879535799,91.1608063894362,98.18473410788825,81.33727298404159,93.81306646079436,22000.0,47.6718749919239,True,True,0.1935807219556018,4.091384783640922e-15,converged,10,0.5,0.0043513555623601,True,True,-25.353546523083423,2.041022143036977,0.023067996683286983,2.0,1.0,True
ampace_jp50_110s4p,ampace_jp50,Ampace,JP50P1 (JP50),21700,110,4,440,462.0,393.8,7.876,7.762699999999999,11.097350780083564,96.37016262167488,0.072,5.0,8.188,40.0,160.0,39.6,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.58,4.2,2.5,180.0,5.0,"Manufacturer specification, public copy",48.25,262.48515114,236.42850000000004,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1218.4728918638116,59.26036113824019,59.21976101810105,60.38976819063207,20,0.1195323930060921,0.5007101640749556,6.773130588566114,7.601280556181717,0.828149967615601,7.262008408243623,8.079764061682658,0.817755653439036,5.741234715628998,6.78684014752048,1.0724158275810056,3.5270572429976976,0.4888778196775082,0.010394314176565,0.787774616230776,0.2441212567063392,0.1964813993775373,20.01133573151608,48.2499999980574,10.058999999525328,8.806809553496507,4.761410835134383,356.1453769176162,0.2922883055468274,16.96258087830689,43.94985932265998,146.54351909201378,26.81265203583804,36.635879773003445,6.7031630089595104,19.57974581509681,329.04669737512086,461.99999297767965,94.07800151281528,98.74487537486812,83.99799914586963,55.55429769062594,22000.0,48.2499999980574,True,True,0.2325424110865448,5.559016446750051e-15,converged,6,0.5,0.0007101640749556,True,True,-23.725611938706606,1.9099694506215932,0.0207247329186768,3.0,1.0,True
tenpower_50xg_110s4p,tenpower_50xg,Tenpower,INR21700-50XG,21700,110,4,440,462.0,396.0,7.92,7.762699999999999,11.261820337965192,97.79842765118204,0.075,5.0,8.188,40.0,160.0,41.25,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,140.0,3.0,"V0.1 manufacturer specification, public copy",47.9375,264.13515114,236.42850000000004,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1219.981716255776,59.33374272839214,59.293172223847165,60.46397449824755,20,0.1199307011072914,0.5036418838583349,6.772280441331341,7.601831367183011,0.8295509258516703,7.259076666942829,8.07821477114129,0.8191381041984607,5.740580845949854,6.787560165415267,1.0738249430414497,3.5335865330405856,0.4867962256114885,0.0104128216532097,0.7873279695905698,0.2443716257909173,0.1965346277114181,19.984077846361245,47.937500000401656,10.058999983033155,8.811138044634934,4.7630775127688585,356.4850449501191,0.2922052357015652,16.939672759068394,43.66142454219618,145.45602243442028,26.808837946936087,36.36400560860507,6.702209486734022,19.52661659582916,329.4125293710027,461.99999294372645,94.10286285454904,98.7447640248826,84.0230218892326,53.105042793980566,22000.0,47.937500000401656,True,True,0.2368709022249717,1.0171312328305088e-14,converged,6,0.5,0.0036418838583348,True,True,-22.216787546742125,1.7885054183155014,0.019871137345259755,4.0,1.0,True
tenpower_60xg_120s3p,tenpower_60xg,Tenpower,INR21700-60XG,21700,120,3,360,504.0,432.0,7.776,7.62156,9.21421664015334,80.01689535096712,0.076,6.0,10.235,40.0,120.0,34.2,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/103029/TENPOWER%C2%A0PRODUCT%C2%A0SPECIFICATION%C2%A0INR21700-60XG%C2%A0%C2%A0V0.1%C2%A0251209%281%29%281%29%281%29.pdf,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,160.0,3.0,"V0.1 DRAFT manufacturer specification, effective 2025-12-09",42.29296875,257.08515114,429.87,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1221.9283921512442,59.4284192019968,59.38410027726718,60.553201755932704,20,0.1204801261444271,0.4984559681428318,6.437746718771118,7.231501297145951,0.7937545783748324,7.123121768715576,7.901942890807559,0.7788211220919837,5.433076911517905,6.435947990410205,1.0285857219408197,3.2697871484289687,0.6853750499444567,0.0149334562828486,0.7634035016419963,0.2412663056112163,0.1866133428087758,18.966650039757344,42.29296874838936,10.058999998187003,8.740314477090998,4.640251681300671,344.3757545413925,0.2818297346664545,16.006729205326078,38.4377691261907,119.59479257643495,24.33304321762317,39.86493085881165,8.111014405874391,22.89299119058145,344.54200883941166,503.9999879767256,91.5154841926086,98.11863053269887,81.44766520518938,90.18092762427062,22000.0,42.29296874838936,True,True,0.1660473346810356,-1.8853015176479083e-14,converged,12,0.5,-0.0015440318571681,True,True,-20.270111651273965,1.631793275327955,0.023929197708872117,5.0,2.0,True
reliance_rs50_140s3p,reliance_rs50,Reliance,INR21700-RS50,21700,140,3,420,588.0,504.0,7.56,7.40985,10.5703716089021,91.7938390079222,0.067,5.0,8.188,40.0,120.0,35.175,https://birikimpilleri.net/documents/contract/AB9F4D23-D6A7-CB6F-D0E2EB2F8468BB35.PDF,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"A0 manufacturer specification, dated 2025-01-02",42.625,258.06015114,401.2120000000001,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1222.1493185723816,59.43916394616716,59.39635523474024,60.56909369997955,20,0.1226247431957758,0.4996884244023302,6.464854389862106,7.266536296487169,0.8016819066250632,6.910178905109656,7.701376592684498,0.7911976875748431,5.449089795524484,6.462806227908092,1.0397091614190854,3.283825733425332,0.4453245152475492,0.01048421905022,0.7625795065787758,0.2531850877588461,0.1875628847331796,19.04307063779229,42.62500000046231,10.058999974670604,8.765659244852497,4.669965589365278,346.85520243814835,0.2838075488544372,16.05100372416265,38.696192738707325,100.6121182144972,21.025211221523985,33.53737273816573,7.008403740507994,19.10361505449121,423.65623449875926,587.9999875595735,94.35373285588472,98.69222206917992,83.91754578067356,56.97115333657346,22000.0,42.62500000046231,True,True,0.1913921024425349,-1.16193079003927e-14,converged,6,0.5,-0.0003115755976697,True,True,-20.049185230136572,1.614008161237002,0.0232617092924736,6.0,2.0,True
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,140,3,420,588.0,501.2,7.518,7.40985,10.59292574462522,91.989700684326,0.072,5.0,8.188,40.0,120.0,37.8,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.58,4.2,2.5,180.0,5.0,"Manufacturer specification, public copy",42.3125,260.68515114,401.2120000000001,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1224.5565037342585,59.55623726225976,59.51316009112124,60.68724649567106,20,0.1221733414473358,0.496513648472659,6.46976951697427,7.27225673743001,0.8024872204557396,6.91335369221266,7.705340001728847,0.7919863095161879,5.453650518157435,6.467567323900691,1.0399146725571866,3.2989648548060115,0.4435841752383889,0.0105009109395517,0.7624025878275665,0.2537164109892687,0.1876870499114471,19.02008620270396,42.31249999886558,10.058999983538309,8.763877502952093,4.668688913670316,347.4990474981412,0.2837754292582256,16.03285908448971,38.406715275549445,99.81331372950812,21.02849468235937,33.27110457650271,7.009498227453122,19.04682553491082,423.9162159796567,587.9999874415556,94.37943991826882,98.69145443417924,83.93617053172947,52.80763990933202,22000.0,42.31249999886558,True,True,0.1896103605421313,-1.594688251817863e-15,converged,6,0.5,-0.0034863515273409,True,True,-17.642000068259676,1.4202239025610968,0.02160376134082211,8.0,2.0,True
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,21700,140,3,420,588.0,504.0,7.56,7.40985,10.749919413512227,93.3530445761283,0.075,5.0,8.188,40.0,120.0,39.375,https://www.lithiumlifepo4-battery.com/photo/lithiumlifepo4-battery/document/95856/INR21700-50XG%20specification.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,140.0,3.0,"V0.1 manufacturer specification, public copy",42.0,262.26015114,401.2120000000001,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1226.1911480502984,59.63573809740178,59.592426498500345,60.76735543172042,20,0.1232842690896225,0.5043279686531552,6.464830108921695,7.268200778406623,0.8033706694849275,6.905539308169589,7.698403189485505,0.792863881315918,5.448981676705919,6.46363460370794,1.040669668720022,3.302104387010285,0.4407091992478936,0.0105067881690095,0.7618841189767994,0.2539643132389759,0.1876076068106992,18.9802286773346,41.99999999869747,10.058999995510831,8.765284502024087,4.667850517985652,347.72592677024625,0.2835821538290721,15.997778215355902,38.116991438035086,98.92589793972634,21.020177018047704,32.97529931324211,7.006725672682568,18.974130591187315,424.5597645678846,587.9999874240285,94.4117968299393,98.69216184158854,83.96071814653702,50.366765628330704,22000.0,41.99999999869747,True,True,0.1910173596141255,-1.2739733499644057e-15,converged,6,0.5,0.0043279686531552,True,True,-16.007355752219837,1.2886310604319202,0.02071196276144021,9.0,2.0,True
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),21700,135,3,405,567.0,483.3,7.2495,7.1452125,10.214606968031465,88.70435423131437,0.072,5.0,8.188,40.0,120.0,36.45,https://www.dnkpower.com/wp-content/uploads/2025/09/Full-Tab-Battery-Cell-3.58V-5000mAh-21700B-datasheet.pdf,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.58,4.2,2.5,180.0,5.0,"Manufacturer specification, public copy",42.34375,259.33515114,386.8830000000001,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1226.6641530826705,59.65874267077042,59.61637046051924,60.77986759852312,20,0.12562081849543,0.5021752839152955,6.204292891617624,6.934575152143184,0.7302822605255596,6.643172743228192,7.363315494365276,0.7201427511370847,5.211135400203665,6.146610212799084,0.9594613462517114,3.0659789298965503,0.4388798516105673,0.0101395093884748,0.7507325922692243,0.2424248991447356,0.17765178897627,18.2082881884934,42.34371579375257,10.05899994674418,8.893430906645259,4.507507877565952,314.9815931174868,0.2567789988204365,15.293580882418487,38.43164155747564,103.8152692321076,21.76479609555712,34.605089744035865,7.254932031852372,19.281725445058942,407.7854400263509,566.9999876004116,94.17734656962368,98.61156296180906,83.47612182993834,54.18269772969968,22000.0,42.34371579375257,True,True,0.3191637642352969,3.771729796405606e-15,converged,14,0.5,0.0021752839152955,True,True,-15.53435071984768,1.250553005199666,0.0223654063589548,10.0,3.0,True
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,21700,135,3,405,567.0,486.0,7.29,7.1452125,10.192858337155595,88.51548761478212,0.067,5.0,8.188,40.0,120.0,33.91875,https://birikimpilleri.net/documents/contract/AB9F4D23-D6A7-CB6F-D0E2EB2F8468BB35.PDF,Estimated as 2.047 x published maximum 4.0 mOhm ACIR; no DCIR value is published.,3.6,4.2,2.5,,,"A0 manufacturer specification, dated 2025-01-02",38.71875,256.80390114,386.8830000000001,native_0p25m,True,10.059,8.574267142409962,1.0,True,22000.0,1227.6506667068245,59.7067217058606,59.66172714500797,60.83452073758504,20,0.1251550907298446,0.4990130697953419,6.233441686652294,7.0132357396429175,0.7797940529906238,6.646215817588518,7.415477825845007,0.7692620082564894,5.237757687504378,6.221266862698421,1.0087273591733763,3.1202827277616887,0.4127741309362234,0.0105320447341343,0.7489690974112616,0.2467149017366537,0.1807498555467951,18.279133209893214,38.71874999832804,10.05899999750951,8.739025886477284,4.589878619171409,338.6199736847633,0.2758276298526454,15.359359292001876,35.08895496864931,93.99390429882972,21.76859859745869,31.33130143294325,7.256199532486232,18.691890827514104,411.9282881412478,566.9999876544205,94.57564170982802,98.64938124447826,83.89569773933613,54.76273710596663,22000.0,38.71874999832804,True,True,0.1647587440673223,9.617070493918204e-15,converged,6,0.5,-0.000986930204658,True,True,-14.547837095693694,1.171136259717028,0.024015152955548028,11.0,3.0,True
