candidate_id,cell_id,manufacturer,cell_model,form_factor,series_cells,parallel_cells,total_cells,maximum_pack_voltage_v,nominal_pack_voltage_v,nominal_pack_energy_kwh,model_usable_energy_kwh,cell_envelope_l,cell_envelope_vs_baseline_pct,cell_mass_kg,cell_capacity_ah,cell_dcir_mohm,cell_continuous_current_a,pack_current_limit_a,pack_mass_kg,source_url,dcir_basis,cell_nominal_voltage_v,cell_maximum_voltage_v,cell_minimum_voltage_v,cell_pulse_current_a,cell_pulse_duration_s,cell_document_status,power_limit_kw,vehicle_mass_kg,pack_resistance_initial_mohm,simulation_fidelity,regen_endurance_only,regen_command_power_kw,regen_active_rms_target_kw,regen_active_power_threshold_kw,completed_target_distance,target_distance_m,elapsed_time_s,equivalent_average_lap_time_s,fastest_completed_lap_time_s,slowest_completed_lap_time_s,completed_full_laps_before_target,final_soc,remaining_usable_chemical_kwh,terminal_energy_kwh,terminal_discharge_energy_kwh,terminal_regenerated_energy_kwh,chemical_energy_kwh,chemical_discharge_energy_kwh,chemical_regenerated_energy_kwh,mechanical_energy_kwh,positive_motor_shaft_energy_kwh,regenerative_wheel_energy_kwh,mechanical_braking_energy_kwh,pack_resistive_heat_kwh,regen_pack_resistive_heat_kwh,motor_loss_kwh,inverter_loss_kwh,drivetrain_loss_kwh,average_battery_terminal_power_kw,peak_battery_terminal_power_kw,peak_regen_terminal_power_kw,regen_active_rms_terminal_power_kw,regen_whole_event_rms_terminal_power_kw,regen_active_duration_s,regen_active_duty_fraction,average_motor_shaft_power_kw,peak_motor_shaft_power_kw,peak_pack_current_a,peak_pack_charge_current_a,peak_cell_current_a,peak_cell_charge_current_a,rms_cell_current_a,minimum_terminal_voltage_v,maximum_terminal_voltage_v,battery_discharge_efficiency_pct,battery_charge_storage_efficiency_pct,chemical_to_motor_efficiency_pct,adiabatic_cell_temperature_rise_c,distance_reached_m,maximum_achieved_terminal_power_kw,pack_current_limit_respected,power_limit_respected,regen_active_rms_error_kw,solver_energy_balance_relative,search_status,search_evaluations,reserve_target_kwh,reserve_error_kwh,constraint_valid,equal_reserve_eligible
ampace_jp30_110s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,3,330,462.0,404.8,3.6432,3.4932149999999997,5.82380927210548,50.57436299460625,0.05,3.0,10.235,36.0,108.0,20.625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",10.5,243.51015114,394.04749999999996,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1435.6404540562785,69.8222934134436,69.73564148442725,71.20628739800688,20,0.2025398499303447,0.5046680506017384,2.901739659445133,3.290748091867979,0.38900843242284683,2.9885924231051177,3.369903739231685,0.3813113161265676,2.151566717107161,2.6420304216723216,0.5030396969899081,0.8695724253093262,0.08685276365998489,0.007697116296279199,0.5649354456920624,0.18523749664590908,0.07862675296655582,7.276378110192884,10.499999667754958,10.058999980652297,8.333773473425829,2.987258642965958,184.32928657547419,0.12839516053944264,5.395250711765011,9.070033277551417,28.523799796045818,25.740013604101534,9.507933265348607,8.580004534700512,7.8950898455483705,368.0246879561011,461.9999794754847,97.65110063999178,98.02134975626632,78.40076827460616,18.949693889451247,22000.0,10.499999667754958,True,True,-0.24049366898413282,-1.102746487728009e-14,converged,6,0.5,0.0046680506017383605,True,True
ampace_jp30_110s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,4,440,462.0,404.8,4.857600000000001,4.65762,7.765079029473973,67.43248399280833,0.05,3.0,10.235,36.0,144.0,27.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",17.53125,250.38515114,295.535625,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1326.8150111423977,64.52957406681875,64.46227861163923,65.673446964363,20,0.16443480626621093,0.5004413773548908,4.010706089463678,4.533353650796614,0.5226475613329354,4.1572495309574915,4.671839361980396,0.5145898310229047,3.1867959848743386,3.8476100588913305,0.677758024632812,1.580014645481545,0.14654344149381324,0.00805773031003079,0.6247284920496635,0.1991816125396764,0.11313420208810367,10.882106247529977,17.531248416488673,10.058999968663242,8.566255270353068,3.6330619833076385,238.53071480560862,0.17977691901468004,8.646620251657946,15.549088040413954,48.84240978274353,26.242538687413056,12.210602445685883,6.560634671853264,9.219773879984102,358.8094152313081,461.99998856347264,97.03573474056527,98.45828606002088,82.35749906564266,23.9798358808058,22000.0,17.531248416488673,True,True,-0.00801187205689402,1.6404894620995326e-15,converged,10,0.5,0.000441377354890804,True,True
ampace_jp30_110s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,110,5,550,462.0,404.8,6.072,5.822025,9.706348786842467,84.29060499101043,0.05,3.0,10.235,36.0,180.0,34.375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",26.9296875,257.26015114,236.42849999999999,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1267.056989871629,61.623246035182746,61.570023363691206,62.72163641214459,20,0.14131969352848586,0.4963053787101469,5.105109405742977,5.733081247247451,0.6279718415044743,5.325819173324545,5.945826551111397,0.62000737778685,4.204623296521859,4.999689539479053,0.8154525568791725,2.324392276117507,0.2207097675815685,0.007964463717624288,0.6855452779673131,0.2149408312538054,0.14537855240895575,14.504788661902815,26.9296871184639,10.058999886053103,8.809388137738752,4.104709521173094,274.95918368663604,0.21700616932352296,11.946300749275888,24.224158365473315,76.6929462763108,26.571196369001445,15.33858925526216,5.314239273800289,10.33975655364775,351.1132120896727,461.9999907480179,96.42193895104155,98.73171642560544,84.0873761873277,28.892915028859875,22000.0,26.9296871184639,True,True,0.23512099532879027,9.673332469833033e-16,converged,12,0.5,-0.003694621289853095,True,True
ampace_jp30_115s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,3,345,483.0,423.20000000000005,3.8088,3.6519975,6.088527875383001,52.87319767617926,0.05,3.0,10.235,36.0,108.0,21.5625,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",11.40625,244.44765114,411.95875,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1416.1829537377293,68.87597897064883,68.78911217983466,70.22538087670162,20,0.1948735307856114,0.5002473403846361,3.0567498815211627,3.4724513303470603,0.4157014488258971,3.1517992760028317,3.5595663427178033,0.40776706671497204,2.2946526418570037,2.8192221810562876,0.5380200402043943,0.9637906475206945,0.09504939448166914,0.00793438211092507,0.5734535603454932,0.18864367931866552,0.08393105553151714,7.770394033082065,11.406248737445074,10.058999938586222,8.432703440490165,3.1163694845872345,193.26514854985635,0.13646905439708334,5.833108984176536,9.88987436321867,29.77353756644403,24.70234998233805,9.92451252214801,8.23411666077935,8.13020533535912,383.0792635014997,482.999984424733,97.55265096971816,98.09132680837777,79.20128211190334,19.836395370087477,22000.0,11.406248737445074,True,True,-0.14156370191979661,6.470718842454836e-15,converged,10,0.5,0.00024734038463614105,True,True
ampace_jp30_115s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,4,460,483.0,423.20000000000005,5.0784,4.86933,8.118037167177334,70.49759690157234,0.05,3.0,10.235,36.0,144.0,28.75,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",18.9140625,251.63515114,308.9690625,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1314.3457534648496,63.92313241511572,63.85790814879525,65.0549636537659,20,0.15959895949706657,0.5004947690996605,4.211129083525429,4.747138295652763,0.5360092121273348,4.368910694763713,4.896983112473115,0.5280724177094022,3.3725927038497407,4.051429200997205,0.6962425611768868,1.7169207804272855,0.15778161123828435,0.007936794417932599,0.6348932307338774,0.20364314894181065,0.1186917940543524,11.534304927548106,18.914052623051145,10.058999981162902,8.57233648231403,3.698887523950428,244.58256842798932,0.1860869316792983,9.237549329658766,16.82233428601167,50.586107988934174,25.16710333952259,12.646526997233543,6.291775834880648,9.397845495183557,373.74858835127617,482.999988068161,96.94005853443355,98.51928022161546,82.73316668537824,24.69625219381842,22000.0,18.914052623051145,True,True,-0.001930660095931458,-1.3636454097277312e-15,converged,12,0.5,0.0004947690996605081,True,True
ampace_jp30_115s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,115,5,575,483.0,423.20000000000005,6.348,6.086662499999999,10.147546458971668,88.12199612696543,0.05,3.0,10.235,36.0,180.0,35.9375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",29.7421875,258.82265114,247.17524999999998,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1256.6004424729954,61.114692435640364,61.0641092058635,62.2162021500756,20,0.13821628516946086,0.5008147333574795,5.344796778938332,5.994258033224956,0.6494612542866239,5.585954758403214,6.22752650368779,0.6415717452845773,4.423779064485383,5.251022715009805,0.8484550261788928,2.483235985827071,0.24115797946488154,0.007889509002046734,0.7003865586159677,0.22063115583698148,0.1524869435297176,15.312161092599247,29.742169352253395,10.05899992872757,8.814783065418853,4.189960291048665,283.7869483687902,0.2258370590816411,12.673562807924622,26.809894357666458,81.42456302039076,25.463774381215384,16.28491260407815,5.0927548762430765,10.611947645967163,365.2515441295935,482.99999041557396,96.25423560502395,98.78522252867685,84.31955627808692,30.19717308081995,22000.0,29.742169352253395,True,True,0.2405159230088909,3.295149550027229e-15,converged,13,0.5,0.0008147333574795024,True,True
ampace_jp30_120s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,3,360,504.0,441.6,3.9744,3.81078,6.353246478660522,55.172032357752265,0.05,3.0,10.235,36.0,108.0,22.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",12.1875,245.38515114,429.86999999999995,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1399.8132370074936,68.07983871045757,67.99821434489533,69.39253654680186,20,0.18833483577582902,0.49771112349231555,3.211321026527313,3.639504640957575,0.4281836144302625,3.3131209955142404,3.7334042270506167,0.4202832315363768,2.438574147735688,2.9776842770662686,0.552933465980083,1.0658607385480297,0.10179996898692745,0.007900382893885626,0.5809422563554375,0.1918046224361872,0.08826544357615888,8.258784379131027,12.187499704449849,10.058999923207288,8.462943726186024,3.189844590420405,198.7375007957399,0.14197429738598477,6.27145586265197,10.60920100386354,30.598531307499204,23.750380605374378,10.199510435833067,7.916793535124793,8.28220481564838,398.2729826849564,503.9999842945134,97.48488027595067,98.15490770136128,79.75788572507817,20.35999379738549,22000.0,12.187499704449849,True,True,-0.1113234162239376,-4.684335140717277e-15,converged,9,0.5,-0.0022888765076844453,True,True
ampace_jp30_120s4p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,4,480,504.0,441.6,5.2992,5.08104,8.470995304880697,73.56270981033636,0.05,3.0,10.235,36.0,144.0,30.0,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",20.4609375,252.88515114,322.4025,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1302.3124816039146,63.337894909287535,63.27470119324504,64.4486739671823,20,0.1554829560424302,0.5021342597205394,4.408653659364672,4.968608968265696,0.5599553089010233,4.578986270966674,5.130923751255344,0.5519374802886697,3.554265227647132,4.262251408716416,0.7261396728915742,1.8481046932391765,0.17033261160200197,0.008017828612353589,0.6457978996292753,0.20859053208826597,0.12470977704019989,12.186900915029296,20.460936823287955,10.058999848063225,8.677141584407844,3.810474920246849,251.01899051727258,0.19274866367564886,9.82510342200748,18.241000671570028,52.638755868279866,24.173589385522387,13.159688967069966,6.043397346380597,9.6003152067418,388.57432705271134,503.9999869434787,96.836538782126,98.56813061955079,83.06986451852075,25.549891740300296,22000.0,20.460936823287955,True,True,0.10287444199788176,4.499222650182915e-15,converged,12,0.5,0.0021342597205393776,True,True
ampace_jp30_120s5p,ampace_jp30,Ampace,JP30P1 (JP30),18650,120,5,600,504.0,441.6,6.624,6.3513,10.588744131100873,91.95338726292044,0.05,3.0,10.235,36.0,180.0,37.5,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",32.890625,260.38515114,257.92199999999997,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1247.3497349175323,60.664784789617606,60.61641927651118,61.773536305670746,20,0.13369602542454848,0.49519589182851353,5.592185952934414,6.273374971667276,0.681189018732862,5.8562191206454814,6.529428404092413,0.6732092834469297,4.649902417745071,5.517299206592937,0.8896377321516578,2.6491234396314143,0.2640331677110691,0.007979735285932234,0.7153333655358246,0.22695016965351725,0.16017342346861504,16.13971516328169,32.890622951096574,10.058999963380097,8.835848675140618,4.3148589572053275,297.3256153425625,0.23836587848573199,13.420172574926621,29.71314043440904,86.78607385856645,24.460390742753408,17.35721477171329,4.892078148550682,10.906449298643116,378.800890569879,503.999990047229,96.07847093836496,98.8285578500992,84.49896170290941,31.683980125328294,22000.0,32.890622951096574,True,True,0.26158153273065565,-2.0920703988270565e-15,converged,12,0.5,-0.004804108171486465,True,True
ampace_jp30_125s3p,ampace_jp30,Ampace,JP30P1 (JP30),18650,125,3,375,525.0,460.0,4.14,3.9695625,6.617965081938045,57.47086703932528,0.05,3.0,10.235,36.0,108.0,23.4375,https://www.nkon.nl/en/amfile/file/download/file/739/product/5848/,Estimated as 2.047 x published maximum 5.0 mOhm ACIR; no DCIR value is published.,3.68,4.2,2.5,140.0,5.0,"Manufacturer specification, public copy",13.171875,246.32265114,447.78124999999994,screening_factor8,True,10.059,8.574267142409962,1.0,True,22000.0,1382.869160322501,67.25576448590031,67.17672914739234,68.55920965711384,20,0.18330118411972726,0.49901663025757254,3.360577182354445,3.8073745189189863,0.44679733656454174,3.470601600145176,3.9094599982640728,0.4388583981188962,2.57597014093922,3.139753929588372,0.5782397832298989,1.1556103036908405,0.1100244177907314,0.007938938445645517,0.5894366600484118,0.1951703813668123,0.09294984282045685,8.748533992655235,13.171874620686694,10.058999863145486,8.463534739870925,3.2789077955628385,207.42499345271895,0.14999610910720218,6.705979693132,11.519429072705277,31.858977390816836,22.861526032246328,10.619659130272279,7.620508677415443,8.485606239700513,413.3756885060266,524.9999835322294,97.38875754220747,98.22314553021093,80.31170368753037,21.12468821582043,22000.0,13.171874620686694,True,True,-0.11073240253903727,-2.1618782390138756e-15,converged,11,0.5,-0.0009833697424274646,True,True
