"power_limit_kw","completed","completed_laps","distance_km","elapsed_time_s","terminal_energy_kwh","energy_kwh_per_km","equivalent_22km_energy_kwh","target_5p5kwh_error_pct","final_soc","minimum_terminal_voltage_v"
"16","True","21","22.469344233","1379.042844672692","4.632814478860433","0.206183786710445","4.53604330762978","-17.5264853158222","0.37643732549783576","461.95573504118113"
"16.5","True","21","22.469344233","1373.0427312863446","4.718748767279618","0.210008299234178","4.62018258315192","-15.9966803063288","0.36377899395388047","460.5806865603324"
"16.8","True","21","22.469344233","1369.5757497571046","4.768419871120528","0.212218915766901","4.66881614687182","-15.1124336932397","0.35643936665247045","459.778591992255"
"17","True","21","22.469344233","1367.317650759077","4.802973805832529","0.213756741453031","4.70264831196667","-14.4973034187877","0.3513289458604298","459.2235196692292"
"20","True","21","22.469344233","1338.2254192929054","5.260907140580087","0.234137101912105","5.1510162420663","-6.3451592351581","0.2827354326769759","450.9323063773703"
"22.5","True","21","22.469344233","1319.6821616953894","5.606587244373669","0.249521623160655","5.48947570953441","-0.191350735737938","0.22977991194188774","442.8364572615321"
"22.6","True","21","22.469344233","1319.0182749868015","5.618718472668784","0.2500615244666","5.50135353826519","0.0246097866398953","0.22789404084390658","442.54255889503014"
"22.7","True","21","22.469344233","1318.358975183377","5.628908393187354","0.250515027711416","5.51133060965116","0.206011084566593","0.22629927422128956","442.2872735401421"
"23","True","21","22.469344233","1316.4056462296326","5.6698275582679765","0.252336138494905","5.5513950468879","0.934455397961842","0.21995026370357343","441.3130713001114"
"25","True","21","22.469344233","1304.4243996123405","5.920594574467991","0.263496545029232","5.79692399064309","5.39861801169261","0.18060569943087643","434.4233460291572"
"30","True","21","22.469344233","1281.3264618690116","6.464972241330867","0.287724117548387","6.32993058606451","15.0896470193548","0.09216514128278563","415.1923520983853"
"35","False","20","21.7726529815051","1227.1950271576038","6.701115241596025","0.307776698011415","6.77108735625112","23.1106792045658","0.05","396.846854321936"
"40","False","19","20.6437995115982","1154.6825779231349","6.681314850350772","0.323647536229804","7.12024579705568","29.4590144919215","0.05","395.0722960088767"
"60","False","16","18.159103693309","998.5972741185466","6.617443181362287","0.364414637039634","8.01712201487195","45.7658548158537","0.05","386.3696252057242"
"80","False","16","17.2213026510994","944.5913808945129","6.577709098348163","0.381951890145095","8.4029415831921","52.7807560580381","0.05","385.7404464052818"
