sample_id,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2
1,1.4400000000000002,1.295,1.4400000000000002,5.190133333333334,1.4933333333333334,1.2775,1.5,5.5312,1.6,1.2425,1.62,6.047866666666667,1.7066666666666668,1.2075,1.76,6.831066666666667,1.866666666666667,0.9624999999999999,1.9400000000000002,7.362,1.6213333333333335,1.1969999999999998,1.652,6.192453333333335
2,1.7066666666666668,1.2425,1.54,7.008400000000001,1.76,1.2249999999999999,1.62,7.387599999999999,1.866666666666667,1.1724999999999999,1.7800000000000002,8.196533333333333,2.026666666666667,1.1199999999999999,2.0000000000000004,9.336133333333335,2.1866666666666665,1.0499999999999998,2.2600000000000002,10.764666666666667,1.9093333333333333,1.162,1.8400000000000003,8.538666666666668
3,1.4400000000000002,1.6624999999999999,1.5,6.060133333333333,1.4933333333333334,1.645,1.54,6.277466666666666,1.5466666666666666,1.505,1.62,6.573599999999999,1.6,1.085,1.7000000000000002,6.335066666666667,1.7066666666666668,0.8049999999999999,1.8399999999999999,6.2536,1.5573333333333335,1.3405,1.64,6.299973333333332
4,1.3866666666666667,1.9075,1.7800000000000002,6.054000000000001,1.4400000000000002,1.9425000000000001,1.8800000000000001,6.637333333333333,1.5466666666666666,1.9075,2.02,7.659066666666668,1.7066666666666668,1.5925,2.22,8.679333333333336,1.866666666666667,1.1724999999999999,2.46,9.682266666666669,1.5893333333333337,1.7045000000000001,2.072,7.742400000000001
5,1.4400000000000002,1.3825,1.7200000000000002,5.3428,1.4933333333333334,1.3475,1.7800000000000002,5.671733333333335,1.5466666666666666,1.3125,1.8600000000000003,6.165333333333334,1.6533333333333335,1.2075,1.98,6.843466666666666,1.8133333333333332,0.8749999999999999,2.14,7.329333333333334,1.5893333333333335,1.225,1.8960000000000004,6.270533333333334
6,1.5466666666666666,1.2775,1.7200000000000002,5.718266666666667,1.6,1.3125,1.76,5.980266666666668,1.6533333333333335,1.365,1.8200000000000003,6.392666666666666,1.7066666666666668,1.4175,1.9000000000000001,7.0048,1.8133333333333332,1.4875,2.02,7.798000000000002,1.6640000000000001,1.372,1.844,6.578800000000001
7,1.3866666666666667,1.4,1.6400000000000001,5.6312,1.4933333333333334,1.3825,1.76,6.1286666666666685,1.6,1.33,1.9200000000000002,7.000266666666667,1.76,1.2775,2.16,8.208933333333334,1.9733333333333334,1.0150000000000001,2.46,9.480933333333336,1.6426666666666665,1.281,1.9880000000000002,7.290000000000001
8,1.5466666666666666,1.3825,1.8800000000000001,6.741466666666667,1.6,1.365,1.9400000000000002,7.022400000000001,1.6533333333333335,1.33,2.02,7.2662666666666675,1.7066666666666668,1.295,2.14,7.743866666666667,1.8133333333333332,1.1724999999999999,2.3000000000000003,8.208266666666667,1.6640000000000001,1.309,2.056,7.3964533333333335
9,1.6533333333333335,1.3125,1.6400000000000001,6.857466666666668,1.7066666666666668,1.295,1.6800000000000002,7.173066666666667,1.76,1.26,1.76,7.616,1.866666666666667,1.2249999999999999,1.8800000000000001,8.338133333333332,2.026666666666667,1.085,2.02,8.994933333333336,1.8026666666666666,1.2354999999999998,1.796,7.795920000000001
10,1.4400000000000002,1.47,1.56,5.347200000000002,1.4933333333333334,1.505,1.62,5.573999999999999,1.5466666666666666,1.575,1.6800000000000002,6.083733333333333,1.6533333333333335,1.2075,1.8,6.601866666666667,1.76,0.9099999999999999,1.9200000000000002,6.9981333333333335,1.5786666666666667,1.3335000000000001,1.716,6.120986666666667
