component,count,unit_mass_kg,total_mass_kg,cg_x_m,cg_y_m,cg_z_m
sprung_mass,1,160.64,160.64,-0.92,0.0,0.25
driver_mass,1,65.770912,65.770912,-0.541837,6e-06,0.395782
front.unsprung,2,7.82268281,15.64536562,-0.00611067,0.60164333,0.1980248
front.upper_control_arm,2,0.55776965,1.1155393,-0.00187916,0.45854113,0.25343195
front.lower_control_arm,2,0.5182905,1.036581,0.00803455,0.40581792,0.09882118
front.tie_rod,2,0.13459415,0.2691883,0.05709287,0.34616483,0.1281302
rear.unsprung,2,7.35220072,14.70440144,-1.54081056,0.59989818,0.20113454
rear.upper_control_arm,2,0.34927896,0.69855792,-1.47556121,0.42263392,0.27196898
rear.lower_control_arm,2,0.46311564,0.92623128,-1.47625848,0.4301135,0.10156115
rear.tie_rod,2,0.13293714,0.26587428,-1.40704567,0.39979876,0.18668273
