parameter,parameter_label,parameter_group,parameter_unit,metric,metric_display_name,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
mass_kg,total mass,chassis,kg,max_lateral_g__05mps,lat 5,234.965386026,261.07265114,287.17991625400003,1.6,1.6,1.5466666666666666,-0.053333333333333455,-0.0010214270453157016,-3.3333333333333406,3.3333333333333406,0.0,-3.3333333333333406,decreases_with_parameter,3
mass_kg,total mass,chassis,kg,max_accel_g__05mps,accel 5,234.965386026,261.07265114,287.17991625400003,1.6099999999999999,1.4349999999999998,1.3125,-0.2974999999999999,-0.005697647737151632,-20.731707317073162,20.731707317073162,12.195121951219516,-8.536585365853647,decreases_with_parameter,2
mass_kg,total mass,chassis,kg,max_brake_g__05mps,brake 5,234.965386026,261.07265114,287.17991625400003,1.7000000000000002,1.6800000000000002,1.6800000000000002,-0.020000000000000018,-0.00038303514199338753,-1.1904761904761914,1.1904761904761914,1.1904761904761914,0.0,decreases_with_parameter,7
mass_kg,total mass,chassis,kg,ggv_area_g2__05mps,area 5,234.965386026,261.07265114,287.17991625400003,7.031733333333333,6.750266666666667,6.518266666666667,-0.5134666666666661,-0.009833788878776882,-7.606613072076156,7.606613072076156,4.169711813854269,-3.436901258221887,decreases_with_parameter,6
mass_kg,total mass,chassis,kg,max_lateral_g__10mps,lat 10,234.965386026,261.07265114,287.17991625400003,1.6533333333333335,1.6533333333333335,1.6533333333333335,0.0,0.0,0.0,0.0,0.0,0.0,flat,7
mass_kg,total mass,chassis,kg,max_accel_g__10mps,accel 10,234.965386026,261.07265114,287.17991625400003,1.575,1.4175,1.295,-0.28,-0.005362491987907421,-19.75308641975309,19.75308641975309,11.111111111111109,-8.64197530864198,decreases_with_parameter,2
mass_kg,total mass,chassis,kg,max_brake_g__10mps,brake 10,234.965386026,261.07265114,287.17991625400003,1.7800000000000002,1.76,1.74,-0.04000000000000026,-0.0007660702839867794,-2.272727272727287,2.272727272727287,1.13636363636365,-1.1363636363636374,decreases_with_parameter,8
mass_kg,total mass,chassis,kg,ggv_area_g2__10mps,area 10,234.965386026,261.07265114,287.17991625400003,7.544533333333335,7.203333333333334,6.905600000000001,-0.638933333333334,-0.01223669600288209,-8.869967607589087,8.869967607589087,4.7366959740860795,-4.133271633503009,decreases_with_parameter,4
mass_kg,total mass,chassis,kg,max_lateral_g__15mps,lat 15,234.965386026,261.07265114,287.17991625400003,1.76,1.76,1.7066666666666668,-0.05333333333333323,-0.0010214270453156973,-3.0303030303030245,3.0303030303030245,0.0,-3.0303030303030245,decreases_with_parameter,4
mass_kg,total mass,chassis,kg,max_accel_g__15mps,accel 15,234.965386026,261.07265114,287.17991625400003,1.54,1.3825,1.26,-0.28,-0.005362491987907421,-20.253164556962027,20.253164556962027,11.392405063291136,-8.860759493670889,decreases_with_parameter,2
mass_kg,total mass,chassis,kg,max_brake_g__15mps,brake 15,234.965386026,261.07265114,287.17991625400003,1.9200000000000002,1.8800000000000001,1.8600000000000003,-0.05999999999999983,-0.0011491054259801584,-3.1914893617021183,3.1914893617021183,2.127659574468087,-1.0638297872340317,decreases_with_parameter,8
mass_kg,total mass,chassis,kg,ggv_area_g2__15mps,area 15,234.965386026,261.07265114,287.17991625400003,8.447066666666666,7.963866666666668,7.5254666666666665,-0.9215999999999998,-0.017650259343055277,-11.572268077483294,11.572268077483294,6.06740444340268,-5.504863634080615,decreases_with_parameter,5
mass_kg,total mass,chassis,kg,max_lateral_g__20mps,lat 20,234.965386026,261.07265114,287.17991625400003,1.9733333333333334,1.9200000000000002,1.866666666666667,-0.10666666666666647,-0.0020428540906313945,-5.555555555555545,5.555555555555545,2.7777777777777724,-2.7777777777777724,decreases_with_parameter,5
