metric,value,unit,description
metric_target_velocity_mps,15.0,m/s,Target velocity used to select the exported metric table
metric_source_velocity_mps,15.0,m/s,Velocity nearest the target used for the exported metric table
ay_min,1.074217469796285,m/s^2,Minimum measured lateral acceleration
ay_max,18.57517363325678,m/s^2,Maximum measured lateral acceleration
roadwheel_angle_gradient_rad_per_mps2,0.007556410350109951,rad/(m/s^2),Mean roadwheel angle gradient over the linear region
roadwheel_angle_gradient_deg_per_g,4.24724515191211,deg/g,Mean roadwheel angle gradient over the linear region
handwheel_angle_gradient_rad_per_mps2,0.0310275496973693,rad/(m/s^2),Mean handwheel angle gradient over the linear region
handwheel_angle_gradient_deg_per_g,17.43971064593472,deg/g,Mean handwheel angle gradient over the linear region
sideslip_gradient_rad_per_mps2,0.0008893884524499339,rad/(m/s^2),Mean sideslip gradient over the linear region
sideslip_gradient_deg_per_g,0.4999001665889719,deg/g,Mean sideslip gradient over the linear region
understeer_gradient_rad_per_mps2,0.0007014129953022076,rad/(m/s^2),Mean steer excess derivative over the linear region
understeer_gradient_deg_per_g,0.3942444634100774,deg/g,Mean steer excess derivative over the linear region
roll_gradient_deg_per_g,0.8936183079468291,deg/g,Mean roll gradient over the linear region
handwheel_torque_min,-18.78883108901611,N*m,Minimum handwheel torque over SteadyStateEval sweep
handwheel_torque_max,-1.915912670053007,N*m,Maximum handwheel torque over SteadyStateEval sweep
roadwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,-0.4125041854252861,deg/g per m/s,Linear fit slope of roadwheel angle gradient versus velocity
handwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,-1.6919195160863945,deg/g per m/s,Linear fit slope of handwheel angle gradient versus velocity
sideslip_gradient_velocity_slope_deg_per_g_per_mps,-0.18903935708124467,deg/g per m/s,Linear fit slope of sideslip gradient versus velocity
understeer_gradient_velocity_slope_deg_per_g_per_mps,0.021970533913641836,deg/g per m/s,Linear fit slope of understeer gradient versus velocity
roll_gradient_velocity_slope_deg_per_g_per_mps,0.001918762930248763,deg/g per m/s,Linear fit slope of roll gradient versus velocity
handwheel_torque_peak_abs,18.78883108901611,N*m,"Maximum absolute handwheel torque over the SteadyStateEval sweep, derived from StandardSim torque extrema"
