metric,unit,description,active_in_current_report
metric_target_velocity_mps,m/s,Target velocity used to select the exported metric table,0
metric_source_velocity_mps,m/s,Velocity nearest the target used for the exported metric table,0
ay_min,m/s^2,Minimum measured lateral acceleration,0
ay_max,m/s^2,Maximum measured lateral acceleration,1
roadwheel_angle_gradient_rad_per_mps2,rad/(m/s^2),Mean roadwheel angle gradient over the linear region,0
roadwheel_angle_gradient_deg_per_g,deg/g,Mean roadwheel angle gradient over the linear region,1
handwheel_angle_gradient_rad_per_mps2,rad/(m/s^2),Mean handwheel angle gradient over the linear region,0
handwheel_angle_gradient_deg_per_g,deg/g,Mean handwheel angle gradient over the linear region,1
sideslip_gradient_rad_per_mps2,rad/(m/s^2),Mean sideslip gradient over the linear region,0
sideslip_gradient_deg_per_g,deg/g,Mean sideslip gradient over the linear region,1
understeer_gradient_rad_per_mps2,rad/(m/s^2),Mean steer excess derivative over the linear region,0
understeer_gradient_deg_per_g,deg/g,Mean steer excess derivative over the linear region,1
roll_gradient_deg_per_g,deg/g,Mean roll gradient over the linear region,1
handwheel_torque_min,N*m,Minimum handwheel torque over SteadyStateEval sweep,0
handwheel_torque_max,N*m,Maximum handwheel torque over SteadyStateEval sweep,0
roadwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,deg/g per m/s,Linear fit slope of roadwheel angle gradient versus velocity,0
handwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,deg/g per m/s,Linear fit slope of handwheel angle gradient versus velocity,0
sideslip_gradient_velocity_slope_deg_per_g_per_mps,deg/g per m/s,Linear fit slope of sideslip gradient versus velocity,0
understeer_gradient_velocity_slope_deg_per_g_per_mps,deg/g per m/s,Linear fit slope of understeer gradient versus velocity,0
roll_gradient_velocity_slope_deg_per_g_per_mps,deg/g per m/s,Linear fit slope of roll gradient versus velocity,0
handwheel_torque_peak_abs,N*m,"Maximum absolute handwheel torque over the SteadyStateEval sweep, derived from StandardSim torque extrema",1
