parameter,parameter_label,parameter_group,parameter_unit,metric,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,metric_target_velocity_mps,19701.768937499997,26269.02525,32836.2815625,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,1
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,metric_source_velocity_mps,19701.768937499997,26269.02525,32836.2815625,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,1
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,ay_min,19701.768937499997,26269.02525,32836.2815625,1.074098842178693,1.074217469796285,1.07430551626845,0.00020667408975705293,1.573519289658857e-08,0.019239501829759545,0.019239501829759545,-0.011043165925653436,0.008196335904106108,increases_with_parameter,15
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,ay_max,19701.768937499997,26269.02525,32836.2815625,18.83321642548796,18.57517363325678,18.3682823866824,-0.4649340388055627,-3.539789043413878e-05,-2.5029862330500645,2.5029862330500645,1.3891810506103854,-1.113805182439679,decreases_with_parameter,11
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,roadwheel_angle_gradient_rad_per_mps2,19701.768937499997,26269.02525,32836.2815625,0.007551448202270598,0.007556410350109951,0.007559011360647575,7.563158376976825e-06,5.758232979715777e-10,0.10008930201715126,0.10008930201715126,-0.06566805678148997,0.034421245235661285,increases_with_parameter,12
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,roadwheel_angle_gradient_deg_per_g,19701.768937499997,26269.02525,32836.2815625,4.244456068554103,4.24724515191211,4.248707106581609,0.004251038027505594,3.2365403642113387e-07,0.10008930201713871,0.10008930201713871,-0.06566805678148822,0.034421245235650495,increases_with_parameter,12
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,handwheel_angle_gradient_rad_per_mps2,19701.768937499997,26269.02525,32836.2815625,0.031007401731457673,0.0310275496973693,0.03103791193597486,3.051020451718886e-05,2.32290343679112e-09,0.09833262637486226,0.09833262637486226,-0.06493573004681985,0.033396896328042415,increases_with_parameter,12
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,handwheel_angle_gradient_deg_per_g,19701.768937499997,26269.02525,32836.2815625,17.428386042508727,17.43971064593472,17.445534968019054,0.017148925510326762,1.3056385112977694e-06,0.09833262637487772,0.09833262637487772,-0.06493573004683738,0.03339689632804034,increases_with_parameter,12
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,sideslip_gradient_rad_per_mps2,19701.768937499997,26269.02525,32836.2815625,0.0008816901275646395,0.0008893884524499339,0.0008956956580452588,1.400553048061927e-05,1.0663152018264756e-09,1.574737162601926,1.574737162601926,-0.86557508860031,0.709162074001616,increases_with_parameter,12
front_spring_rate_n_per_m,front spring rate,ride/roll,N/m,sideslip_gradient_deg_per_g,19701.768937499997,26269.02525,32836.2815625,0.4955731552791063,0.4999001665889719,0.5034452689782918,0.007872113699185501,5.993457027253418e-07,1.5747371626019306,1.5747371626019306,-0.8655750886003168,0.7091620740016139,increases_with_parameter,12
