case_id,parameter,level,value,status,metric_target_velocity_mps,metric_source_velocity_mps,ay_min,ay_max,roadwheel_angle_gradient_rad_per_mps2,roadwheel_angle_gradient_deg_per_g,handwheel_angle_gradient_rad_per_mps2,handwheel_angle_gradient_deg_per_g,sideslip_gradient_rad_per_mps2,sideslip_gradient_deg_per_g,understeer_gradient_rad_per_mps2,understeer_gradient_deg_per_g,roll_gradient_deg_per_g,handwheel_torque_min,handwheel_torque_max,roadwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,handwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,sideslip_gradient_velocity_slope_deg_per_g_per_mps,understeer_gradient_velocity_slope_deg_per_g_per_mps,roll_gradient_velocity_slope_deg_per_g_per_mps,handwheel_torque_peak_abs
baseline,,baseline,,ok,15.0,15.0,1.074217469796285,18.57517363325678,0.007556410350109951,4.24724515191211,0.0310275496973693,17.43971064593472,0.0008893884524499339,0.4999001665889719,0.0007014129953022076,0.3942444634100774,0.8936183079468291,-18.78883108901611,-1.915912670053007,-0.4125041854252861,-1.6919195160863945,-0.18903935708124467,0.021970533913641836,0.001918762930248763,18.78883108901611
front_spring_rate_n_per_m_low,front_spring_rate_n_per_m,low,19701.768937499997,ok,15.0,15.0,1.074098842178693,18.83321642548796,0.007551448202270598,4.244456068554103,0.031007401731457673,17.428386042508727,0.0008816901275646395,0.4955731552791063,0.0006242726630396918,0.3508860581569677,0.9416332703588604,-18.62479619439268,-1.913624409094102,-0.41219572847989,-1.6907519654650272,-0.1911460316388906,0.024046456307548682,0.001933100511018937,18.62479619439268
front_spring_rate_n_per_m_high,front_spring_rate_n_per_m,high,32836.2815625,ok,15.0,15.0,1.07430551626845,18.3682823866824,0.007559011360647575,4.248707106581609,0.03103791193597486,17.445534968019054,0.0008956956580452588,0.5034452689782918,0.0006965021468386876,0.3914842139844812,0.8538433292129693,-18.92468404900848,-1.917810127789255,-0.41286970651291094,-1.6936137242905243,-0.18824869956357784,0.021877260024217155,0.0013984335384810897,18.92468404900848
rear_spring_rate_n_per_m_low,rear_spring_rate_n_per_m,low,32836.2815625,ok,15.0,15.0,1.074385200951944,18.17957810796625,0.00754811135277952,4.242580519560997,0.031003022035193884,17.425924338755046,0.0008769891012950544,0.4929308409913154,0.0006758273299202548,0.3798634824658168,0.9456528112895707,-18.73180466406973,-1.912389586910547,-0.4142043090576963,-1.6980545463427956,-0.18924418495862397,0.020895923444060206,0.003969992848690768,18.73180466406973
rear_spring_rate_n_per_m_high,rear_spring_rate_n_per_m,high,54727.135937499996,ok,15.0,15.0,1.074103584306249,18.84556086174078,0.007555851171308755,4.246930853277918,0.031022653509306136,17.436958636706713,0.0008945963016668082,0.5028273517620133,0.0006551753564519648,0.36825559060624674,0.8546692691831971,-18.83862626675352,-1.919285908410437,-0.4115834605807567,-1.6882559105323216,-0.18889912008192355,0.024083166606487967,0.0004251280814384633,18.83862626675352
front_stabar_rate_n_m_per_rad_low,front_stabar_rate_n_m_per_rad,low,129.471077,ok,15.0,15.0,1.074047267815426,18.92915269428907,0.007554200223927872,4.2460029023151415,0.03101932919004613,17.43509013060311,0.0008757638536804465,0.49224216386157754,0.0006067464137630254,0.3410350477138357,0.9759892277585867,-18.50309793446635,-1.911996695393558,-0.4120000658012327,-1.6897989838132346,-0.19107504005669426,0.024547898082046823,0.0023452698422444743,18.50309793446635
front_stabar_rate_n_m_per_rad_high,front_stabar_rate_n_m_per_rad,high,388.413231,ok,15.0,15.0,1.07432800278624,18.30042132557217,0.007560851713975575,4.249741517285633,0.031049443327713772,17.452016438107183,0.0008985835802332587,0.505068488594985,0.0006888615407118547,0.38718964476096235,0.833024220288131,-19.01103631028453,-1.918860542393088,-0.413021549553,-1.6941797314400688,-0.18788859973507432,0.021919391380526513,0.0012669773205381241,19.01103631028453
rear_stabar_rate_n_m_per_rad_low,rear_stabar_rate_n_m_per_rad,low,267.681452,ok,15.0,15.0,1.07450290645905,18.07860789990886,0.007558838455659142,4.248609921563878,0.031038870434849066,17.446073713204658,0.0008801302298819631,0.4946963807839083,0.0006750087545757306,0.37940338435012166,0.9831043908754892,-18.68928934992998,-1.904524423802887,-0.4136888942201802,-1.6967910952963834,-0.1883951232947446,0.02185274783707099,0.0012974268732776268,18.68928934992998
rear_stabar_rate_n_m_per_rad_high,rear_stabar_rate_n_m_per_rad,high,803.0443559999999,ok,15.0,15.0,1.073995303913,18.93884616097793,0.007559723295779707,4.249107265241386,0.03104847902222074,17.451474429184895,0.0008950243759859168,0.5030679602642323,0.0006192548300398014,0.3480656757406556,0.8315108909529895,-18.87754411622702,-1.924076525854652,-0.41184445598616404,-1.689389670853063,-0.18997953259772413,0.0246917772045429,0.0017481397107161531,18.87754411622702
front_toe_deg_low,front_toe_deg,low,-1.0,ok,15.0,15.0,-2.342497597471318,18.05598820594438,0.00885974041067128,4.979810222439264,0.0363754201001528,20.445597778698225,0.0009322162870916772,0.5239724846105032,0.0020670443902984577,1.161827357000868,0.8379917753383449,-18.78676740808598,2.101698577730914,0.46611612201141894,1.912779413261377,-0.17122785266978754,0.6636419416640196,3.366960744810196e-05,18.78676740808598
