case_id,parameter,level,value,status,general.n_cases,general.n_successful_cases,general.n_failed_cases,general.representative_testVel_mps,general.metric_target_velocity_mps,general.n_velocity_groups,step.ay_peak,step.ay_ss,step.ay_rise_time_s,step.ay_peak_response_time_s,step.ay_gain_dc,step.ay_overshoot_pct,step.sideslip_ss,step.sideslip_rise_time_s,step.sideslip_gain_dc,step.yaw_rise_time_s,step.yaw_peak_response_time_s,step.yaw_gain_dc,step.yaw_overshoot_rad_per_s,step.yaw_overshoot_pct,step.roll_peak,step.roll_ss,step.roll_gain_dc,step.roll_overshoot_rad,step.roll_overshoot_pct,step.settling_time_s,step.yaw_peak,step.yaw_ss,frequency.ay_gain_dc,frequency.yaw_gain_dc,frequency.ay_gain_peak,frequency.ay_gain_peak_freq,frequency.yaw_gain_peak,frequency.yaw_gain_peak_freq,frequency.bandwidth_hz,frequency.ay_phase_1hz,frequency.ay_phase_0p5hz,frequency.yaw_phase_1hz,frequency.yaw_phase_0p5hz,frequency.ay_lag_0p5hz,frequency.yaw_lag_0p5hz,frequency.yaw_to_ay_lag_0p5hz,frequency.ay_lag_1hz,frequency.yaw_lag_1hz,frequency.yaw_to_ay_lag_1hz,frequency.lag_steer_to_ay,frequency.lag_steer_to_yaw,frequency.yaw_to_ay_lag,frequency.ay_phase_45_freq,frequency.yaw_phase_45_freq,frequency.ay_gain_slope,frequency.yaw_gain_slope,frequency.ay_phase_slope,frequency.yaw_phase_slope,frequency.gain_variation_pct,quality.ay_fit_error,quality.yaw_fit_error,trend.ay_peak_velocity_slope,trend.ay_ss_velocity_slope,trend.ay_rise_time_s_velocity_slope,trend.ay_peak_response_time_s_velocity_slope,trend.ay_gain_dc_velocity_slope,trend.ay_overshoot_pct_velocity_slope,trend.sideslip_ss_velocity_slope,trend.sideslip_rise_time_s_velocity_slope,trend.sideslip_gain_dc_velocity_slope,trend.yaw_rise_time_s_velocity_slope,trend.yaw_peak_response_time_s_velocity_slope,trend.yaw_gain_dc_velocity_slope,trend.yaw_overshoot_rad_per_s_velocity_slope,trend.yaw_overshoot_pct_velocity_slope,trend.roll_peak_velocity_slope,trend.roll_ss_velocity_slope,trend.roll_gain_dc_velocity_slope,trend.roll_overshoot_rad_velocity_slope,trend.roll_overshoot_pct_velocity_slope,trend.settling_time_s_velocity_slope,trend.yaw_peak_velocity_slope,trend.yaw_ss_velocity_slope,trend.ay_gain_peak_velocity_slope,trend.ay_gain_peak_freq_velocity_slope,trend.yaw_gain_peak_velocity_slope,trend.yaw_gain_peak_freq_velocity_slope,trend.bandwidth_hz_velocity_slope,trend.ay_phase_1hz_velocity_slope,trend.ay_phase_0p5hz_velocity_slope,trend.yaw_phase_1hz_velocity_slope,trend.yaw_phase_0p5hz_velocity_slope,trend.ay_lag_0p5hz_velocity_slope,trend.yaw_lag_0p5hz_velocity_slope,trend.yaw_to_ay_lag_0p5hz_velocity_slope,trend.ay_lag_1hz_velocity_slope,trend.yaw_lag_1hz_velocity_slope,trend.yaw_to_ay_lag_1hz_velocity_slope,trend.lag_steer_to_ay_velocity_slope,trend.lag_steer_to_yaw_velocity_slope,trend.yaw_to_ay_lag_velocity_slope,trend.ay_phase_45_freq_velocity_slope,trend.yaw_phase_45_freq_velocity_slope,trend.ay_gain_slope_velocity_slope,trend.yaw_gain_slope_velocity_slope,trend.ay_phase_slope_velocity_slope,trend.yaw_phase_slope_velocity_slope,trend.gain_variation_pct_velocity_slope,trend.ay_fit_error_velocity_slope,trend.yaw_fit_error_velocity_slope
baseline,,baseline,,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.41297131998261,2.8316339996581834,0.06896101378949093,0.1455492081501799,33.5688993182276,20.53010100862618,0.0028296813875962746,0.182459181336055,0.032425760175197826,0.05973352049302183,0.10402548831607095,2.2201117726911663,0.03533865268882658,18.64105747102992,0.0047031622176516,0.003831405705899645,0.043904675310078356,0.0008717565117519551,22.752915735590562,1.308848740956301,0.2249129445107707,0.18957429182194413,33.5688993182276,2.2201117726911663,34.69907452843634,1.0,2.2444235084588327,1.0,1.0,-5.655653872255925,-2.4416978804118514,-9.88486163652351,-4.862166811294259,0.013564988224510285,0.02701203784052366,-0.013447049616013375,0.01571014964515535,0.027457948990343085,-0.011747799345187736,0.01571014964515535,0.027457948990343085,-0.011747799345187736,1.0,1.0,0.9394549935194856,0.3087343413586535,10.523703908015865,16.516082673807134,3.3134910486690607,0.002621827985801399,0.0009100310761751586,0.30662363770242645,0.3371203895203053,0.0066605437784249735,0.004703055340472817,3.995068185646312,-2.2072769603181204,-0.0008502938221927243,-0.018423466485308005,-0.009743649471538083,0.0006716616731954349,0.0008648754156237888,0.09170351156717839,-0.0010699548559771064,-1.0885498398052718,0.0004510692973940598,0.0004622936919669327,0.005297495489045237,-1.1224394572872872e-05,-1.8950361934224025,-0.016778266114613586,0.00645870543505731,0.007528660291034429,3.7821050866670434,-1.7763568394002505e-17,0.08970788933200055,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.7445356768241131,-0.9165210796590425,-0.27154865993442157,-0.1500120406948326,0.005091783775883571,0.0008334002260824042,0.0042583835498011665,0.004845932435622538,0.0007543018331511705,0.004091630602471366,0.004845932435622538,0.0007543018331511705,0.004091630602471366,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.1805864325465029,-0.03141528068377978,2.7308490687986944,0.4020953945886036,-0.6383039163823908,0.0006721803585235703,0.0005351061151645043
front_spring_rate_n_per_m_low,front_spring_rate_n_per_m,low,19701.768937499997,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.418822417349821,2.8335553787264107,0.069592481973894,0.14573634091824994,33.603188560560895,20.6548650157834,0.0028193363446040354,0.1823249484629399,0.032307214714730484,0.059703669123976955,0.10321444566360882,2.2218242335118874,0.03516678845259366,18.539516082787024,0.0049466333292132,0.004038695686040674,0.04628004350956468,0.0009079376431725258,22.480962017284853,1.308428194625048,0.2248523675990968,0.18968557914650314,33.603188560560895,2.2218242335118874,34.73615326010815,1.0,2.2459814106236986,1.0,1.0,-5.716504105459705,-2.458877439916108,-9.903895788631473,-4.868745592120746,0.013660430221756156,0.027048586622893032,-0.013388156401136875,0.015879178070721405,0.027510821635087425,-0.01163164356436602,0.015879178070721405,0.027510821635087425,-0.01163164356436602,1.0,1.0,0.9399461289475198,0.30638961437147044,10.672756730670756,16.558831294615146,3.318492286643588,0.00267051365453763,0.0008225906269572245,0.3064889594461519,0.338027267546079,0.006635402579536404,0.004843902917019391,4.014123297845762,-2.240589993331797,-0.0008539952676084947,-0.018361275461437995,-0.009786064911622419,0.000686096862808983,0.0010640379560240088,0.09269580774921263,-0.0011049174098619607,-1.1026912674898484,0.00047558984823651976,0.000489776003293968,0.005612419579105981,-1.4186155057448333e-05,-1.9158545198885821,-0.01652966633988279,0.006470120063977661,0.0075750374738396235,3.7962822998227246,-0.04999999999999999,0.09024555412455623,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.7634834923630525,-0.9118599571232205,-0.28075845308799763,-0.14511680429115467,0.005065888650684558,0.0008062044682841935,0.004259684182400365,0.004898565256564035,0.0007798845919111047,0.004118680664652931,0.004898565256564035,0.0007798845919111047,0.004118680664652931,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.1845608006272156,-0.03609141353241235,2.8026412224370203,0.4455540668980098,-0.6474000127621943,0.0006480383969103759,0.0004452581340148634
front_spring_rate_n_per_m_high,front_spring_rate_n_per_m,high,32836.2815625,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.407019118764088,2.8302812091243044,0.06823223382473009,0.14442045643521118,33.55068767676249,20.377406590570825,0.0028371526343661854,0.18234491785066598,0.03251137435672115,0.05941498963936209,0.10377587911689101,2.218877579124169,0.03553096920560142,18.753578479114243,0.0045003553913559,0.0036600760381791794,0.041941381936926064,0.0008402793531767207,22.95797531011799,1.308404724058876,0.2249933123267933,0.18946234312119187,33.55068767676249,2.218877579124169,34.665894401985526,1.0,2.243124961325153,1.0,1.0,-5.6140317364161945,-2.4387540507635777,-9.871627014716637,-4.860097239112804,0.013548633615353209,0.027000540217293353,-0.013451906601940145,0.015594532601156095,0.02742118615199066,-0.011826653550834565,0.015594532601156095,0.02742118615199066,-0.011826653550834565,1.0,1.0,0.9268633242512714,0.3078909522244152,10.397290786733326,16.479239050304997,3.272320817499472,0.002538624327397444,0.0009811925777894089,0.30667499340184173,0.33607889107777994,0.006891184836784343,0.0049701675619357516,3.9847006450069014,-2.170141838085434,-0.0008469461213865845,-0.01833399107480739,-0.00970528764608521,0.0006744394990135559,0.0008121582525255623,0.09137364273150154,-0.001036768358045059,-1.075865577741591,0.0004298742474562199,0.00043872652593061087,0.0050274356592521765,-8.852278474391092e-06,-1.871890321064737,-0.0168373581389654,0.006452187883712339,0.0074889562417574,3.7754908305176884,-1.7763568394002505e-17,0.08931934145764199,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.738292576393916,-0.8977896016034543,-0.26811186323608355,-0.13928993704542447,0.00498772000890808,0.000773832983585692,0.004213887025322388,0.004828590489983101,0.0007447551756557877,0.004083835314327313,0.004828590489983101,0.0007447551756557877,0.004083835314327313,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.17814449657820444,-0.03231355282112852,2.773422184864558,0.4265028178593052,-0.62861295232161,0.0006882525312298604,0.0006018651572931845
rear_spring_rate_n_per_m_low,rear_spring_rate_n_per_m,low,32836.2815625,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.422181867982797,2.833838549108047,0.06991054022802401,0.14574626861308504,33.60314625128557,20.76135632567816,0.002798397406523,0.183739588036681,0.03206727215882467,0.059960097018145975,0.10356758107731112,2.2219302941756323,0.03540212546412422,18.658909903325203,0.0049593068386987,0.004037506747339315,0.046266419275627156,0.0009218000913593849,22.830923860792154,1.309478479644,0.2251352108777325,0.18973308541360828,33.60314625128557,2.2219302941756323,34.74004111927167,1.0,2.2463021184231504,1.0,1.0,-5.7119066087207955,-2.4704556243751767,-9.87127040378715,-4.85732699728959,0.013724753468750982,0.026985149984942166,-0.013260396516191184,0.015866407246446654,0.027420195566075417,-0.011553788319628763,0.015866407246446654,0.027420195566075417,-0.011553788319628763,1.0,1.0,0.9440852295733637,0.3095693787439456,10.6203070261104,16.489246815803014,3.3295079293607017,0.00249017318267648,0.0010236363963531767,0.3069876177443287,0.3381617160483902,0.006635181441963797,0.004727711344140583,4.005070564224313,-2.2406400815716223,-0.0008636983611948716,-0.018844235316930993,-0.009897254173766388,0.00048444849244941925,0.000868756617104794,0.0922546784943459,-0.0010398043667932165,-1.077904430582304,0.0004933650596078996,0.0005057171557096997,0.005795091729905221,-1.2352096101799962e-05,-1.9465457480065513,-0.016682576565318817,0.006536558507441364,0.007576362874234579,3.7970162597909773,-1.7763568394002505e-17,0.09029055020119682,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.7686954592605264,-0.9136892048850365,-0.2767203515613059,-0.13901339551263728,0.005076051138250203,0.0007722966417368732,0.004303754496513329,0.004913042942390352,0.0007686676432258503,0.004144375299164501,0.004913042942390352,0.0007686676432258503,0.004144375299164501,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.17797006185095085,-0.030918208891277416,2.8173516110753356,0.4552980544639281,-0.6299100302103627,0.0007855028994151763,0.0006949006605256391
rear_spring_rate_n_per_m_high,rear_spring_rate_n_per_m,high,54727.135937499996,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.40517730259587,2.8305050206438636,0.06796526035947092,0.14456500149072182,33.55431748415256,20.302817969257084,0.002847753177306395,0.18177350452384888,0.032632847630925395,0.05943392087121491,0.10374337708107895,2.219237975001176,0.03535128032116994,18.656443409664792,0.0045076311722327,0.0036739199377432905,0.042100021340331376,0.0008337112344894097,22.69268924247483,1.307916968247119,0.2248369156317916,0.18948563531062165,33.55431748415256,2.219237975001176,34.67398739436644,1.0,2.2435277551458253,1.0,1.0,-5.624315259463003,-2.434196397532645,-9.89232770931369,-4.869044038311131,0.013523313319625805,0.02705024465728406,-0.013526931337658256,0.015623097942952786,0.02747868808142692,-0.011855590138474132,0.015623097942952786,0.02747868808142692,-0.011855590138474132,1.0,1.0,0.9308699398229024,0.30843527825270944,10.442677634142603,16.516996045208383,3.2847094010286124,0.0026990719010561866,0.0007979226216758908,0.30678147270518025,0.33665097544396333,0.006802484552919804,0.004852666513634402,3.9831849075946115,-2.175993843212291,-0.0008433016178834475,-0.018250864869107174,-0.009663524712255131,0.0007742629621850121,0.0009178312315667893,0.09144877170183925,-0.0010867514764775926,-1.0958255198241524,0.00042443935251743975,0.00043491711357479974,0.004983783009169588,-1.0477761057360066e-05,-1.8666674759624415,-0.016789679509806418,0.006423734618613317,0.0075104860950909015,3.7831484672794953,-1.7763568394002505e-17,0.08967019972487156,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.735733991659213,-0.8935356564221757,-0.2696354588244787,-0.13514903298378722,0.0049640869801232,0.00075082796102104,0.0042132590191021595,0.0048214833101644814,0.000748987385623552,0.004072495924540929,0.0048214833101644814,0.000748987385623552,0.004072495924540929,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.17314942303772707,-0.02899971541212815,2.7786515731640096,0.4453515732197088,-0.6123047048943997,0.0006412246618474247,0.0003974864378271166
front_stabar_rate_n_m_per_rad_low,front_stabar_rate_n_m_per_rad,low,129.471077,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.423506073486386,2.8347316891260617,0.06985169814345893,0.14494629400509185,33.62365404254094,20.770021608000633,0.002812252647290415,0.18307237510406482,0.03222604152284676,0.05963107113866095,0.10344234049162693,2.2230744180546393,0.03513922070486916,18.517870978335637,0.0051291979177423,0.004193001657530855,0.04804825969357536,0.0009361962602114447,22.32759098794979,1.308344082870713,0.2248976478263191,0.18975842712144994,33.62365404254094,2.2230744180546393,34.75670194826786,1.0,2.246897283120204,1.0,1.0,-5.749818524860501,-2.496847114647551,-9.912256764348626,-4.880961395034348,0.01387137285915306,0.027116452194635265,-0.013245079335482206,0.015971718124612504,0.027534046567635074,-0.01156232844302257,0.015971718124612504,0.027534046567635074,-0.01156232844302257,1.0,1.0,0.9389243167537713,0.3017770128717149,10.650448415452297,16.544254397650402,3.316923530072482,0.002788065525348717,0.0007986375112443255,0.3067727481980736,0.3389801674910857,0.006552063257098826,0.004684112588580634,4.018580961209476,-2.2653862697597233,-0.0008567931363747458,-0.01866905104016835,-0.009818126126009945,0.0006934533489442163,0.0008534401582548166,0.09291534070376697,-0.0011258730477747881,-1.1132390888947084,0.0004963006609797798,0.0005125199380392508,0.005873045873191112,-1.6219277059471125e-05,-1.9339896751090289,-0.016532904363325197,0.006491611924216129,0.0076174849719909165,3.808467180113303,-0.04999999999999999,0.09088673507438831,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.7562691118217504,-0.916772520822445,-0.2765766150325703,-0.1489820151496246,0.005093180671235804,0.0008276778619423581,0.004265502809293446,0.004878525310615974,0.0007682683750904723,0.004110256935525501,0.004878525310615974,0.0007682683750904723,0.004110256935525501,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.17852459647757132,-0.03135048051007303,2.7688332222280048,0.42185536591641437,-0.6327071307188635,0.0006645476776378051,0.000386754688452704
front_stabar_rate_n_m_per_rad_high,front_stabar_rate_n_m_per_rad,high,388.413231,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.403647456603531,2.829633979425177,0.06870793353399796,0.14449849524689196,33.53720965436582,20.285785417906293,0.0028420351342545247,0.18143794042414196,0.03256732368413614,0.059929515492676,0.10383661087962803,2.218130028404767,0.035548531018930074,18.76643175443574,0.0043912685499656,0.00356675697471344,0.040872024239985996,0.0008245115752521601,23.1165616580424,1.308822109080202,0.2249746908989383,0.18942615988000822,33.53720965436582,2.218130028404767,34.653211377423546,1.0,2.2424796690862183,1.0,1.0,-5.581892957522484,-2.4319973078804935,-9.863448629991183,-4.860399954775147,0.013511096154891631,0.027002221970973038,-0.013491125816081407,0.015505258215340234,0.027398468416642174,-0.01189321020130194,0.015505258215340234,0.027398468416642174,-0.01189321020130194,1.0,1.0,0.9286511541785719,0.3096258632517305,10.315335704431499,16.451316375962804,3.275653357528905,0.0025278184731918696,0.001043372030979787,0.3067641228725295,0.33562654909710443,0.006696197504016995,0.005003607063700596,3.97308654537752,-2.150663814171925,-0.0008455438863094835,-0.018212176137566597,-0.009689219215724592,0.0006898008177437903,0.0010203890426367936,0.09087788013402137,-0.0010331276591343751,-1.073497540369022,0.0004173079649789798,0.0004256742552112317,0.0048778676541956605,-8.366290232252042e-06,-1.8747170774625035,-0.016925006021523997,0.006432815209696314,0.00746594286883069,3.763105063946366,-1.7763568394002505e-17,0.08885413447944071,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.7462010530010668,-0.8930923804897355,-0.27258344702830745,-0.13554219564417724,0.004961624336054088,0.0007530121980232074,0.004208612138030881,0.004850558480558518,0.0007571762417452979,0.00409338223881322,0.004850558480558518,0.0007571762417452979,0.00409338223881322,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.17835828881556076,-0.031740710901852424,2.8127676551398513,0.45306251965215943,-0.6303966259737249,0.00070833894305506,0.0006389104320422095
rear_stabar_rate_n_m_per_rad_low,rear_stabar_rate_n_m_per_rad,low,267.681452,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.427128780032246,2.832145857764913,0.07052269827485302,0.1449443654473881,33.58970123527752,21.008201983526536,0.0028134069898629547,0.18225577685195704,0.032239269314350526,0.05962134509017414,0.10325923010331617,2.2206716621961875,0.035399540498355114,18.671167276273017,0.0051663287627295,0.00421024933193278,0.04824590348350458,0.0009560794307967198,22.708380321927795,1.309269074824917,0.2249942239723777,0.18959468347402259,33.58970123527752,2.2206716621961875,34.72797738266418,1.0,2.244363470471898,1.0,1.0,-5.69602976625481,-2.4742419699142033,-9.86338131123452,-4.860276081845626,0.013745788721745573,0.027001533788031256,-0.013255745066285683,0.015822304906263362,0.02739828142009589,-0.011575976513832527,0.015822304906263362,0.02739828142009589,-0.011575976513832527,1.0,1.0,0.945098722531066,0.300758670497935,10.550610601946747,16.45246277309124,3.3349689137683804,0.002702953399443056,0.0011412079785679062,0.3046801687674845,0.3361274518578736,0.006432834401838767,0.004718419773711967,3.98235013919943,-2.2616113926031702,-0.0008519271221560395,-0.01854456709517919,-0.009762365710453448,0.0007207476939829593,0.0009242007570015715,0.0910895967112427,-0.0010180614562090957,-1.0633045336642748,0.00048657179211273965,0.0005023669836346977,0.005756701585797181,-1.5795191521958043e-05,-1.9320584501074762,-0.016780277698051575,0.0064543006923309144,0.007472362148540012,3.7766220516034354,-1.7763568394002505e-17,0.08912748253396019,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.744341764784439,-0.9056978630655802,-0.2705282039352821,-0.14447629103260046,0.005031654794808779,0.000802646061292225,0.004229008733516554,0.0048453937910678865,0.000751467233153562,0.0040939265579143245,0.0048453937910678865,0.000751467233153562,0.0040939265579143245,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.17715887737541686,-0.03082179179829325,2.7643050887544445,0.41603271151287496,-0.6260548989982564,0.0007515997759535305,0.0007275353447904373
rear_stabar_rate_n_m_per_rad_high,rear_stabar_rate_n_m_per_rad,high,803.0443559999999,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.401411324750829,2.8318662719045027,0.06828292863933916,0.145746026606838,33.559862976063364,20.112003822245907,0.0028402856437723203,0.1820974245357212,0.032547275999950415,0.05962783389436699,0.10362456551464105,2.219830047286471,0.03540528088197761,18.680668440477813,0.0043808314444209,0.00356894186464776,0.04089706123437342,0.0008118895797731402,22.74874768388166,1.308298891133175,0.2249342637167697,0.18952898283479208,33.559862976063364,2.219830047286471,34.66338421896448,1.0,2.244187566640875,1.0,1.0,-5.627184266247866,-2.4503554608420473,-9.90073326233005,-4.874529396170487,0.01361308589356693,0.027080718867613818,-0.013467632974046888,0.01563106740624407,0.027502036839805694,-0.011870969433561623,0.01563106740624407,0.027502036839805694,-0.011870969433561623,1.0,1.0,0.9172063977415686,0.3091343316706979,10.400283038922357,16.526872217017363,3.2376374680790425,0.0025699687170960485,0.0007839050512997964,0.30832276381424895,0.3375293665391008,0.006996213364677967,0.004853783414938601,4.009362830934645,-2.1482518045047514,-0.0008487302942370239,-0.01826010377203463,-0.009725732760935609,0.0007884188170076195,0.0009596451444187962,0.09251119207852666,-0.001110795471068066,-1.1105994554463947,0.00042344476994239986,0.00043195547727820484,0.004949845157120059,-8.510707335805045e-06,-1.8638575969518696,-0.016784726795443784,0.006461852928226776,0.007572648399294843,3.7982703731248093,-1.7763568394002505e-17,0.0904162439361746,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.7478864731884747,-0.9072925280213036,-0.27316917428620396,-0.14522023564563255,0.005040514044562801,0.0008067790869201814,0.004233734957642618,0.004855240203301319,0.000758803261906122,0.004096436941395196,0.004855240203301319,0.000758803261906122,0.004096436941395196,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.17839319964721334,-0.03272867455223178,2.77220562410624,0.4225763217086208,-0.6296046333503029,0.0006457251499663993,0.0004025300137587577
front_toe_deg_low,front_toe_deg,low,-1.0,ok,8.0,8.0,0.0,15.0,15.0,2.0,3.121979467567969,0.48344151709147243,0.08154310537605092,-0.897164873786795,33.4186476659473,545.7822419453595,0.00059060129765065,0.18635782770195686,0.006767792346066394,0.06523504979288686,-0.9463110154284936,2.210709751150309,0.18848840350950313,582.3631241217986,0.0055866503595046,0.00015785427915203,0.001808876794698253,0.00542879608035257,3439.1187299547814,1.429636955066837,0.2208545331118441,0.03236612960234097,33.4186476659473,2.210709751150309,34.51160976086545,1.0,2.235069134279507,1.0,1.0,-6.195216859243459,-2.6810481848441725,-10.051829122782834,-4.936708201259421,0.01489471213802318,0.02742615667366345,-0.012531444535640271,0.017208935720120718,0.02792174756328565,-0.010712811843164933,0.017208935720120718,0.02792174756328565,-0.010712811843164933,1.0,1.0,0.9128506444678935,0.3105266781802705,11.496310542610557,16.8157535876248,3.2203073505252924,0.0055783998835220935,0.0018644000989263291,0.2681865334482918,0.053198114884773585,0.007068957417736405,0.0045064203958387885,3.699774423804541,-10.055273370385763,-0.00012583558366125995,-0.23923467890897254,-0.0014419695712711157,0.0011343826795464195,0.001811007363781848,0.07799188025642492,0.002038911310830671,-11.473903112389387,0.00045709254892335976,-2.225975239212998e-06,-2.5507797301505655e-05,0.0004593185241625732,365.22381058816063,-0.01679428721545241,0.0031346522053558386,0.0010957408945251631,3.4811820048209103,-0.09999999999999992,0.07526223853483636,-1.7763568394002505e-17,-1.7763568394002505e-17,-1.8112002986729172,-0.9334623493499289,-0.25711860161476346,-0.13179261969736447,0.005185901940832937,0.0007321812205409123,0.004453720720292025,0.005031111940758104,0.000714218337818788,0.004316893602939316,0.005031111940758104,0.000714218337818788,0.004316893602939316,-1.7763568394002505e-17,-1.7763568394002505e-17,-0.19336996073966856,-0.039575868297251036,2.8992217379790657,0.41801972156016654,-0.6051515451366236,0.001977102147974804,0.0017404642722162497
