group_field,group_value,n,mean_score,mean_lateral_g,mean_area_g2,best_candidate_id,best_label,best_score
compound,LC0,16,0.3389945953496726,1.7953214285714285,8.168197103174602,Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2,LC0 16x7p5_10 on 7in 10 psi,0.732894998647081
compound,R25B,16,0.5822606045049242,1.8645357142857142,8.460379880952381,Round_8_Hoosier_R25B_16x6_10_on_6in_14psi_PAC02_UM2,R25B 16x6_10 on 6in 14 psi,1.0
pressure_psi,10.0,8,0.6675956771544522,1.8882142857142856,8.553359761904762,Round_8_Hoosier_R25B_16x6_10_on_6in_10psi_PAC02_UM2,R25B 16x6_10 on 6in 10 psi,0.7552747427015833
pressure_psi,12.0,8,0.27012906891567956,1.7765,8.09427611111111,Round_8_Hoosier_R25B_16x7p5_10_on_8in_12psi_PAC02_UM2,R25B 16x7p5_10 on 8in 12 psi,0.4811197397813346
pressure_psi,14.0,8,0.2623127846151864,1.772857142857143,8.04346634920635,Round_8_Hoosier_R25B_16x6_10_on_6in_14psi_PAC02_UM2,R25B 16x6_10 on 6in 14 psi,1.0
pressure_psi,8.0,8,0.6424728690238755,1.8821428571428571,8.566051746031746,Round_8_Hoosier_R25B_16x7p5_10_on_8in_8psi_PAC02_UM2,R25B 16x7p5_10 on 8in 8 psi,0.7877678912667894
rim,6in,8,0.4849986467363418,1.8372142857142855,8.333718412698413,Round_8_Hoosier_R25B_16x6_10_on_6in_14psi_PAC02_UM2,R25B 16x6_10 on 6in 14 psi,1.0
rim,7in,16,0.44063737860966556,1.823857142857143,8.292261349206349,Round_8_Hoosier_R25B_16x7p5_10_on_7in_8psi_PAC02_UM2,R25B 16x7p5_10 on 7in 8 psi,0.7585401503445632
rim,8in,8,0.4762369957535208,1.8347857142857142,8.338912857142857,Round_8_Hoosier_R25B_16x7p5_10_on_8in_8psi_PAC02_UM2,R25B 16x7p5_10 on 8in 8 psi,0.7877678912667894
tire_size,16x6_10,16,0.45271466101019625,1.8275000000000001,8.308685912698413,Round_8_Hoosier_R25B_16x6_10_on_6in_14psi_PAC02_UM2,R25B 16x6_10 on 6in 14 psi,1.0
tire_size,16x7p5_10,16,0.4685405388444006,1.832357142857143,8.319891071428572,Round_8_Hoosier_R25B_16x7p5_10_on_8in_8psi_PAC02_UM2,R25B 16x7p5_10 on 8in 8 psi,0.7877678912667894
