candidate_id,label,source,compound,tire_size,rim,pressure_psi,is_candidate,path,use_mode,fnomin_n,fzmin_n,fzmax_n,unloaded_radius_m,width_m,rim_width_m,vertical_stiffness_n_per_m,vertical_damping_n_s_per_m,pdy1,pdy2,pky1,pky2,pky3,mu_y_400n,mu_y_ref,mu_y_900n,mu_y_1090n,mu_y_900n_vs_400n_pct,cornering_stiffness_ref_n_per_rad,cornering_stiffness_900n_n_per_rad
current_hybrid_reference,current hybrid reference,current_reference,R20_hybrid,16x7p5_10,7in,12.0,0,vehicles/current/tires/16x7p5_10_12psi.tir,14.0,650.0,100.0,1800.0,0.2032,0.1905,0.1778,100000.0,100.0,-2.40275,0.343535,-53.2421,2.38205,1.36502,2.5348788461538465,2.40275,2.270621153846154,2.170203230769231,-10.424864790230467,24703.16761776363,30071.91906456482
Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2,LC0 16x6_10 on 6in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1093.0,0.2026,0.15,0.1524,83185.0,100.343,-2.51186,0.225972,-42.6337,1.55987,0.891157,2.600253917808219,2.51186,2.428281315068493,2.3629317260273974,-6.613684977530325,25452.96604503691,27775.69737737404
Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2,LC0 16x6_10 on 6in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,655.0,100.0,1092.0,0.2032,0.15,0.1524,88439.0,103.463,-2.25676,0.296078,-44.0371,2.02391,0.654835,2.3720270076335876,2.25676,2.1460132671755723,2.0601280458015268,-9.528295408554142,22910.45655001821,26808.67373707244
Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2,LC0 16x6_10 on 6in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1093.0,0.2045,0.15,0.1524,95444.0,107.483,-2.24012,0.188155,-46.8331,2.27,0.875029,2.3137209665144596,2.24012,2.1705284246575345,2.1161152587519028,-6.188842299019302,22703.576202766177,27222.718132992057
Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2,LC0 16x6_10 on 6in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,6in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,655.0,100.0,1092.0,0.2009,0.15,0.1524,72152.0,93.452,-2.49238,0.323841,-37.2722,1.1592,0.813539,2.6184555038167936,2.49238,2.3712486335877863,2.277310022900763,-9.440942183996102,24149.292072365017,24064.59835852225
Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2,LC0 16x6_10 on 7in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1091.0,0.2021,0.15,0.1778,85287.0,105.242,-2.52968,0.259553,-52.7865,1.94584,1.07293,2.630968975609756,2.52968,2.433138945121951,2.3579635335365854,-7.51928404788413,28155.582723743388,32616.02405941974
Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2,LC0 16x6_10 on 7in 12 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,12.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,659.0,100.0,1094.0,0.2026,0.15,0.1778,90365.0,108.33,-2.27989,0.348219,-51.5531,2.26809,1.00544,2.4167469362670713,2.27989,2.1525443566009104,2.052147376327769,-10.93215742622397,25082.040001137306,30026.707743132923
Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2,LC0 16x6_10 on 7in 14 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,14.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1091.0,0.2037,0.15,0.1778,95969.0,111.639,-2.26501,0.210542,-55.3194,2.60899,1.0732,2.3471727317073174,2.26501,2.1866986463414637,2.1257184939024394,-6.836909921372764,24255.434226652673,29898.447403114154
Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2,LC0 16x6_10 on 7in 8 psi,round8_fabricated_longitudinal_um3,LC0,16x6_10,7in,8.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,659.0,100.0,1094.0,0.2005,0.15,0.1778,74954.0,98.6612,-2.47522,0.381234,-47.3033,1.63328,1.00631,2.6250524825493176,2.47522,2.3358005857359636,2.2258848649468894,-11.018899573864795,27764.19641834319,30680.4910258798
Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2,LC0 16x7p5_10 on 7in 10 psi,round8_fabricated_longitudinal_um3,LC0,16x7p5_10,7in,10.0,1,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1091.0,0.2057,0.19,0.1778,87739.0,108.252,-2.66799,0.21475,-50.9447,1.97855,1.49888,2.7517948780487806,2.66799,2.5881134756097564,2.525914542682927,-5.948168729606988,26908.30778052163,31298.387808364758
