candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,longitudinal_combined_source,lateral_relaxation_source,notes
current_hybrid_reference,current hybrid reference,current_reference,Current,Hybrid,Current Hybrid,16x7.5-10,7.0,12.0,1,vehicles/current/tires/16x7p5_10_12psi.tir,hybrid_reference,hybrid_reference,Existing vehicle target/reference tire.
Round_9_Goodyear_D0571_18p0x6p5_10_6in_10psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 10 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_10psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_6in_12psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 12 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_12psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_6in_14psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 14 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_14psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_6in_8psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 8 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_8psi_MF52_UM14.tir,direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Goodyear_D0571_18p0x6p5_10_7in_10psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 10 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_10psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_7in_12psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 12 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_12psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_7in_14psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 14 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_14psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_7in_8psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 8 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_8psi_MF52_UM14.tir,direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Goodyear_D2704_20p0x7p0_13_7in_10psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 10 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_10psi_MF52_UM14.tir,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
