degradation_status,degradation_pressure_psi,degradation_note,degradation_corner_status,degradation_corner_initial_runs,degradation_corner_final_runs,degradation_corner_samples_initial,degradation_corner_samples_final,degradation_corner_initial_peak_mu_y,degradation_corner_final_peak_mu_y,degradation_corner_peak_mu_y_delta_pct,degradation_corner_initial_ky_norm_per_rad,degradation_corner_final_ky_norm_per_rad,degradation_corner_ky_delta_pct,degradation_corner_initial_tread_mean_c,degradation_corner_final_tread_mean_c,degradation_corner_tread_delta_c,degradation_drive_status,degradation_drive_initial_runs,degradation_drive_final_runs,degradation_drive_samples_initial,degradation_drive_samples_final,degradation_drive_initial_peak_mu_x,degradation_drive_final_peak_mu_x,degradation_drive_peak_mu_x_delta_pct,degradation_drive_initial_kx_norm,degradation_drive_final_kx_norm,degradation_drive_kx_delta_pct,degradation_drive_initial_tread_mean_c,degradation_drive_final_tread_mean_c,degradation_drive_tread_delta_c,candidate_id,label,family,tire_size,rim_width_in,pressure_psi
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,"4,5",6,21176,17345,2.518980679366495,2.5599471212994778,1.626310287671022,33.08126497021856,33.50601347115761,1.2839548346214273,57.50954886034504,58.198265398289614,0.6887165379445719,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43075_16x7p5_10_r20_7in_8psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 8 psi,Hoosier 43075,16x7.5-10,7.0,8.0
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,"4,5",6,21176,17345,2.518980679366495,2.5599471212994778,1.626310287671022,33.08126497021856,33.50601347115761,1.2839548346214273,57.50954886034504,58.198265398289614,0.6887165379445719,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 10 psi,Hoosier 43075,16x7.5-10,7.0,10.0
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,"4,5",6,21176,17345,2.518980679366495,2.5599471212994778,1.626310287671022,33.08126497021856,33.50601347115761,1.2839548346214273,57.50954886034504,58.198265398289614,0.6887165379445719,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 12 psi,Hoosier 43075,16x7.5-10,7.0,12.0
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,"4,5",6,21176,17345,2.518980679366495,2.5599471212994778,1.626310287671022,33.08126497021856,33.50601347115761,1.2839548346214273,57.50954886034504,58.198265398289614,0.6887165379445719,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 14 psi,Hoosier 43075,16x7.5-10,7.0,14.0
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,8,9,21168,19932,2.5155155130976032,2.529963027533026,0.5743361295209087,34.3780135500458,34.20032702883982,-0.5168609319072793,59.07953262786596,59.08256221151916,0.0030295836532019393,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43075_16x7p5_10_r20_8in_8psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 8 psi,Hoosier 43075,16x7.5-10,8.0,8.0
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,8,9,21168,19932,2.5155155130976032,2.529963027533026,0.5743361295209087,34.3780135500458,34.20032702883982,-0.5168609319072793,59.07953262786596,59.08256221151916,0.0030295836532019393,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 10 psi,Hoosier 43075,16x7.5-10,8.0,10.0
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,8,9,21168,19932,2.5155155130976032,2.529963027533026,0.5743361295209087,34.3780135500458,34.20032702883982,-0.5168609319072793,59.07953262786596,59.08256221151916,0.0030295836532019393,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43075_16x7p5_10_r20_8in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 12 psi,Hoosier 43075,16x7.5-10,8.0,12.0
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,8,9,21168,19932,2.5155155130976032,2.529963027533026,0.5743361295209087,34.3780135500458,34.20032702883982,-0.5168609319072793,59.07953262786596,59.08256221151916,0.0030295836532019393,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43075_16x7p5_10_r20_8in_14psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 14 psi,Hoosier 43075,16x7.5-10,8.0,14.0
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,11,12,21066,19768,2.487913442342325,2.476378067116135,-0.4636566140070221,29.590973236679197,29.375350930764533,-0.7286759519196602,59.78629893351055,60.674336975583444,0.8880380420728926,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43070_16x6p0_10_r20_6in_8psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 8 psi,Hoosier 43070,16x6.0-10,6.0,8.0
ok,12.0,"Initial/final 12 psi nominal-speed repeats from RunGuide_Round9.pdf; reported as raw tire-data degradation/warmup evidence, not a vehicle-sim score.",ok,11,12,21066,19768,2.487913442342325,2.476378067116135,-0.4636566140070221,29.590973236679197,29.375350930764533,-0.7286759519196602,59.78629893351055,60.674336975583444,0.8880380420728926,not_available_for_16in_scaled_longitudinal,,,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 10 psi,Hoosier 43070,16x6.0-10,6.0,10.0
