candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,reference_unloaded_radius_m,architecture_unloaded_radius_m,architecture_radius_delta_m,architecture_radius_delta_mm,architecture_cg_height_m,architecture_cg_height_delta_pct,architecture_tire_width_m,architecture_rim_radius_m,architecture_rim_width_m,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2,fz_min_seen_n,fz_max_seen_n,fz_range_exceeded,fz_max_excess_pct
current_hybrid_reference,current hybrid reference,current_reference,Current,Hybrid,Current Hybrid,16x7.5-10,7.0,12.0,1,vehicles/current/tires/16x7p5_10_12psi.tir,0.2032,0.2032,0.0,0.0,0.27961567837774426,0.0,0.1905,0.127,0.1778,1.5675,1.4400000000000002,1.692,6.74139,1.6624999999999999,1.425,1.764,7.2360074999999995,1.7575,1.3950000000000002,1.89,8.006219999999999,1.9,1.3350000000000002,2.052,9.082807500000001,2.09,1.065,2.286,9.92199,1.7954999999999999,1.332,1.9367999999999999,8.197683,185.8509041194717,1396.8934509736375,0,0.0
Round_9_Goodyear_D0571_18p0x6p5_10_6in_10psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 10 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_10psi_MF52_UM14.tir,0.2032,0.2286,0.025400000000000006,25.400000000000006,0.30501567837774424,9.083896921433034,0.1651,0.127,0.1524,1.6149999999999998,1.4400000000000002,1.4580000000000002,6.290805000000001,1.71,1.425,1.5300000000000002,6.726427499999999,1.8049999999999997,1.3950000000000002,1.6380000000000003,7.5047625,1.9474999999999998,1.3350000000000002,1.8,8.5481475,2.1374999999999997,1.065,2.016,9.393457499999998,1.8429999999999995,1.332,1.6884000000000001,7.692719999999999,153.64963980845863,1390.5616252254574,1,8.439576486417678
Round_9_Goodyear_D0571_18p0x6p5_10_6in_12psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 12 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_12psi_MF52_UM14.tir,0.2032,0.2286,0.025400000000000006,25.400000000000006,0.30501567837774424,9.083896921433034,0.1651,0.127,0.1524,1.5675,1.4400000000000002,1.4400000000000002,6.0713550000000005,1.6149999999999998,1.425,1.5120000000000002,6.4864575,1.7575,1.3950000000000002,1.6200000000000003,7.20138,1.9,1.3350000000000002,1.782,8.206860000000002,2.09,1.065,1.98,9.0389175,1.786,1.332,1.6668000000000003,7.400994,161.60553734238596,1383.7220417731864,1,10.892712730835724
Round_9_Goodyear_D0571_18p0x6p5_10_6in_14psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 14 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_14psi_MF52_UM14.tir,0.2032,0.2286,0.025400000000000006,25.400000000000006,0.30501567837774424,9.083896921433034,0.1651,0.127,0.1524,1.5199999999999998,1.4400000000000002,1.3860000000000001,5.7666900000000005,1.5675,1.425,1.4580000000000002,6.172245,1.71,1.3950000000000002,1.5660000000000003,6.866362500000001,1.8524999999999998,1.3350000000000002,1.728,7.833082500000001,2.0425,1.065,1.926,8.624955,1.7384999999999997,1.332,1.6128,7.052667,161.60553734238596,1368.9265607869881,1,9.918281192710905
Round_9_Goodyear_D0571_18p0x6p5_10_6in_8psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 8 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_8psi_MF52_UM14.tir,0.2032,0.2286,0.025400000000000006,25.400000000000006,0.30501567837774424,9.083896921433034,0.1651,0.127,0.1524,1.6624999999999999,1.4400000000000002,1.4220000000000002,6.405374999999999,1.7575,1.425,1.4940000000000002,6.845272500000001,1.8524999999999998,1.3950000000000002,1.6020000000000003,7.6361475,1.9949999999999999,1.3350000000000002,1.764,8.691075000000001,2.2325,1.065,1.98,9.546502499999999,1.9,1.332,1.6524,7.8248745,153.64963980845863,1388.2581475809784,1,0.0
Round_9_Goodyear_D0571_18p0x6p5_10_7in_10psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 10 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_10psi_MF52_UM14.tir,0.2032,0.2286,0.025400000000000006,25.400000000000006,0.30501567837774424,9.083896921433034,0.1651,0.127,0.1778,1.6149999999999998,1.4400000000000002,1.4400000000000002,6.2178450000000005,1.71,1.425,1.4940000000000002,6.643777499999999,1.8049999999999997,1.3950000000000002,1.6200000000000003,7.4269575,1.9474999999999998,1.3350000000000002,1.782,8.464357500000002,2.1374999999999997,1.065,1.98,9.307102499999997,1.8429999999999995,1.332,1.6632000000000002,7.612008,157.4297279816186,1385.9546699364994,1,11.336147349012435
Round_9_Goodyear_D0571_18p0x6p5_10_7in_12psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 12 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_12psi_MF52_UM14.tir,0.2032,0.2286,0.025400000000000006,25.400000000000006,0.30501567837774424,9.083896921433034,0.1651,0.127,0.1778,1.5675,1.4400000000000002,1.4580000000000002,6.041144999999998,1.6149999999999998,1.425,1.5300000000000002,6.4630875,1.71,1.3950000000000002,1.6380000000000003,7.17972,1.9,1.3350000000000002,1.8,8.188335,2.09,1.065,2.016,9.023955,1.7765,1.332,1.6884000000000001,7.3792485,161.60553734238596,1387.0709840181557,1,14.556332404333906
Round_9_Goodyear_D0571_18p0x6p5_10_7in_14psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 14 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_14psi_MF52_UM14.tir,0.2032,0.2286,0.025400000000000006,25.400000000000006,0.30501567837774424,9.083896921433034,0.1651,0.127,0.1778,1.5199999999999998,1.4400000000000002,1.3860000000000001,5.710260000000001,1.5675,1.425,1.4580000000000002,6.118665000000001,1.6624999999999999,1.3950000000000002,1.5660000000000003,6.7991025,1.8049999999999997,1.3350000000000002,1.728,7.7718075,1.9949999999999999,1.065,1.926,8.56368,1.7099999999999997,1.332,1.6128,6.992703000000001,165.38562551554594,1368.9265607869881,1,15.38677638638355
Round_9_Goodyear_D0571_18p0x6p5_10_7in_8psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 8 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_8psi_MF52_UM14.tir,0.2032,0.2286,0.025400000000000006,25.400000000000006,0.30501567837774424,9.083896921433034,0.1651,0.127,0.1778,1.6149999999999998,1.4400000000000002,1.4400000000000002,6.2613075,1.71,1.425,1.5120000000000002,6.732982499999999,1.8049999999999997,1.3950000000000002,1.6200000000000003,7.483245,1.9949999999999999,1.3350000000000002,1.782,8.521072499999999,2.1849999999999996,1.065,1.98,9.3777825,1.8619999999999997,1.332,1.6668000000000003,7.6752780000000005,157.4297279816186,1387.141833499322,1,2.0270250927589375
Round_9_Goodyear_D2704_20p0x7p0_13_7in_10psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 10 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_10psi_MF52_UM14.tir,0.2032,0.254,0.05080000000000001,50.80000000000001,0.33041567837774427,18.167793842866068,0.1778,0.1651,0.1778,1.6624999999999999,1.4400000000000002,1.4040000000000001,6.180225,1.7575,1.425,1.4760000000000002,6.623257499999999,1.8524999999999998,1.3950000000000002,1.5840000000000003,7.41057,2.0425,1.3350000000000002,1.746,8.4597975,2.2325,1.065,1.944,9.32976,1.9095,1.332,1.6308,7.600722,130.96316636420872,1420.161112238217,1,0.0
