candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,use_mode,fnomin_n,fzmin_n,fzmax_n,unloaded_radius_m,width_m,rim_width_m,vertical_stiffness_n_per_m,vertical_damping_n_s_per_m,mu_y,mu_x,mu_x_to_y,ky_norm_per_rad,kx_norm,sigma_alpha_m,sigma_kappa_m,lateral_nrmse,longitudinal_nrmse,fx_combined_nrmse,fy_combined_nrmse,lateral_relaxation_sigma_rmse_m,longitudinal_combined_source,lateral_relaxation_source,notes
current_hybrid_reference,current hybrid reference,current_reference,Current,Hybrid,Current Hybrid,16x7.5-10,7.0,12.0,1,vehicles/current/tires/16x7p5_10_12psi.tir,14.0,650.0,100.0,1800.0,0.2032,0.1905,0.1778,100000.0,100.0,2.40275,2.597991,nan,38.00487325809789,55.079922,3.330134,0.0,nan,nan,nan,nan,nan,hybrid_reference,hybrid_reference,Existing vehicle target/reference tire.
Round_9_Goodyear_D0571_18p0x6p5_10_6in_10psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 10 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_10psi_MF52_UM14.tir,14.0,657.91,174.44135,1282.33775,0.2286,0.1651,0.1524,100000.0,100.0,2.65280546,2.41529483,0.9104681313495185,48.68713834756849,50.1482339,0.360840414975396,0.2385468054690571,0.013111285896283478,0.024645171469247818,0.05505056056195515,0.06143956819760753,0.09412028283974032,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_6in_12psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 12 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_12psi_MF52_UM14.tir,14.0,667.33,170.96,1247.8025,0.2286,0.1651,0.1524,100000.0,100.0,2.52958663,2.35794457,0.9321462020852,48.87008471332108,54.4586745,0.26990410942456483,0.23569768923870751,0.013674371622911175,0.03332421779457174,0.04930856817033958,0.06527027360647207,0.10379398910295544,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_6in_14psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 14 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_14psi_MF52_UM14.tir,14.0,680.36,168.0983,1245.4039,0.2286,0.1651,0.1524,100000.0,100.0,2.4207934,2.22876847,0.9206768615611725,46.912194457663,41.6127472,0.2811786640667853,0.2291506042689479,0.011989344777308583,0.022032713019267774,0.03851045503602147,0.05787998111058508,0.0701835729542013,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_6in_8psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 6in 8 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,6.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_6in_8psi_MF52_UM14.tir,14.0,642.52,177.9918,1389.1148,0.2286,0.1651,0.1524,100000.0,100.0,2.78726867,2.33884518,0.839117235153366,42.05771321983146,54.4837374,0.3836361470641926,0.23474117102795153,0.01232236336785777,0.030411299922737046,0.07088413928820772,0.07891405313586765,nan,direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Goodyear_D0571_18p0x6p5_10_7in_10psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 10 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_10psi_MF52_UM14.tir,14.0,670.425,198.5224,1244.838,0.2286,0.1651,0.1778,100000.0,100.0,2.66054916,2.42455605,0.9112990981155185,53.52933034288403,53.1365234,0.2653070661940847,0.23900371054004,0.012541536064079931,0.022538411484279007,0.0403100999793577,0.057037775467880594,0.09248892348654808,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_7in_12psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 12 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,12.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_12psi_MF52_UM14.tir,14.0,669.895,196.08,1210.82,0.2286,0.1651,0.1778,100000.0,100.0,2.5202,2.42989288,0.9641666851837156,51.59786851665157,52.773241,0.2428701972374496,0.23926660816971843,0.013478129546285423,0.030227086399146643,0.04135947274550356,0.0678314305344948,0.09515812871311033,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_7in_14psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 14 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,14.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_14psi_MF52_UM14.tir,14.0,673.38,199.52,1186.3808,0.2286,0.1651,0.1778,100000.0,100.0,2.39984201,2.25795487,0.9408764662803781,47.902599351911626,41.7337158,0.22476161829060898,0.23064612239845345,0.011117101803350399,0.020962507928514815,0.03384220482846585,0.05999538768042317,0.07651749238555113,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
Round_9_Goodyear_D0571_18p0x6p5_10_7in_8psi_MF52_UM14,Goodyear D0571 18.0x6.5-10 7in 8 psi,round9_fitted_full_um14,Goodyear,D0571,Goodyear D0571,18.0x6.5-10,7.0,8.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D0571_18p0x6p5_10_7in_8psi_MF52_UM14.tir,14.0,664.85,193.00575,1359.58275,0.2286,0.1651,0.1778,100000.0,100.0,2.72242834,2.37823074,0.873569638200284,46.61248328744829,56.3628298,0.2848584084775235,0.23670941027460693,0.013699034266049605,0.026092610782806704,0.05327814140817674,0.05294743119486798,nan,direct_drive_brake,"transient_step_steer_pressure_extrapolated_from:10,12,14","Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_pressure_extrapolated_from:10,12,14."
Round_9_Goodyear_D2704_20p0x7p0_13_7in_10psi_MF52_UM14,Goodyear D2704 20.0x7.0-13 7in 10 psi,round9_fitted_full_um14,Goodyear,D2704,Goodyear D2704,20.0x7.0-13,7.0,10.0,0,vehicles/current/tires/round_9_fitted_full_um14/Round_9_Goodyear_D2704_20p0x7p0_13_7in_10psi_MF52_UM14.tir,14.0,661.765,185.196,1722.72,0.254,0.1778,0.1778,100000.0,100.0,3.05896215,2.43416088,0.79574730272488,58.560214077798086,48.1408003,0.29930919554256435,0.26608516307094254,0.014898558833285216,0.023204004995157842,0.04182974954890185,0.061207570103124574,0.04559881719707747,direct_drive_brake,transient_step_steer_fit,Round 9 fitted full UM14 tire. Longitudinal/combined source: direct_drive_brake. Lateral relaxation source: transient_step_steer_fit.
