candidate_id,label,temperature_status,transient_run,transient_pressure_psi,transient_temperature_samples,transient_elapsed_time_min_s,transient_elapsed_time_max_s,transient_tread_mean_c,transient_tread_peak_c,transient_tread_start_c,transient_tread_end_c,transient_tread_rise_c,transient_tread_inner_mean_c,transient_tread_center_mean_c,transient_tread_outer_mean_c,transient_tread_inner_minus_outer_c,transient_surface_spread_mean_c,transient_rim_temp_mean_c,transient_ambient_temp_mean_c
Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 10 psi,ok,2,10.0,18999,378.14,578.018,28.466008912749796,29.46666666666667,28.78644912280702,28.966691228070175,0.18024210526315443,27.474916574556552,28.248244118111476,29.674866045581346,-2.1999494710247904,2.2015932417495656,29.216674561819048,25.480055266066632
Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 12 psi,ok,2,12.0,20199,0.16,363.02,28.93516510718352,30.47666666666667,27.006171617161712,29.302059405940597,2.2958877887788844,27.479084113074904,28.424983415020545,30.901427793455124,-3.4223436803802167,3.4305396306747857,28.877720679241545,25.736589435120553
Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM14,Hoosier 43075 16x7.5-10 7in 14 psi,ok,2,14.0,19535,593.138,798.592,28.45624929613514,29.55,28.58088365745479,28.930535653360625,0.34965199590583396,27.577067315075514,28.464453033017666,29.327227540312254,-1.7501602252367545,1.7551661121064754,29.661917071922186,25.26348093166112
Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 10 psi,ok,7,10.0,18997,378.13,578.008,31.075993928865966,32.21333333333333,31.173761403508774,31.549642105263153,0.3758807017543795,30.36650365847239,30.442313523187877,32.41916460493762,-2.052660946465231,2.153956414170658,32.69279781018055,26.63390272148234
Round_9_Hoosier_43075_16x7p5_10_r20_8in_12psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 12 psi,ok,7,12.0,20195,0.15,363.01,30.699011801601056,32.33,27.407009900990097,31.56153795379538,4.154528052805283,29.355420153503342,30.418900717999502,32.32271453330032,-2.9672943797969795,3.014409507303788,32.76847090864075,26.566564000990343
Round_9_Hoosier_43075_16x7p5_10_r20_8in_14psi_MF52_UM14,Hoosier 43075 16x7.5-10 8in 14 psi,ok,7,14.0,16696,593.128,798.652,31.164630849704523,32.18,31.27183233532934,31.46576846307385,0.19393612774451086,30.696436272160998,30.64322891710589,32.15422735984667,-1.4577910876856732,1.605683397220891,32.64769705318639,26.664672975563008
Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 10 psi,ok,10,10.0,18999,378.12,577.998,31.108226924224084,32.193333333333335,31.200389473684215,31.652063157894737,0.45167368421052245,30.654939207326706,30.30213484920259,32.36760671614295,-1.7126675088162533,2.091412705931891,32.59652034317596,26.723741249539447
Round_9_Hoosier_43070_16x6p0_10_r20_6in_12psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 12 psi,ok,10,12.0,20199,0.14,363.0,30.810507450863902,32.343333333333334,27.457171617161716,31.647290429042904,4.190118811881188,29.9290217337492,30.189122233773947,32.31337838506857,-2.3843566513193726,2.557533541264419,32.64865587405317,26.57414624486361
Round_9_Hoosier_43070_16x6p0_10_r20_6in_14psi_MF52_UM14,Hoosier 43070 16x6.0-10 6in 14 psi,ok,10,14.0,19549,593.117,798.492,31.15448275274098,32.25666666666667,31.348220858895704,31.56496591683708,0.21674505794137744,30.88962402168909,30.517496035602846,32.056328200931,-1.166704179241905,1.551446621310553,32.336947158422426,26.788146196736406
Round_9_Hoosier_43070_16x6p0_10_r20_7in_10psi_MF52_UM14,Hoosier 43070 16x6.0-10 7in 10 psi,ok,13,10.0,18999,378.13,578.008,31.836379984911485,32.99333333333334,32.20935438596491,32.46170175438597,0.25234736842106287,31.45041844307595,31.114674456550343,32.944047055108165,-1.493628612032212,1.848934680772672,33.07104952892257,26.892840675825045
