compound,model,size,rim_width_in,setup_id,label,run,pressure_psi,window,status,samples,peak_mu_y_p95,ky_norm_per_rad,tread_mean_c,tread_peak_c,surface_spread_mean_c,inner_minus_outer_c,rim_temp_mean_c,ambient_temp_mean_c
R25B,43075,16x7.5-10,7.0,R25B_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 R25B 7in,4,8.0,final_run_8psi,ok,19994,3.153974853199261,35.092624375765226,60.87413357340536,72.97333333333334,6.7450580174052215,-6.10814944483345,34.850887266179846,27.046885565669697
R25B,43075,16x7.5-10,7.0,R25B_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 R25B 7in,2,10.0,initial_run_10psi,ok,19968,2.9018649806779186,36.2533238374236,58.60938100961539,70.87333333333333,9.434263822115385,-9.397410356570512,33.302016726762815,25.67184294871795
R25B,43075,16x7.5-10,7.0,R25B_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 R25B 7in,2,12.0,initial_run_12psi,ok,19790,2.8391367363363864,35.24359873169767,59.41107023749369,74.59333333333335,8.127201616978272,-7.699419403739263,32.40658160687216,25.540561394643756
R25B,43075,16x7.5-10,7.0,R25B_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 R25B 7in,4,12.0,final_run_12psi,ok,19980,2.8380731703351745,33.150349171819805,59.787718551885206,71.41000000000001,9.066902402402404,-8.519115615615615,34.153861361361365,27.45522372372373
R25B,43075,16x7.5-10,7.0,R25B_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 R25B 7in,2,14.0,initial_run_14psi,ok,19942,2.7044883016429,32.826486538952715,58.205213452345134,71.22,11.407730418212816,-11.292983652592518,33.557327249022165,25.78513940427239
R25B,43075,16x7.5-10,8.0,R25B_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 R25B 8in,7,8.0,final_run_8psi,ok,19972,3.1327620432469754,37.282002118952015,58.816681020094805,69.92666666666666,5.33543360704987,-5.1133361706388945,34.09727218105348,27.933976567194076
R25B,43075,16x7.5-10,8.0,R25B_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 R25B 8in,6,10.0,initial_run_10psi,ok,19979,2.924086574953289,37.90753353918569,56.95119225186446,67.88333333333334,5.639154612342961,-5.47805195455228,33.137544922168274,27.622699834826562
R25B,43075,16x7.5-10,8.0,R25B_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 R25B 8in,6,12.0,initial_run_12psi,ok,19932,2.8800871990491004,36.691108792433496,57.56827864740116,71.72333333333334,5.09212673088501,-3.7283639373871162,32.414946317479426,27.376489564519364
R25B,43075,16x7.5-10,8.0,R25B_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 R25B 8in,7,12.0,final_run_12psi,ok,19976,2.876688569136127,34.33186884941468,56.48754271792818,66.63666666666666,6.644498898678415,-6.45918952743292,33.56804865839007,27.98502703243893
R25B,43075,16x7.5-10,8.0,R25B_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 R25B 8in,6,14.0,initial_run_14psi,ok,19950,2.692516567586391,33.391675844184206,56.89161086048455,68.46333333333332,7.502503759398497,-7.13358947368421,33.412642606516286,27.838426065162913
R25B,43070,16x6.0-10,6.0,R25B_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 R25B 6in,10,8.0,final_run_8psi,ok,19977,3.024081459554565,30.39111802769259,60.2774849410155,68.95,8.359255643990588,-6.541257946638635,33.38343044501176,27.98637382990439
R25B,43070,16x6.0-10,6.0,R25B_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 R25B 6in,9,10.0,initial_run_10psi,ok,19965,2.9081979516054415,32.02416873317979,58.27774572167961,67.28,10.198054595542198,-8.800341597796143,32.25740746306035,28.05853443526171
R25B,43070,16x6.0-10,6.0,R25B_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 R25B 6in,9,12.0,initial_run_12psi,ok,19915,2.8126094092065848,31.705355436756722,58.67699204954389,67.89666666666666,10.071076073311575,-7.402422796886769,31.30611749937233,27.782954054732613
R25B,43070,16x6.0-10,6.0,R25B_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 R25B 6in,10,12.0,final_run_12psi,ok,19964,2.748517171174313,29.59669113055848,59.203760769384886,68.61333333333333,10.326652975355639,-9.169950911640953,32.94507964335805,28.21110899619315
R25B,43070,16x6.0-10,6.0,R25B_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 R25B 6in,9,14.0,initial_run_14psi,ok,19946,2.68864001992759,29.866086580311055,58.46351315217755,68.48,12.178707008924095,-10.617161836959793,32.54980146395267,28.129206357164346
R25B,43070,16x6.0-10,7.0,R25B_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 R25B 7in,13,8.0,final_run_8psi,ok,19979,3.032110640185603,33.9698317230507,61.29682149590404,73.78999999999999,7.058526452775413,-5.9073607287652035,33.185810100605636,28.13111316882727
R25B,43070,16x6.0-10,7.0,R25B_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 R25B 7in,12,10.0,initial_run_10psi,ok,19158,2.8823650365956515,35.3991448718413,58.70766729303686,69.83333333333333,8.307689215993319,-7.196511640045935,32.010356509030174,28.09579079235828
R25B,43070,16x6.0-10,7.0,R25B_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 R25B 7in,12,12.0,initial_run_12psi,ok,19796,2.772526782514649,34.33604189346638,58.78206758941201,72.96333333333332,8.074383208729035,-5.715083855324309,30.819323095574862,27.87444281673065
R25B,43070,16x6.0-10,7.0,R25B_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 R25B 7in,13,12.0,final_run_12psi,ok,19968,2.8037615351192278,32.455124681539694,59.473945980235044,70.50666666666667,8.689304887820514,-7.205082632211536,32.86932892628205,28.13910306490385
R25B,43070,16x6.0-10,7.0,R25B_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 R25B 7in,12,14.0,initial_run_14psi,ok,19792,2.667619063399503,32.0548893826249,58.58794260307195,71.05333333333334,9.95783245755861,-7.895514349232013,32.22685175828617,28.151543552950685
