compound,model,size,rim_width_in,setup_id,label,transient_run,pressure_psi,samples,elapsed_time_min_s,elapsed_time_max_s,tread_mean_c,tread_peak_c,tread_start_c,tread_end_c,tread_rise_c,inner_mean_c,center_mean_c,outer_mean_c,inner_minus_outer_c,surface_spread_mean_c,rim_temp_mean_c,ambient_temp_mean_c
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,14,10.0,18999,378.12,577.998,28.468027089145043,29.27333333333333,28.588273684210527,28.79115789473684,0.20288421052631378,26.649562608558345,29.168949944733928,29.58556871414285,-2.936006105584504,2.9369561555871364,26.557221432706985,26.813108584662352
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,14,12.0,20156,0.14,363.0,28.460923132896742,30.210000000000004,25.967609126984126,29.194348544973543,3.2267394179894175,26.827028180194485,28.763887676126213,29.791853542369516,-2.9648253621750347,2.989273665409803,28.397886485413775,26.747902857709864
LC0,43075,16x7.5-10,8.0,LC0_43075_16x7p5_10_8in,Hoosier 43075 16x7.5-10 LC0 8in,14,14.0,19492,593.117,798.412,28.361736267870583,29.233333333333334,28.444632478632478,28.51119658119658,0.06656410256410084,26.452595423763594,29.244004206854093,29.388609172994048,-2.9360137492304537,2.9705104658321364,25.621601682741638,26.88473219782475
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,17,10.0,18999,378.13,578.008,30.297905152902786,31.2,30.42846666666667,30.59906666666667,0.1706000000000003,28.478793620716885,31.176559292594344,31.238362545397127,-2.7595689246802464,2.816708774146008,29.293763882309594,27.756470866887735
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,17,12.0,20186,0.15,363.01,30.577027973182737,31.94666666666667,28.702947194719474,31.08841584158416,2.385468646864684,28.488521747745963,31.796405924898444,31.4461562469038,-2.957634499157832,3.348118993361736,31.096436639254936,27.719312394729023
LC0,43075,16x7.5-10,7.0,LC0_43075_16x7p5_10_7in,Hoosier 43075 16x7.5-10 LC0 7in,17,14.0,19466,593.128,798.232,29.998142744614544,30.790000000000003,30.12893223819302,30.079835728952773,-0.04909650924024689,28.401124524812495,30.584704613171684,31.00859909585944,-2.607474571046954,2.607541867872188,28.361120928798936,27.7782430905168
LC0,43070,16x6.0-10,6.0,LC0_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 LC0 6in,20,10.0,18996,378.12,577.998,32.102312767600196,32.86333333333334,32.41593684210526,32.4682701754386,0.052333333333336896,30.85317329964203,32.40104179827332,33.05272320488523,-2.199549905243209,2.199549905243209,31.015917561591912,28.720911244472518
LC0,43070,16x6.0-10,6.0,LC0_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 LC0 6in,20,12.0,20196,0.14,363.0,32.65572968244537,34.03,30.21232673267327,33.15545874587459,2.9431320132013212,31.06207169736582,33.1778248167954,33.7272925331749,-2.6652208358090714,2.7100960586254708,32.9545954644484,28.715033670033673
LC0,43070,16x6.0-10,6.0,LC0_43070_16x6p0_10_6in,Hoosier 43070 16x6.0-10 LC0 6in,20,14.0,19506,593.117,798.612,31.632464369937455,32.52,31.834982923497268,31.768828551912566,-0.06615437158470172,30.643821900953558,31.755930482928328,32.49764072593049,-1.85381882497693,1.85381882497693,29.938413821388288,28.443984927714556
LC0,43070,16x6.0-10,7.0,LC0_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 LC0 7in,23,10.0,18949,378.13,578.008,32.292856615124805,33.18333333333333,32.51209212376934,32.63617791842476,0.12408579465541436,31.121085545411365,32.66087075835137,33.096613541611696,-1.9755279962003272,1.976051506675814,31.344512111457064,28.46840519288617
LC0,43070,16x6.0-10,7.0,LC0_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 LC0 7in,23,12.0,20197,0.15,363.01,32.790701754385964,34.660000000000004,30.12808580858086,33.19161056105611,3.0635247524752494,31.330354508095258,33.44843293558449,33.59331781947814,-2.2629633113828787,2.3379224637322378,33.28254790315393,28.50229539040452
LC0,43070,16x6.0-10,7.0,LC0_43070_16x6p0_10_7in,Hoosier 43070 16x6.0-10 LC0 7in,23,14.0,19514,593.128,798.492,31.936162584127633,32.879999999999995,32.09780396174863,32.033811475409834,-0.0639924863387975,31.012919442451572,31.97485241365174,32.820715896279594,-1.8077964538280207,1.8077964538280207,30.332077482832833,28.465055344880604
