candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,longitudinal_combined_source,lateral_relaxation_source,notes
current_hybrid_reference,current hybrid reference,current_reference,Current,Hybrid,Current Hybrid,16x7.5-10,7.0,12.0,1,vehicles/current/tires/16x7p5_10_12psi.tir,hybrid_reference,hybrid_reference,Existing vehicle target/reference tire.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 6in 10 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,6.0,10.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 6in 12 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,6.0,12.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 6in 14 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,6.0,14.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 6in 8 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,6.0,8.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 7in 10 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,7.0,10.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 7in 12 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,7.0,12.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 7in 14 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,7.0,14.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 7in 8 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,7.0,8.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43075 16x7.5-10 7in 10 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43075,Hoosier LC0 43075,16x7.5-10,7.0,10.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
