candidate_id,label,source,brand,model,family,tire_size,rim_width_in,pressure_psi,is_reference,path,use_mode,fnomin_n,fzmin_n,fzmax_n,unloaded_radius_m,width_m,rim_width_m,vertical_stiffness_n_per_m,vertical_damping_n_s_per_m,mu_y,mu_x,mu_x_to_y,ky_norm_per_rad,kx_norm,sigma_alpha_m,sigma_kappa_m,lateral_nrmse,longitudinal_nrmse,fx_combined_nrmse,fy_combined_nrmse,lateral_relaxation_sigma_rmse_m,longitudinal_combined_source,lateral_relaxation_source,notes
current_hybrid_reference,current hybrid reference,current_reference,Current,Hybrid,Current Hybrid,16x7.5-10,7.0,12.0,1,vehicles/current/tires/16x7p5_10_12psi.tir,14.0,650.0,100.0,1800.0,0.2032,0.1905,0.1778,100000.0,100.0,2.40275,2.597991,nan,38.00487325809789,55.079922,3.330134,0.0,nan,nan,nan,nan,nan,hybrid_reference,hybrid_reference,Existing vehicle target/reference tire.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 6in 10 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,6.0,10.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1093.0,0.2026,0.15,0.1524,83185.0,100.343,2.51186,2.597991,nan,38.74119641558129,55.079922,0.0,0.0,nan,nan,nan,nan,nan,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 6in 12 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,6.0,12.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,655.0,100.0,1092.0,0.2032,0.15,0.1524,88439.0,103.463,2.25676,2.597991,nan,34.977796259569786,55.079922,0.0,0.0,nan,nan,nan,nan,nan,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 6in 14 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,6.0,14.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,657.0,100.0,1093.0,0.2045,0.15,0.1524,95444.0,107.483,2.24012,2.597991,nan,34.55643257650864,55.079922,0.0,0.0,nan,nan,nan,nan,nan,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 6in 8 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,6.0,8.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,655.0,100.0,1092.0,0.2009,0.15,0.1524,72152.0,93.452,2.49238,2.597991,nan,36.869148202084,55.079922,0.0,0.0,nan,nan,nan,nan,nan,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 7in 10 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,7.0,10.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1091.0,0.2021,0.15,0.1778,85287.0,105.242,2.52968,2.597991,nan,42.92009561546248,55.079922,0.0,0.0,nan,nan,nan,nan,nan,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 7in 12 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,7.0,12.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,659.0,100.0,1094.0,0.2026,0.15,0.1778,90365.0,108.33,2.27989,2.597991,nan,38.06075872706723,55.079922,0.0,0.0,nan,nan,nan,nan,nan,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 7in 14 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,7.0,14.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1091.0,0.2037,0.15,0.1778,95969.0,111.639,2.26501,2.597991,nan,36.97474729672663,55.079922,0.0,0.0,nan,nan,nan,nan,nan,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43070 16x6.0-10 7in 8 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43070,Hoosier LC0 43070,16x6.0-10,7.0,8.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,659.0,100.0,1094.0,0.2005,0.15,0.1778,74954.0,98.6612,2.47522,2.597991,nan,42.13079881387433,55.079922,0.0,0.0,nan,nan,nan,nan,nan,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
Round_8_Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3,Hoosier LC0 43075 16x7.5-10 7in 10 psi,round8_lc0_fabricated_longitudinal_um3,Hoosier,LC0 43075,Hoosier LC0 43075,16x7.5-10,7.0,10.0,0,vehicles/current/tires/round_8_fabricated_longitudinal_um3/Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,3.0,656.0,100.0,1091.0,0.2057,0.19,0.1778,87739.0,108.252,2.66799,2.597991,nan,41.018761860551265,55.079922,0.0,0.0,nan,nan,nan,nan,nan,fabricated_longitudinal_no_combined,not_available_round8_lc0_um3,Round 8 LC0 PAC2002 USE_MODE=3 tire. Pure longitudinal terms are fabricated from the reference tire and combined-slip longitudinal terms are zeroed.
