metric,metric_unprefixed,rank,input,span,span_pct,baseline,input_baseline,n_points
limit_ay_mps2,limit_ay_mps2,1,front.wheel.camber_deg,2.7269853162285287,14.274227226219978,19.10425883664929,-0.0,4
limit_ay_mps2,limit_ay_mps2,2,aero.load_scale,1.5871355706901689,8.30775788927982,19.10425883664929,1.0,4
sideslip_gradient_deg_per_g,sideslip_gradient_deg_per_g,1,rear.wheel.camber_deg,0.8688598112799929,347.966245366988,0.2496965791505542,-0.0,4
sideslip_gradient_deg_per_g,sideslip_gradient_deg_per_g,2,rear.stabar.rate_n_m_per_rad,0.1663969709902335,66.63966785460232,0.2496965791505542,535.473018735,3
limit_sideslip_gradient_deg_per_g,limit_sideslip_gradient_deg_per_g,1,rear.wheel.camber_deg,4.439314026178142,127.39105067413512,-3.4847926935887017,-0.0,4
limit_sideslip_gradient_deg_per_g,limit_sideslip_gradient_deg_per_g,2,front.wheel.camber_deg,1.5838484309515328,45.45029131475989,-3.4847926935887017,-0.0,4
understeer_gradient_deg_per_g,understeer_gradient_deg_per_g,1,rear.wheel.camber_deg,0.2520094751107332,978.9721710462117,0.0257422511654662,-0.0,4
understeer_gradient_deg_per_g,understeer_gradient_deg_per_g,2,rear.stabar.rate_n_m_per_rad,0.1301615493384904,505.6339031961004,0.0257422511654662,535.473018735,3
limit_understeer_gradient_deg_per_g,limit_understeer_gradient_deg_per_g,1,rear.wheel.camber_deg,6.539171461468304,1098.0908764210694,-0.5955036693120489,-0.0,4
limit_understeer_gradient_deg_per_g,limit_understeer_gradient_deg_per_g,2,rear.stabar.rate_n_m_per_rad,1.1196312133297823,188.01415860681897,-0.5955036693120489,535.473018735,3
handwheel_angle_gradient_deg_per_g,handwheel_angle_gradient_deg_per_g,1,front.wheel.camber_deg,0.3208105195113582,1.941494773656864,16.52389302635628,-0.0,4
handwheel_angle_gradient_deg_per_g,handwheel_angle_gradient_deg_per_g,2,rear.wheel.camber_deg,0.2964723362610755,1.7942039190655017,16.52389302635628,-0.0,4
limit_handwheel_gradient_deg_per_g,limit_handwheel_gradient_deg_per_g,1,rear.wheel.camber_deg,2.623268740104608,14.2199153226921,18.44785064168704,-0.0,4
limit_handwheel_gradient_deg_per_g,limit_handwheel_gradient_deg_per_g,2,rear.stabar.rate_n_m_per_rad,1.7226493166575558,9.33794050112724,18.44785064168704,535.473018735,3
roll_gradient_deg_per_g,roll_gradient_deg_per_g,1,sprung_mass.cg_m.z,0.1023310752029098,11.4730995139237,0.8919217956640342,0.25,4
roll_gradient_deg_per_g,roll_gradient_deg_per_g,2,sprung_mass.mass_kg,0.0625550848895806,7.013516789665227,0.8919217956640342,160.64,4
limit_roll_gradient_deg_per_g,limit_roll_gradient_deg_per_g,1,sprung_mass.cg_m.z,0.1289923591250477,15.460664614261924,0.8343260936276746,0.25,4
limit_roll_gradient_deg_per_g,limit_roll_gradient_deg_per_g,2,sprung_mass.mass_kg,0.0853698815015552,10.232196038645329,0.8343260936276746,160.64,4
