front_ride_height_in,rear_ride_height_in,cl,cd,fz_n,fx_n,mx_nm,my_nm,mz_nm
1.4000,1.6500,1.1736,0.5863,161.7379,80.7986,67.3388,-251.2587,30.5855
1.4000,2.5000,1.1112,0.5876,153.1401,80.9749,64.4234,-259.5945,35.2995
1.4000,3.3000,0.9627,0.5939,132.6786,81.8435,59.0409,-271.8122,36.4593
1.4000,4.1000,0.7835,0.5777,107.9693,79.6167,52.4527,-274.5288,39.6766
2.1000,1.6500,1.0682,0.5970,147.2059,82.2735,62.1824,-230.6561,20.2251
2.1000,3.3000,1.2391,0.6253,170.7603,86.1779,70.2970,-268.0828,26.6943
2.1000,4.1000,1.2035,0.6247,165.8600,86.0919,70.1172,-271.5582,38.6983
2.1000,4.9500,1.0932,0.6175,150.6537,85.1031,64.5983,-278.5465,38.7101
2.8000,1.6500,0.9573,0.5777,131.9303,79.6194,56.6292,-216.6613,19.6735
2.8000,2.5000,1.0745,0.6078,148.0796,83.7600,62.3168,-240.7841,19.0548
2.8000,3.3000,1.1603,0.6257,159.8995,86.2301,66.4454,-256.2496,20.2878
2.8000,4.1000,1.2320,0.6402,169.7841,88.2285,70.5332,-268.5392,24.1933
2.8000,4.9500,1.2745,0.6535,175.6373,90.0656,72.3010,-276.6542,25.0432
3.5000,1.6500,0.8651,0.5674,119.2166,78.1912,52.7975,-202.8485,19.6157
3.5000,2.5000,0.9484,0.5887,130.7024,81.1352,57.1988,-217.5691,21.2120
3.5000,3.3000,1.0397,0.6135,143.2776,84.5520,61.9635,-235.5897,21.7999
3.5000,4.1000,1.1092,0.6335,152.8575,87.3099,65.7843,-246.9616,24.0418
3.5000,4.9500,1.2059,0.6489,166.1884,89.4312,70.1818,-264.2709,22.7023
4.2000,1.6500,0.7967,0.5648,109.7918,77.8347,49.1021,-193.9678,19.0574
4.2000,4.1000,1.0309,0.6144,142.0696,84.6660,60.9490,-237.0325,19.0443
4.2000,4.9500,1.1036,0.6346,152.0952,87.4556,65.6100,-249.1606,20.9816
