front_ride_height_in,rear_ride_height_in,source_status,original_front_fraction,adjusted_front_fraction,downforce_n,drag_n,adjusted_my_nm
1.4000,1.6500,accepted,-0.002641670,0.512320986,323.475800,161.597200,-567.897309176
1.4000,2.5000,accepted,-0.094064691,0.476756478,306.280200,161.949800,-554.585700858
1.4000,3.3000,accepted,-0.322222390,0.388000754,265.357200,163.687000,-516.977294494
1.4000,4.1000,accepted,-0.641058518,0.263970177,215.938600,159.233400,-462.195978294
1.4000,4.9500,inferred_fill,-1.191095646,0.050000000,163.431338,154.501450,-403.990829833
2.1000,1.6500,accepted,-0.011291063,0.508956282,294.411800,164.547000,-518.407112677
2.1000,2.5000,inferred_fill,-0.072140737,0.485285124,301.219700,164.734900,-541.442181961
2.1000,3.3000,accepted,-0.013254365,0.508192537,341.520600,172.355800,-601.761515397
2.1000,4.1000,accepted,-0.056714586,0.491286058,331.720000,172.183800,-593.182166330
2.1000,4.9500,accepted,-0.193312927,0.438147879,301.307400,170.206200,-563.605642480
2.8000,1.6500,accepted,-0.059920364,0.490038977,263.860600,159.238800,-472.345731454
2.8000,2.5000,accepted,-0.049467549,0.494105231,296.159200,167.520000,-528.298663064
2.8000,3.3000,accepted,-0.034314307,0.500000000,319.799000,172.460200,-567.547289138
2.8000,4.1000,accepted,-0.020815171,0.505251305,339.568200,176.457000,-599.868835487
2.8000,4.9500,accepted,-0.016616039,0.506884811,351.274600,180.131200,-619.659876158
3.5000,1.6500,accepted,-0.098174893,0.475157566,238.433200,156.382400,-432.324903562
3.5000,2.5000,accepted,-0.074360653,0.484421554,261.404800,162.270400,-470.224693339
3.5000,3.3000,accepted,-0.061242032,0.489524834,286.555200,169.104000,-513.200371446
3.5000,4.1000,accepted,-0.042747409,0.496719435,305.715000,174.619800,-544.106335047
3.5000,4.9500,accepted,-0.026325404,0.503107767,332.376800,178.862400,-588.268658911
4.2000,1.6500,accepted,-0.140239749,0.458793899,219.583600,155.669400,-403.714274075
4.2000,2.5000,inferred_fill,-0.106887936,0.471768102,226.650400,157.020800,-412.150723615
4.2000,3.3000,inferred_fill,-0.095237579,0.476300212,253.311400,165.747800,-458.853453754
4.2000,4.1000,accepted,-0.076820168,0.483464777,284.139200,169.332000,-511.541395625
4.2000,4.9500,accepted,-0.057305037,0.491056366,304.190400,174.911200,-544.061953947
