stage,variant_id,maneuver,speed_m_per_s,ax_g,dz_front_mm,dz_rear_mm,rh_front_m,rh_rear_m,downforce_n,aero_front_fraction,fz_front_n,fz_rear_n,sigma_fz_front_n,sigma_fz_rear_n,grip_n,rh_clamped,weight
baseline,baseline,rwd_acceleration,10.0,0.3,3.611366628002821,-3.2903521866640695,0.07294129840455199,0.07888111068350706,138.04900815944336,0.4976980996439598,583.9825354636667,765.1660257670959,0.0,0.013355328079787709,3807.9992148911288,False,0.08333333333333333
baseline,baseline,rwd_acceleration,10.0,0.6,7.222733256005642,-6.580704373328139,0.07662489691048165,0.07563906499158704,133.24467884576862,0.4948363590683144,513.2902565216496,833.4561400522757,0.0,0.026710656159575418,4039.484229267451,False,0.08333333333333333
baseline,baseline,rwd_acceleration,10.0,0.9,10.834099884008463,-9.871056559992208,0.08030854970353049,0.07239801343590756,128.39644960449513,0.49191244001039847,442.59693575051926,901.7253462027692,0.0,0.04006598423936313,4253.147019876826,False,0.08333333333333333
baseline,baseline,rwd_acceleration,15.0,0.3,3.611366628002821,-3.2903521866640695,0.07068165966581023,0.07680672315447802,312.03366817311405,0.4981404767945425,627.347471074175,808.7934201634229,0.0,0.013355328079787709,3957.933014321014,False,0.08333333333333333
baseline,baseline,rwd_acceleration,15.0,0.6,7.222733256005642,-6.580704373328139,0.07445008587868067,0.07362190229302533,301.5664229086697,0.49544080146754693,555.0272557798023,875.8800128255734,0.0,0.026710656159575418,4174.346378577423,False,0.08333333333333333
baseline,baseline,rwd_acceleration,15.0,0.9,10.834099884008463,-9.871056559992208,0.07822565617929368,0.07044352213818646,290.5540570414674,0.4925273322380751,482.56993763650127,942.8311480352733,0.0,0.04006598423936313,4373.23560042099,False,0.08333333333333333
baseline,baseline,rwd_acceleration,20.0,0.3,3.611366628002821,-3.2903521866640695,0.06756708644598776,0.07392253894250195,552.8949912811087,0.497347107279928,687.1195332259326,869.4520195656626,0.0,0.013355328079787709,4154.3528638833,False,0.08333333333333333
baseline,baseline,rwd_acceleration,20.0,0.6,7.222733256005642,-6.580704373328139,0.07135219670598268,0.07076280827796591,540.732008994591,0.4962015562758848,614.479132844667,936.0109288036695,0.0,0.026710656159575418,4353.755907616492,False,0.08333333333333333
baseline,baseline,rwd_acceleration,20.0,0.9,10.834099884008463,-9.871056559992208,0.07525946048136462,0.0676743512600188,520.8825304954273,0.49330678302896436,539.4944730710524,1001.0708493277021,0.0,0.04006598423936313,4532.363300567864,False,0.08333333333333333
baseline,baseline,rwd_acceleration,25.0,0.3,3.611366628002821,-3.2903521866640695,0.06368100152802658,0.07024433058637962,856.7675898583929,0.49504341468928587,761.6977475936267,946.8101044866106,0.0,0.013355328079787709,4384.518355463143,False,0.08333333333333333
baseline,baseline,rwd_acceleration,25.0,0.6,7.222733256005642,-6.580704373328139,0.06754214991745852,0.06714942883961103,838.9592047086265,0.49412412579235715,687.5980924500667,1012.0055670552874,0.0,0.026710656159575418,4560.799860818572,False,0.08333333333333333
baseline,baseline,rwd_acceleration,25.0,0.9,10.834099884008463,-9.871056559992208,0.07135606158107573,0.06404983887751368,823.1610685289537,0.4941631453875865,614.4049617361468,1077.2996296793708,0.0,0.04006598423936313,4721.124843704336,False,0.08333333333333333
baseline,baseline,braking,10.0,0.5,-6.02628386279297,5.493838689697522,0.063167762072314,0.08757677146226137,146.9884376859575,0.5029125122582018,771.4065206699163,582.2117553241035,0.01747450650937041,0.004231525008409594,6930.200444042141,False,0.08333333333333333
