stage,variant_id,axle,sweep_index,target_anti_pct,target_dz_mm_per_g,target_c,target_inv_d_per_m,target_ic_x_m,target_ic_z_m,delta_upper_deg,delta_lower_deg,tie_pickup_shift_mm,max_pickup_shift_mm,root_found
anti-squat,rear00_as-20,rear,0,-20.0,-12.71445290245904,-0.03685436957095524,-0.003721056795015081,-270.2902591637077,9.900862938550812,-2.0670017823389504,-2.0673086842163975,7.4073751755510395,7.490015876793375,True
anti-squat,rear01_as-2,rear,1,-1.6666666666666676,-11.128670712263713,-0.0037687405692784738,-0.003721056795015081,-270.2902591637077,1.009402575462568,-0.17219555841651518,-0.17222320395471585,0.6170601449341229,0.6240037794817214,True
anti-squat,rear02_as+17,rear,2,16.666666666666664,-9.542888522068381,0.02931688843239829,-0.003721056795015081,-270.2902591637077,-7.8820577876256745,1.722962856549472,1.7232604547808241,6.17853125186646,6.243455055976164,True
anti-squat,rear03_as+35,rear,3,35.0,-7.957106331873052,0.062402517434075065,-0.003721056795015081,-270.2902591637077,-16.773518150713922,3.614333483568437,3.615001902237804,12.97962758311319,13.095486843341876,True
anti-squat,rear04_as+53,rear,4,53.333333333333336,-6.371324141677721,0.09548814643575183,-0.003721056795015081,-270.2902591637077,-25.664978513802165,5.497825842142559,5.498909499267109,19.786453484898825,19.915434714627935,True
anti-squat,rear05_as+72,rear,5,71.66666666666666,-4.785541951482394,0.1285737754374286,-0.003721056795015081,-270.2902591637077,-34.556438876890404,7.3694513711698,7.370992807893525,26.599229789060598,26.68708823794759,True
anti-squat,rear06_as+90,rear,6,90.0,-3.199759761287062,0.16165940443910537,-0.003721056795015081,-270.2902591637077,-43.44789923997865,9.225372589892379,9.227411806854978,33.41817364658417,33.41817364658417,True
anti-dive,front00_ad-20,front,0,-20.0,-13.978508980502452,-0.04296834935282697,8.637128168817147e-07,-1157792.243503259,-49748.426166848345,2.460398140001634,2.460398198897663,1.4012788415971034,7.12547102218886,True
anti-dive,front01_ad-2,front,1,-1.6666666666666676,-12.199607111717155,-0.00358069577940225,8.637128168817147e-07,-1157792.243503259,-4145.706369743782,0.20516445540505626,0.20516445900305427,0.11673793023588008,0.5942147761748086,True
anti-dive,front02_ad+17,front,2,16.666666666666664,-10.420705242931863,0.03580695779402247,8.637128168817147e-07,-1157792.243503259,41457.01342736079,-2.050704837580133,-2.050704860352362,1.166944752358054,5.939112227344872,True
anti-dive,front03_ad+35,front,3,35.0,-8.641803374146567,0.07519461136744719,8.637128168817147e-07,-1157792.243503259,87059.73322446534,-4.300234655382119,-4.300234675497993,2.4497496044116747,12.451789637402927,True
anti-dive,front04_ad+53,front,4,53.333333333333336,-6.862901505361271,0.11458226494087193,8.637128168817147e-07,-1157792.243503259,132662.45302156993,-6.536566760466173,-6.536566749317702,3.7316573583818373,18.92150658746221,True
anti-dive,front05_ad+72,front,5,71.66666666666666,-5.083999636575976,0.15396991851429664,8.637128168817147e-07,-1157792.243503259,178265.17281867447,-8.753083032649133,-8.753082962540722,5.0126490761544105,25.326792684603515,True
anti-dive,front06_ad+90,front,6,90.0,-3.3050977677906794,0.19335757208772136,8.637128168817147e-07,-1157792.243503259,223867.89261577904,-10.943517981348661,-10.943517825946465,6.292706144313251,31.647409293302438,True
