source_zip,source_tir,generated_tir,written,duplicate_of_generated_tir,source_use_mode,generated_use_mode,pressure_psi,compound,tire_size,rim,copied_longitudinal_keys,zeroed_combined_longitudinal_keys,sha256
Round_8_Hoosier_LC0_16x6_10_on_6in.zip,Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x6_10_on_6in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,10,LC0,16x6_10,6in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,4f8c511b095b16e016fee349ea88ab26c335b188d5c8eecef5bed4579bb48ac9
Round_8_Hoosier_LC0_16x6_10_on_6in.zip,Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x6_10_on_6in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,12,LC0,16x6_10,6in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,b8c3be9d37eb484b864f3994bf4653a2aa7cda8896679c1a7fbb9a599d41cc89
Round_8_Hoosier_LC0_16x6_10_on_6in.zip,Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x6_10_on_6in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,14,LC0,16x6_10,6in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,e40aabc153b0e8fb540d4a7b133532fab8ce8a6ab32a5acdaa338f0cac9441a9
Round_8_Hoosier_LC0_16x6_10_on_6in.zip,Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x6_10_on_6in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,8,LC0,16x6_10,6in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,970c9fc6ff476352b8da5d9a116c7604220cc6273c95687321dd8ce4a5faf4b0
Round_8_Hoosier_LC0_16x6_10_on_7in.zip,Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x6_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,10,LC0,16x6_10,7in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,44f31ad0d72048420d5689e5b539da25376000449c7b0c75e19366b384595254
Round_8_Hoosier_LC0_16x6_10_on_7in.zip,Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x6_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,12,LC0,16x6_10,7in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,52c5ae9359ea7e7b671921a5ba2832be6fb8da38ea7833acf74fa2879ba7b445
Round_8_Hoosier_LC0_16x6_10_on_7in.zip,Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x6_10_on_7in_14psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,14,LC0,16x6_10,7in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,87f113b56577be1d80756c49f2325094cfe5e4755a49564dae6769b87b2ba471
Round_8_Hoosier_LC0_16x6_10_on_7in.zip,Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x6_10_on_7in_8psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,8,LC0,16x6_10,7in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,30f7308f1158cdf8da760238a7a048bf55405b1706351c0a8a14a6e414cd444d
Round_8_Hoosier_LC0_16x7p5_10_on_7in.zip,Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x7p5_10_on_7in_10psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,10,LC0,16x7p5_10,7in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,03adb0412cde436ff8c4d596fb5ca1eedea3059a4fd1b6facbdcd01a5f1ce6d5
Round_8_Hoosier_LC0_16x7p5_10_on_7in.zip,Round_8_Hoosier_LC0_16x7p5_10_on_7in_12psi_PAC02_UM2.tir,Round_8_Hoosier_LC0_16x7p5_10_on_7in_12psi_PAC02_UM2_fabricated_longitudinal_UM3.tir,1,,2,3,12,LC0,16x7p5_10,7in,PCX1;PDX1;PDX2;PDX3;PEX1;PEX2;PEX3;PEX4;PKX1;PKX2;PKX3;PHX1;PHX2;PVX1;PVX2,RBX1;RBX2;RCX1;REX1;REX2;RHX1,a8754ba026d4ae98ab0c239540844c164f79e02c7dd12942f4bde829fe6fd3b6
