generated_tir,brand,model,size,rim_width_in,pressure_psi,use_mode,cornering_runs,drive_runs,longitudinal_combined_source,donor_tire_key,lateral_points,longitudinal_points,fx_combined_points,fy_combined_points,lateral_rmse_n,lateral_nrmse,longitudinal_rmse_n,longitudinal_nrmse,fx_combined_rmse_n,fx_combined_nrmse,fy_combined_rmse_n,fy_combined_nrmse,lateral_mu_nominal,donor_lateral_mu_nominal,donor_longitudinal_mu_nominal,longitudinal_mu_scale,longitudinal_stiffness_scale,fzmin_n,fzmax_n,fznom_n,sha256
Round_9_Hoosier_43075_16x7p5_10_r20_7in_8psi_MF52_UM4.tir,Hoosier,43075,16x7.5-10 R20,7.0,8.0,4,"4,5,6",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,74.71532103070959,0.01547116467680222,116.59216475934709,0.02318021397199719,197.45463123881987,0.04625253861541251,96.08232630223804,0.06153047346657869,2.700720988633619,2.7916472748751286,2.3874547169187004,0.9674291637558055,1.0017713418032146,199.99,1242.1652000000001,677.36,cf2f78693b797d93f097cd61ecf209fb94b54f8a222953ad4145f2a24f82aaf7
Round_9_Hoosier_43075_16x7p5_10_r20_7in_10psi_MF52_UM4.tir,Hoosier,43075,16x7.5-10 R20,7.0,10.0,4,"4,5,6",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,69.64191175217127,0.013707537472704022,95.08286280390897,0.01923412980298334,154.0151862194477,0.03724784575578408,78.91412850980852,0.054905512639615066,2.532343252173311,2.7174027582650844,2.309294295909162,0.9318983888093484,1.0070655297091065,198.40099999999998,1217.5422000000003,662.225,3fc7b598a443773af9c5a734e6ea4bbbd0d9861a02ccdc7ce8267ce7c7177276
Round_9_Hoosier_43075_16x7p5_10_r20_7in_12psi_MF52_UM4.tir,Hoosier,43075,16x7.5-10 R20,7.0,12.0,4,"4,5,6",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,58.569566272323144,0.012155350613966623,146.86653526757894,0.03076707396434499,155.23655117135053,0.03922791540373015,82.93679663244906,0.05835332751872972,2.45317169446857,2.6000521127349496,2.2576656100690147,0.943508663712175,0.9871751552647993,196.5451,1190.2749,674.04,a8b8961aab84aee782b0545a56ffd3ab44488fdaca3618ba75c768b37a9e2683
Round_9_Hoosier_43075_16x7p5_10_r20_7in_14psi_MF52_UM4.tir,Hoosier,43075,16x7.5-10 R20,7.0,14.0,4,"4,5,6",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,51.69379038768598,0.010892285510284485,85.38833083590387,0.019773287231635624,116.138332610388,0.03165798111653311,69.38483626645238,0.05264912672997758,2.37268904718721,2.5935846481375235,2.3050621665864384,0.9148300013616519,1.0500889388761143,197.08474999999999,1165.51,671.395,0f2afc057c01c904f78ff789e47959d7089b3bacab5ab3e6e7e1f39cc9ca21a8
Round_9_Hoosier_43075_16x7p5_10_r20_8in_8psi_MF52_UM4.tir,Hoosier,43075,16x7.5-10 R20,8.0,8.0,4,"8,9",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,57.86081464217654,0.011313435961433287,116.59216475934709,0.02318021397199719,197.45463123881987,0.04625253861541251,96.08232630223804,0.06153047346657869,2.637628314197638,2.7916472748751286,2.3874547169187004,0.9448286457735317,1.1169882615414755,206.0621,1194.1202000000003,668.635,85a7405e5087eb2c17fa33747c21e5140bba1d5450a9aaf5783819ca8a7ef882
Round_9_Hoosier_43075_16x7p5_10_r20_8in_10psi_MF52_UM4.tir,Hoosier,43075,16x7.5-10 R20,8.0,10.0,4,"8,9",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,46.420751338108424,0.009105537858104676,95.08286280390897,0.01923412980298334,154.0151862194477,0.03724784575578408,78.91412850980852,0.054905512639615066,2.514046312308413,2.7174027582650844,2.309294295909162,0.9251651433199753,1.055527860042576,206.2272,1176.1846,673.8399999999999,131310dae43ea908344ba418d8b291867dbec8e896bdfa3f10f9a9d54a964459
Round_9_Hoosier_43075_16x7p5_10_r20_8in_12psi_MF52_UM4.tir,Hoosier,43075,16x7.5-10 R20,8.0,12.0,4,"8,9",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,59.410594235032484,0.012146719337028525,146.86653526757894,0.03076707396434499,155.23655117135053,0.03922791540373015,82.93679663244906,0.05835332751872972,2.4329998714628362,2.6000521127349496,2.2576656100690147,0.9357504257495848,1.0171074400030256,202.8748,1153.2321,675.6800000000001,8b64e94c20cb6bc320d000740bc1885d7d22f8d90b57cc966f5c082387ae6f37
Round_9_Hoosier_43075_16x7p5_10_r20_8in_14psi_MF52_UM4.tir,Hoosier,43075,16x7.5-10 R20,8.0,14.0,4,"8,9",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_7in,5000,5000,4500,4500,45.53502381739451,0.00942112192652884,85.38833083590387,0.019773287231635624,116.138332610388,0.03165798111653311,69.38483626645238,0.05264912672997758,2.405282419534634,2.5935846481375235,2.3050621665864384,0.9273969219635414,0.9999209145587178,201.78535,1144.51,674.31,cc60d869360d723bc53b69712bd5be9e17ac842463519be4627eb3bdf6b72d3d
Round_9_Hoosier_43070_16x6p0_10_r20_6in_8psi_MF52_UM4.tir,Hoosier,43070,16x6.0-10 R20,6.0,8.0,4,"11,12",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_6in,5000,5000,4500,4500,62.535200707246055,0.014634176186923252,136.42868959859473,0.024614356569811275,300.0206229577639,0.06712611850050197,126.74805257657208,0.0874824963826706,2.5654023450690056,2.7821635082677405,2.734166770218612,0.9220889920543538,0.9078514199796252,200.8304,1228.0632,653.595,4ee9555f5b31c8190666fcef3c23613785ee76bfd8f842e2817da01be3ec0735
Round_9_Hoosier_43070_16x6p0_10_r20_6in_10psi_MF52_UM4.tir,Hoosier,43070,16x6.0-10 R20,6.0,10.0,4,"11,12",,scaled_18in_hoosier_long_combined,Hoosier_43100_18p0x6p0_10_r20_6in,5000,5000,4500,4500,54.597943241130466,0.011753396960024452,91.06572692729195,0.018686563875269173,229.94598345586314,0.05339555534457468,91.57628844592529,0.06101933230892392,2.488408697479927,2.859239616790933,2.2447570763318256,0.8703043574475902,0.93663925396028,200.27905,1215.2919,666.155,84d749ab634ebfaf90f4b4fe8670c409bc006f318dbdfb1f943527bcb4681565
